Exported SMaRT Impedance Data
Experiment start time : 9/13/2016 5:20:50 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-1.350551,1.890009,-1.399436,2.322955,
2,1,2,00:00:18,7196857,1,0,-,-,-,-0.6825998,1.40304,-2.055435,1.560277,
3,1,3,00:00:29,5179475,1,0,-,-,-,-3.282932,5.043035,-1.536138,6.017461,
4,1,4,00:00:35,3727594,1,0,-,-,-,6.795295,15.67964,2.307426,17.08881,
5,1,5,00:00:41,2682696,1,0,-,-,-,8.673498,1.01387,0.1168928,8.732554,
6,1,6,00:00:47,1930698,1,0,-,-,-,6.23685,0.1970939,3.160151E-02,6.239963,
7,1,7,00:00:52,1389496,1,0,-,-,-,5.491922,2.968482E-02,5.405178E-03,5.492002,
8,1,8,00:00:58,1000000,1,0,-,-,-,5.160971,0.0214938,4.164682E-03,5.161016,
9,1,9,00:01:04,719685.7,1,0,-,-,-,5.012985,2.696442E-02,5.378915E-03,5.013058,
10,1,10,00:01:11,517947.4,1,0,-,-,-,4.945291,3.473132E-02,7.02311E-03,4.945413,
11,1,11,00:01:17,372759.4,1,0,-,-,-,4.917652,3.940022E-02,8.011999E-03,4.917809,
12,1,12,00:01:23,268269.6,1,0,-,-,-,4.949107,6.170262E-02,1.246743E-02,4.949492,
13,1,13,00:01:29,193069.8,1,0,-,-,-,4.929577,5.811704E-02,1.178946E-02,4.929919,
14,1,14,00:01:35,138949.5,1,0,-,-,-,4.924913,5.836447E-02,1.185086E-02,4.925259,
15,1,15,00:01:41,100000,1,0,-,-,-,4.929769,5.968235E-02,1.210652E-02,4.93013,
16,2,1,00:01:49,100000,1,0,-,-,-,4.92958,6.009116E-02,1.218992E-02,4.929946,
17,2,2,00:01:58,71968.57,1,0,-,-,-,4.939045,0.0608929,1.232888E-02,4.939421,
18,2,3,00:02:06,51794.75,1,0,-,-,-,4.948447,6.034232E-02,1.219419E-02,4.948815,
19,2,4,00:02:12,37275.94,1,0,-,-,-,4.958756,6.048888E-02,0.0121984,4.959125,
20,2,5,00:02:19,26826.96,1,0,-,-,-,4.976008,7.205012E-02,0.0144795,4.97653,
21,2,6,00:02:24,19306.98,1,0,-,-,-,4.98737,0.0762253,1.528367E-02,4.987952,
22,2,7,00:02:30,13894.96,1,0,-,-,-,5.002826,7.981727E-02,1.595444E-02,5.003463,
23,2,8,00:02:36,10000,1,0,-,-,-,5.019146,8.493726E-02,1.692265E-02,5.019865,
24,2,9,00:02:42,7196.857,1,0,-,-,-,5.037348,8.942126E-02,1.775165E-02,5.038142,
25,2,10,00:02:48,5179.475,1,0,-,-,-,5.05638,9.437166E-02,1.866388E-02,5.057261,
26,2,11,00:02:54,3727.594,1,0,-,-,-,5.076886,9.935778E-02,1.957062E-02,5.077858,
27,2,12,00:03:00,2682.696,1,0,-,-,-,5.099859,0.104149,2.042194E-02,5.100922,
28,2,13,00:03:06,1930.698,1,0,-,-,-,5.122696,0.1082025,2.112218E-02,5.123838,
29,2,14,00:03:12,1389.495,1,0,-,-,-,5.145545,0.1132643,2.201211E-02,5.146792,
30,2,15,00:03:18,1000,1,0,-,-,-,5.16986,0.1168653,2.260512E-02,5.171181,
31,2,16,00:03:23,719.6857,1,0,-,-,-,5.194846,0.1201369,2.312618E-02,5.196235,
32,2,17,00:03:29,517.9474,1,0,-,-,-,5.220807,0.1235998,2.367447E-02,5.22227,
33,2,18,00:03:35,372.7594,1,0,-,-,-,5.247025,0.126864,2.417827E-02,5.248559,
34,2,19,00:03:43,268.2696,1,0,-,-,-,5.273101,0.129387,2.453717E-02,5.274689,
35,2,20,00:03:49,193.0698,1,0,-,-,-,5.300941,0.133299,2.514629E-02,5.302617,
36,2,21,00:03:55,138.9496,1,0,-,-,-,5.328604,0.1376081,2.582442E-02,5.330381,
37,2,22,00:04:00,100,1,0,-,-,-,5.356404,0.1412603,2.637222E-02,5.358266,
38,2,23,00:04:06,71.96857,1,0,-,-,-,5.385068,0.1460343,2.711837E-02,5.387048,
39,2,24,00:04:12,51.79475,1,0,-,-,-,5.414569,0.1517387,2.802415E-02,5.416695,
40,2,25,00:04:18,37.27594,1,0,-,-,-,5.445674,0.1581526,2.904187E-02,5.44797,
41,2,26,00:04:24,26.82696,1,0,-,-,-,5.476172,0.1674468,3.057734E-02,5.478732,
42,2,27,00:04:30,19.30698,1,0,-,-,-,5.510069,0.1761821,3.197456E-02,5.512885,
43,2,28,00:04:36,13.89495,1,0,-,-,-,5.542715,0.1918388,3.461098E-02,5.546034,
44,2,29,00:04:42,10,1,0,-,-,-,5.580892,0.2039641,3.654687E-02,5.584618,
45,2,30,00:04:48,7.196856,1,0,-,-,-,5.63333,0.2209052,3.921397E-02,5.63766,
46,2,31,00:04:54,5.179475,1,0,-,-,-,5.668318,0.2375007,4.189968E-02,5.673292,
47,2,32,00:05:00,3.727594,1,0,-,-,-,5.718392,0.2768351,4.841135E-02,5.725089,
48,2,33,00:05:07,2.682696,1,0,-,-,-,5.77094,0.2876638,4.984695E-02,5.778105,
49,2,34,00:05:13,1.930698,1,0,-,-,-,5.822878,0.3220657,0.0553104,5.831779,
50,2,35,00:05:20,1.389495,1,0,-,-,-,5.879435,0.3482391,5.923003E-02,5.889739,
51,2,36,00:05:26,1,1,0,-,-,-,5.976708,0.4074936,6.818028E-02,5.990583,
