Exported SMaRT Impedance Data
Experiment start time : 9/14/2016 11:12:05 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:13,10000000,1,0,-,-,-,-1.12008,1.71986,-1.535479,2.052437,
2,1,2,00:00:20,7196857,1,0,-,-,-,-1.005492,1.658186,-1.64913,1.939225,
3,1,3,00:00:31,5179475,1,0,-,-,-,-4.013794,5.715655,-1.424003,6.984215,
4,1,4,00:00:37,3727594,1,0,-,-,-,7.246525,19.69256,2.717518,20.98354,
5,1,5,00:00:43,2682696,1,0,-,-,-,10.22342,1.086366,0.1062625,10.28098,
6,1,6,00:00:49,1930698,1,0,-,-,-,7.234792,0.1654563,2.286953E-02,7.236684,
7,1,7,00:00:54,1389496,1,0,-,-,-,6.29318,5.136333E-02,8.161745E-03,6.29339,
8,1,8,00:01:00,1000000,1,0,-,-,-,5.907591,3.070115E-02,5.196899E-03,5.90767,
9,1,9,00:01:06,719685.7,1,0,-,-,-,5.732336,2.959083E-02,5.16209E-03,5.732412,
10,1,10,00:01:14,517947.4,1,0,-,-,-,5.64922,2.963107E-02,5.245161E-03,5.649298,
11,1,11,00:01:19,372759.4,1,0,-,-,-,5.62996,8.554203E-03,1.519407E-03,5.629967,
12,1,12,00:01:26,268269.6,1,0,-,-,-,5.656951,3.252821E-02,5.75013E-03,5.657044,
13,1,13,00:01:31,193069.8,1,0,-,-,-,5.625099,2.939138E-02,5.225042E-03,5.625175,
14,1,14,00:01:37,138949.5,1,0,-,-,-,5.614015,2.662907E-02,4.74332E-03,5.614078,
15,1,15,00:01:43,100000,1,0,-,-,-,5.612158,2.694193E-02,4.800636E-03,5.612223,
16,2,1,00:01:52,100000,1,0,-,-,-,5.611134,2.683747E-02,4.782896E-03,5.611198,
17,2,2,00:02:00,71968.57,1,0,-,-,-,5.613109,2.509097E-02,4.470066E-03,5.613165,
18,2,3,00:02:09,51794.75,1,0,-,-,-,5.616197,2.214021E-02,3.942206E-03,5.616241,
19,2,4,00:02:14,37275.94,1,0,-,-,-,5.617615,1.889499E-02,3.363525E-03,5.617647,
20,2,5,00:02:21,26826.96,1,0,-,-,-,5.626658,3.203518E-02,5.693464E-03,5.62675,
21,2,6,00:02:27,19306.98,1,0,-,-,-,5.629299,3.362968E-02,5.974044E-03,5.6294,
22,2,7,00:02:32,13894.96,1,0,-,-,-,5.63579,3.549189E-02,6.29759E-03,5.635902,
23,2,8,00:02:38,10000,1,0,-,-,-,5.642794,3.843784E-02,6.811845E-03,5.642925,
24,2,9,00:02:44,7196.857,1,0,-,-,-,5.65028,4.087019E-02,7.233303E-03,5.650428,
25,2,10,00:02:50,5179.475,1,0,-,-,-,5.658887,4.367495E-02,7.71794E-03,5.659055,
26,2,11,00:02:56,3727.594,1,0,-,-,-,5.667245,4.735033E-02,8.355088E-03,5.667443,
27,2,12,00:03:02,2682.696,1,0,-,-,-,5.680196,0.0509282,8.965923E-03,5.680425,
28,2,13,00:03:08,1930.698,1,0,-,-,-,5.690456,5.386625E-02,9.466069E-03,5.690711,
29,2,14,00:03:14,1389.495,1,0,-,-,-,5.697544,5.823883E-02,1.022174E-02,5.697841,
30,2,15,00:03:20,1000,1,0,-,-,-,5.709215,6.140583E-02,1.075556E-02,5.709545,
31,2,16,00:03:26,719.6857,1,0,-,-,-,5.722253,6.551293E-02,0.0114488,5.722628,
32,2,17,00:03:32,517.9474,1,0,-,-,-,5.73767,7.076114E-02,1.233273E-02,5.738106,
33,2,18,00:03:38,372.7594,1,0,-,-,-,5.752334,7.526673E-02,1.308456E-02,5.752826,
34,2,19,00:03:45,268.2696,1,0,-,-,-,5.76805,7.961255E-02,1.380233E-02,5.768599,
35,2,20,00:03:51,193.0698,1,0,-,-,-,5.785971,8.398855E-02,0.0145159,5.786581,
36,2,21,00:03:57,138.9496,1,0,-,-,-,5.804072,8.904929E-02,1.534255E-02,5.804756,
37,2,22,00:04:03,100,1,0,-,-,-,5.822432,9.314629E-02,1.599783E-02,5.823177,
38,2,23,00:04:09,71.96857,1,0,-,-,-,5.843271,9.735154E-02,1.666045E-02,5.844082,
39,2,24,00:04:14,51.79475,1,0,-,-,-,5.864537,0.1023409,1.745081E-02,5.86543,
40,2,25,00:04:20,37.27594,1,0,-,-,-,5.886315,0.1066184,1.811293E-02,5.88728,
41,2,26,00:04:27,26.82696,1,0,-,-,-,5.909521,0.1105366,1.870484E-02,5.910554,
42,2,27,00:04:33,19.30698,1,0,-,-,-,5.931591,0.1166245,1.966159E-02,5.932737,
43,2,28,00:04:38,13.89495,1,0,-,-,-,5.958006,0.1169645,1.963148E-02,5.959154,
44,2,29,00:04:44,10,1,0,-,-,-,5.983076,0.1205734,2.015242E-02,5.984291,
45,2,30,00:04:51,7.196856,1,0,-,-,-,5.993188,0.1227711,0.0204851,5.994446,
46,2,31,00:04:57,5.179475,1,0,-,-,-,6.038522,0.1271178,2.105115E-02,6.03986,
47,2,32,00:05:03,3.727594,1,0,-,-,-,6.062598,0.1265288,2.087039E-02,6.063918,
48,2,33,00:05:10,2.682696,1,0,-,-,-,6.08932,0.132922,2.182871E-02,6.090771,
49,2,34,00:05:16,1.930698,1,0,-,-,-,6.117092,0.137573,2.248993E-02,6.118639,
50,2,35,00:05:23,1.389495,1,0,-,-,-,6.146432,0.1384863,2.253116E-02,6.147992,
51,2,36,00:05:29,1,1,0,-,-,-,6.173042,0.139805,2.264767E-02,6.174625,
