Exported SMaRT Impedance Data
Experiment start time : 5/28/2017 1:48:01 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:11,1000000,1,0,-,-,-,2.564466E-03,-5.157827E-05,-2.011267E-02,-2.869427E-09,
2,1,2,00:00:20,681292.1,1,0,-,-,-,2.533583E-03,2.917809E-05,1.151653E-02,1.105907E-09,
3,1,3,00:00:27,464158.9,1,0,-,-,-,2.541542E-03,6.852732E-05,2.696289E-02,1.769534E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,2.557639E-03,8.507365E-05,3.326256E-02,1.496661E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,2.570163E-03,1.017821E-04,3.960143E-02,1.219926E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,2.59426E-03,1.383327E-04,5.332258E-02,1.129588E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,2.604714E-03,1.146525E-04,4.401729E-02,6.378401E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,2.65425E-03,1.187346E-04,4.473377E-02,4.500276E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,2.710614E-03,9.84646E-05,3.632557E-02,2.542584E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,2.735232E-03,5.228797E-05,1.911647E-02,9.198782E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,2.725461E-03,1.70676E-05,6.262281E-03,2.045664E-11,
12,1,12,00:01:22,14677.99,1,0,-,-,-,2.70928E-03,4.400143E-06,0.0016241,3.593039E-12,
13,1,13,00:01:28,10000,1,0,-,-,-,2.749883E-03,-1.053884E-05,-3.832468E-03,-5.863019E-12,
14,1,14,00:01:34,6812.921,1,0,-,-,-,2.751661E-03,4.5304E-06,1.646424E-03,1.717111E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,2.758129E-03,1.345547E-05,4.878477E-03,3.474515E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,2.765863E-03,1.641745E-05,5.935745E-03,2.888247E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,2.773159E-03,1.559857E-05,5.624837E-03,1.869591E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,2.779021E-03,1.349545E-05,4.85619E-03,1.102003E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,2.829952E-03,9.858532E-06,3.483639E-03,5.484548E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,2.83009E-03,7.652416E-06,2.703947E-03,2.900417E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,2.835687E-03,5.084129E-06,1.792909E-03,1.31284E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,2.831262E-03,8.766305E-07,3.096253E-04,1.542216E-14,
23,1,23,00:02:29,215.4435,1,0,-,-,-,2.838954E-03,5.818874E-06,2.049654E-03,6.974304E-14,
24,1,24,00:02:35,146.7799,1,0,-,-,-,2.188709E-03,1.529986E-05,6.990358E-03,1.249346E-13,
25,1,25,00:02:41,100,1,0,-,-,-,2.191636E-03,2.485525E-05,1.134096E-02,1.382759E-13,
26,1,26,00:02:47,68.1292,1,0,-,-,-,2.242249E-03,5.944407E-05,2.651091E-02,2.253048E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,2.223111E-03,-4.244305E-05,-1.909173E-02,-1.095978E-13,
28,1,28,00:02:59,31.62278,1,0,-,-,-,2.247921E-03,2.081976E-04,9.261783E-02,3.662725E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,2.20063E-03,-4.896207E-05,-2.224911E-02,-5.868426E-14,
30,1,30,00:03:13,14.67799,1,0,-,-,-,2.37481E-03,1.208612E-04,0.050893,9.869203E-14,
31,1,31,00:03:21,10,1,0,-,-,-,2.048016E-03,-3.032536E-05,-1.480719E-02,-1.687075E-14,
