Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 3:08:31 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.398145,0.3335209,0.2385452,1.85546E-05,
2,1,2,00:00:17,681292.1,1,0,-,-,-,0.9875638,0.1245856,0.1261544,4.72204E-06,
3,1,3,00:00:24,464158.9,1,0,-,-,-,0.875052,8.892485E-02,0.1016224,2.296245E-06,
4,1,4,00:00:30,316227.8,1,0,-,-,-,0.8402894,7.999536E-02,9.519979E-02,1.407322E-06,
5,1,5,00:00:38,215443.5,1,0,-,-,-,0.8348772,7.910272E-02,9.474773E-02,9.480981E-07,
6,1,6,00:00:44,146779.9,1,0,-,-,-,0.8623594,8.739193E-02,0.1013405,7.136192E-07,
7,1,7,00:00:50,100000,1,0,-,-,-,0.8678213,8.778869E-02,0.1011599,4.883904E-07,
8,1,8,00:00:56,68129.2,1,0,-,-,-,0.8827733,0.0905528,0.1025776,3.43213E-07,
9,1,9,00:01:05,46415.89,1,0,-,-,-,0.9030572,9.294108E-02,0.1029183,2.399954E-07,
10,1,10,00:01:10,31622.78,1,0,-,-,-,0.9257256,9.481811E-02,0.1024257,1.668092E-07,
11,1,11,00:01:16,21544.35,1,0,-,-,-,0.9498436,9.508703E-02,0.1001081,1.139681E-07,
12,1,12,00:01:22,14677.99,1,0,-,-,-,0.976702,0.0943635,9.661442E-02,7.705471E-08,
13,1,13,00:01:28,10000,1,0,-,-,-,1.00041,9.190217E-02,9.186451E-02,5.112746E-08,
14,1,14,00:01:34,6812.921,1,0,-,-,-,1.024229,8.720435E-02,8.514144E-02,3.305218E-08,
15,1,15,00:01:40,4641.589,1,0,-,-,-,1.046725,8.060239E-02,7.700434E-02,2.08134E-08,
16,1,16,00:01:46,3162.278,1,0,-,-,-,1.066886,7.243028E-02,6.788942E-02,1.274233E-08,
17,1,17,00:01:52,2154.435,1,0,-,-,-,1.084466,6.324776E-02,5.832159E-02,7.58066E-09,
18,1,18,00:01:58,1467.799,1,0,-,-,-,1.099097,5.409156E-02,4.921456E-02,4.416972E-09,
19,1,19,00:02:04,1000,1,0,-,-,-,1.110548,4.467659E-02,4.022933E-02,2.48547E-09,
20,1,20,00:02:10,681.2921,1,0,-,-,-,1.11932,3.623815E-02,3.237514E-02,1.373497E-09,
21,1,21,00:02:16,464.1589,1,0,-,-,-,1.125883,2.864916E-02,2.544594E-02,7.397875E-10,
22,1,22,00:02:22,316.2278,1,0,-,-,-,1.130437,2.212564E-02,1.957265E-02,3.892463E-10,
23,1,23,00:02:29,215.4435,1,0,-,-,-,1.13391,1.721667E-02,1.518345E-02,2.063531E-10,
24,1,24,00:02:36,146.7799,1,0,-,-,-,1.136125,0.0130353,1.147348E-02,1.064428E-10,
25,1,25,00:02:41,100,1,0,-,-,-,1.137963,9.54062E-03,8.383946E-03,5.307685E-11,
26,1,26,00:02:47,68.1292,1,0,-,-,-,1.138757,7.513028E-03,6.597569E-03,2.847586E-11,
27,1,27,00:02:53,46.41589,1,0,-,-,-,1.140007,7.008697E-03,6.147944E-03,1.809808E-11,
28,1,28,00:02:59,31.62278,1,0,-,-,-,1.139035,4.96571E-03,4.359578E-03,8.735945E-12,
29,1,29,00:03:05,21.54435,1,0,-,-,-,1.139528,4.263016E-03,3.741038E-03,5.109505E-12,
30,1,30,00:03:11,14.67799,1,0,-,-,-,1.141229,4.846787E-03,4.24699E-03,3.957756E-12,
31,1,31,00:03:17,10,1,0,-,-,-,1.144423,5.99407E-03,5.237635E-03,3.33465E-12,
