Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 11:11:02 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,2.985943E-03,-1.699593E-05,-5.691979E-03,-9.455258E-10,
2,1,2,00:00:20,681292.1,1,0,-,-,-,2.964922E-03,5.204234E-05,1.755269E-02,1.972508E-09,
3,1,3,00:00:28,464158.9,1,0,-,-,-,2.972109E-03,8.102148E-05,0.0272606,2.092162E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,2.989323E-03,9.179715E-05,3.070834E-02,1.614945E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,3.00239E-03,1.032674E-04,3.439506E-02,1.237728E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,3.025127E-03,1.366407E-04,4.516859E-02,1.115772E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,3.034981E-03,1.136568E-04,3.744893E-02,6.323011E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,3.08299E-03,1.173369E-04,3.805944E-02,4.447298E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,3.137522E-03,9.530871E-05,3.037707E-02,2.461092E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,3.161628E-03,5.060312E-05,0.0160054,8.902374E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,3.152098E-03,1.437305E-05,4.559836E-03,1.722704E-11,
12,1,12,00:01:23,14677.99,1,0,-,-,-,3.134736E-03,3.043113E-06,9.707717E-04,2.484925E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,3.173294E-03,-1.117379E-05,-3.521196E-03,-6.216258E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,3.172108E-03,3.77481E-06,0.00119,1.430728E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,3.180559E-03,1.270056E-05,3.993185E-03,3.279578E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,3.187306E-03,1.616654E-05,5.072164E-03,2.844105E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,3.194407E-03,1.558719E-05,4.879525E-03,1.868227E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,3.198537E-03,1.461149E-05,4.568181E-03,1.193135E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,3.256014E-03,8.096649E-06,2.486675E-03,4.504368E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,3.249839E-03,3.568937E-06,1.098189E-03,1.352698E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,0.0032528,1.005101E-05,3.089956E-03,2.595403E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,3.262894E-03,2.178886E-05,6.677773E-03,3.833215E-13,
23,1,23,00:02:29,215.4435,1,0,-,-,-,3.258172E-03,6.24306E-06,1.916124E-03,7.482719E-14,
24,1,24,00:02:36,146.7799,1,0,-,-,-,2.649368E-03,1.261178E-05,4.760298E-03,1.029844E-13,
25,1,25,00:02:42,100,1,0,-,-,-,2.677822E-03,-3.929701E-06,-1.467499E-03,-2.186191E-14,
26,1,26,00:02:48,68.1292,1,0,-,-,-,2.665477E-03,-1.271862E-07,-4.771613E-05,-4.820608E-16,
27,1,27,00:02:53,46.41589,1,0,-,-,-,2.604614E-03,-4.86659E-05,-1.868449E-02,-1.256666E-13,
28,1,28,00:02:59,31.62278,1,0,-,-,-,2.508867E-03,1.321971E-04,5.269195E-02,2.325683E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,3.029175E-03,-5.211492E-05,-1.720433E-02,-6.246316E-14,
30,1,30,00:03:13,14.67799,1,0,-,-,-,2.761647E-03,1.385381E-04,5.016503E-02,1.131265E-13,
31,1,31,00:03:21,10,1,0,-,-,-,2.102833E-03,-2.551129E-04,-0.1213187,-1.419257E-13,
