Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 5:08:48 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,3.826051E-03,4.843885E-03,1.266027,2.694774E-07,
2,1,2,00:00:20,681292.1,1,0,-,-,-,4.073827E-03,2.778348E-03,0.6819995,1.053049E-07,
3,1,3,00:00:28,464158.9,1,0,-,-,-,3.879445E-03,1.406215E-03,0.3624785,3.631174E-08,
4,1,4,00:00:34,316227.8,1,0,-,-,-,3.446693E-03,6.024272E-04,0.1747841,1.059823E-08,
5,1,5,00:00:39,215443.5,1,0,-,-,-,2.970532E-03,3.774707E-04,0.1270718,4.524234E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,2.78382E-03,5.566852E-04,0.1999717,4.545742E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,2.661856E-03,1.004241E-03,0.3772709,5.58684E-09,
8,1,8,00:00:57,68129.2,1,0,-,-,-,3.276571E-03,1.090969E-03,0.3329605,4.134986E-09,
9,1,9,00:01:06,46415.89,1,0,-,-,-,3.910249E-03,6.453415E-04,0.1650385,1.666421E-09,
10,1,10,00:01:11,31622.78,1,0,-,-,-,4.005886E-03,-1.406073E-04,-3.510017E-02,-2.473639E-10,
11,1,11,00:01:17,21544.35,1,0,-,-,-,3.571107E-03,-6.889241E-04,-0.1929161,-8.25721E-10,
12,1,12,00:01:23,14677.99,1,0,-,-,-,3.046535E-03,-7.581011E-04,-0.2488404,-6.19045E-10,
13,1,13,00:01:29,10000,1,0,-,-,-,2.695056E-03,-4.74524E-04,-0.1760721,-2.639896E-10,
14,1,14,00:01:35,6812.921,1,0,-,-,-,2.620701E-03,-3.982091E-04,-0.1519476,-1.509291E-10,
15,1,15,00:01:41,4641.589,1,0,-,-,-,2.571545E-03,-2.555637E-04,-9.938139E-02,-6.599247E-11,
16,1,16,00:01:46,3162.278,1,0,-,-,-,2.560975E-03,-1.785018E-04,-6.970073E-02,-3.140301E-11,
17,1,17,00:01:52,2154.435,1,0,-,-,-,2.552219E-03,-1.148531E-04,-4.500125E-02,-1.376589E-11,
18,1,18,00:01:58,1467.799,1,0,-,-,-,2.541581E-03,-8.09319E-05,-3.184313E-02,-6.608682E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,2.60521E-03,-2.351499E-05,-9.026143E-03,-1.308198E-12,
20,1,20,00:02:10,681.2921,1,0,-,-,-,2.555377E-03,-2.474E-05,-9.681545E-03,-9.376951E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,2.577276E-03,-4.894392E-05,-1.899057E-02,-1.263845E-12,
22,1,22,00:02:22,316.2278,1,0,-,-,-,2.568262E-03,7.329534E-06,2.853888E-03,1.289451E-13,
23,1,23,00:02:30,215.4435,1,0,-,-,-,2.490456E-03,1.008401E-04,4.049063E-02,1.208635E-12,
24,1,24,00:02:36,146.7799,1,0,-,-,-,1.896432E-03,3.343139E-05,1.762857E-02,2.729918E-13,
25,1,25,00:02:42,100,1,0,-,-,-,1.577759E-03,-4.068306E-04,-0.2578534,-2.2633E-12,
26,1,26,00:02:48,68.1292,1,0,-,-,-,2.624186E-03,4.322835E-04,0.1647305,1.63844E-12,
27,1,27,00:02:54,46.41589,1,0,-,-,-,8.672996E-04,1.228702E-03,1.416699,3.172794E-12,
28,1,28,00:02:59,31.62278,1,0,-,-,-,4.635092E-03,-1.730934E-03,-0.3734412,-3.045153E-12,
29,1,29,00:03:05,21.54435,1,0,-,-,-,3.869158E-03,3.120627E-03,0.8065389,3.740277E-12,
30,1,30,00:03:14,14.67799,1,0,-,-,-,4.279066E-03,-2.504237E-03,-0.5852296,-2.044893E-12,
31,1,31,00:03:21,10,1,0,-,-,-,5.94272E-03,1.674186E-03,0.2817205,9.313912E-13,
