Exported SMaRT Impedance Data
Experiment start time : 9/14/2016 7:26:18 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-1.492588,1.714968,-1.14899,2.273529,
2,1,2,00:00:21,7196857,1,0,-,-,-,-0.1749309,1.594048,-9.112448,1.603618,
3,1,3,00:00:31,5179475,1,0,-,-,-,-2.97869,4.428257,-1.486646,5.336858,
4,1,4,00:00:37,3727594,1,0,-,-,-,5.190681,14.77259,2.845984,15.65799,
5,1,5,00:00:43,2682696,1,0,-,-,-,7.8418,0.8176862,0.1042728,7.884316,
6,1,6,00:00:49,1930698,1,0,-,-,-,5.53256,0.1164638,2.105061E-02,5.533786,
7,1,7,00:00:55,1389496,1,0,-,-,-,4.839417,-1.262742E-02,-2.609286E-03,4.839434,
8,1,8,00:01:01,1000000,1,0,-,-,-,4.53454,-1.191567E-02,-2.627757E-03,4.534556,
9,1,9,00:01:07,719685.7,1,0,-,-,-,4.395755,-4.10944E-03,-9.348656E-04,4.395757,
10,1,10,00:01:14,517947.4,1,0,-,-,-,4.330151,4.790572E-03,1.106329E-03,4.330153,
11,1,11,00:01:23,372759.4,1,0,-,-,-,4.30131,8.61609E-03,2.003132E-03,4.301318,
12,1,12,00:01:29,268269.6,1,0,-,-,-,4.325734,2.400594E-02,5.549566E-03,4.3258,
13,1,13,00:01:34,193069.8,1,0,-,-,-,4.302811,1.977462E-02,4.595745E-03,4.302856,
14,1,14,00:01:40,138949.5,1,0,-,-,-,4.293036,1.835141E-02,4.274692E-03,4.293075,
15,1,15,00:01:46,100000,1,0,-,-,-,4.29096,1.779408E-02,4.146876E-03,4.290997,
16,2,1,00:01:55,100000,1,0,-,-,-,4.290655,1.776795E-02,4.141082E-03,4.290692,
17,2,2,00:02:03,71968.57,1,0,-,-,-,4.291477,1.581159E-02,3.684417E-03,4.291506,
18,2,3,00:02:12,51794.75,1,0,-,-,-,4.292124,1.332022E-02,3.10341E-03,4.292145,
19,2,4,00:02:18,37275.94,1,0,-,-,-,4.301896,1.654808E-02,3.846695E-03,4.301928,
20,2,5,00:02:24,26826.96,1,0,-,-,-,4.29931,1.509808E-02,3.511744E-03,4.299337,
21,2,6,00:02:30,19306.98,1,0,-,-,-,4.299978,1.437143E-02,3.34221E-03,4.300002,
22,2,7,00:02:36,13894.96,1,0,-,-,-,4.301592,1.441009E-02,3.349942E-03,4.301617,
23,2,8,00:02:41,10000,1,0,-,-,-,4.303371,1.475776E-02,3.429347E-03,4.303397,
24,2,9,00:02:47,7196.857,1,0,-,-,-,4.306734,0.0151293,3.512941E-03,4.306761,
25,2,10,00:02:53,5179.475,1,0,-,-,-,4.309471,1.552067E-02,3.601526E-03,4.309499,
26,2,11,00:02:59,3727.594,1,0,-,-,-,4.314416,1.631924E-02,3.782492E-03,4.314447,
27,2,12,00:03:05,2682.696,1,0,-,-,-,4.317639,1.675895E-02,3.881508E-03,4.317672,
28,2,13,00:03:11,1930.698,1,0,-,-,-,4.320774,0.0165902,3.839635E-03,4.320806,
29,2,14,00:03:17,1389.495,1,0,-,-,-,4.324505,1.818897E-02,4.206024E-03,4.324543,
30,2,15,00:03:23,1000,1,0,-,-,-,4.327291,0.0175956,4.066193E-03,4.327326,
31,2,16,00:03:29,719.6857,1,0,-,-,-,4.33149,0.0186805,4.31272E-03,4.33153,
32,2,17,00:03:35,517.9474,1,0,-,-,-,4.33576,1.914903E-02,4.416534E-03,4.335802,
33,2,18,00:03:41,372.7594,1,0,-,-,-,4.339503,1.988478E-02,4.582271E-03,4.339549,
34,2,19,00:03:49,268.2696,1,0,-,-,-,4.343225,1.970655E-02,4.537308E-03,4.34327,
35,2,20,00:03:55,193.0698,1,0,-,-,-,4.347843,2.119077E-02,4.873859E-03,4.347894,
36,2,21,00:04:00,138.9496,1,0,-,-,-,4.352268,2.166151E-02,4.977061E-03,4.352322,
37,2,22,00:04:06,100,1,0,-,-,-,4.357066,2.230141E-02,5.118447E-03,4.357123,
38,2,23,00:04:12,71.96857,1,0,-,-,-,4.36186,2.261142E-02,5.183894E-03,4.361919,
39,2,24,00:04:18,51.79475,1,0,-,-,-,4.366873,0.0232782,5.330633E-03,4.366935,
40,2,25,00:04:24,37.27594,1,0,-,-,-,4.371103,2.298882E-02,5.259272E-03,4.371163,
41,2,26,00:04:30,26.82696,1,0,-,-,-,4.376746,2.326065E-02,5.314599E-03,4.376808,
42,2,27,00:04:36,19.30698,1,0,-,-,-,4.384842,2.425769E-02,5.532171E-03,4.384909,
43,2,28,00:04:42,13.89495,1,0,-,-,-,4.388207,2.233082E-02,5.088826E-03,4.388264,
44,2,29,00:04:48,10,1,0,-,-,-,4.391469,2.089036E-02,4.757033E-03,4.391519,
45,2,30,00:04:54,7.196856,1,0,-,-,-,4.389119,5.435362E-03,1.238372E-03,4.389122,
46,2,31,00:05:00,5.179475,1,0,-,-,-,4.402726,2.625863E-02,5.964176E-03,4.402804,
47,2,32,00:05:08,3.727594,1,0,-,-,-,4.41003,2.280699E-02,5.171617E-03,4.410089,
48,2,33,00:05:15,2.682696,1,0,-,-,-,4.410578,1.897476E-02,4.302103E-03,4.410619,
49,2,34,00:05:21,1.930698,1,0,-,-,-,4.420429,1.895742E-02,4.288593E-03,4.42047,
50,2,35,00:05:28,1.389495,1,0,-,-,-,4.426765,1.500459E-02,3.389516E-03,4.426791,
51,2,36,00:05:34,1,1,0,-,-,-,4.423976,1.898436E-02,4.291244E-03,4.424016,
