Exported SMaRT Impedance Data
Experiment start time : 9/13/2016 10:44:45 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:14,10000000,1,0,-,-,-,-1.101964,1.71647,-1.557647,2.039754,
2,1,2,00:00:21,7196857,1,0,-,-,-,-1.014278,1.627774,-1.604859,1.917918,
3,1,3,00:00:31,5179475,1,0,-,-,-,-3.982045,5.728338,-1.438542,6.976428,
4,1,4,00:00:37,3727594,1,0,-,-,-,7.615366,18.88054,2.47927,20.35851,
5,1,5,00:00:43,2682696,1,0,-,-,-,10.00822,1.177068,0.11761,10.0772,
6,1,6,00:00:49,1930698,1,0,-,-,-,7.144204,0.2427519,3.397886E-02,7.148327,
7,1,7,00:00:55,1389496,1,0,-,-,-,6.235933,0.1185567,1.901187E-02,6.23706,
8,1,8,00:01:01,1000000,1,0,-,-,-,5.868226,9.667908E-02,1.647501E-02,5.869022,
9,1,9,00:01:07,719685.7,1,0,-,-,-,5.706172,9.781388E-02,1.714177E-02,5.70701,
10,1,10,00:01:14,517947.4,1,0,-,-,-,5.657896,7.617299E-02,1.346313E-02,5.658408,
11,1,11,00:01:20,372759.4,1,0,-,-,-,5.632009,8.891635E-02,1.578768E-02,5.632711,
12,1,12,00:01:26,268269.6,1,0,-,-,-,5.673895,0.1233809,2.174537E-02,5.675237,
13,1,13,00:01:32,193069.8,1,0,-,-,-,5.659745,0.1298143,2.293642E-02,5.661233,
14,1,14,00:01:38,138949.5,1,0,-,-,-,5.668002,0.1389958,0.0245229,5.669706,
15,1,15,00:01:44,100000,1,0,-,-,-,5.687339,0.1528319,0.0268723,5.689392,
16,2,1,00:01:53,100000,1,0,-,-,-,5.687438,0.1526596,2.684155E-02,5.689486,
17,2,2,00:02:01,71968.57,1,0,-,-,-,5.702021,0.1741696,3.054523E-02,5.70468,
18,2,3,00:02:10,51794.75,1,0,-,-,-,5.735381,0.1948389,0.0339714,5.738689,
19,2,4,00:02:15,37275.94,1,0,-,-,-,5.772825,0.2183591,3.782535E-02,5.776953,
20,2,5,00:02:22,26826.96,1,0,-,-,-,5.820235,0.2370126,4.072217E-02,5.825059,
21,2,6,00:02:28,19306.98,1,0,-,-,-,5.865185,0.2637433,0.0449676,5.871112,
22,2,7,00:02:33,13894.96,1,0,-,-,-,5.918572,0.2928702,4.948326E-02,5.925814,
23,2,8,00:02:39,10000,1,0,-,-,-,5.97878,0.3259244,5.451353E-02,5.987657,
24,2,9,00:02:45,7196.857,1,0,-,-,-,6.046496,0.3609315,5.969268E-02,6.057259,
25,2,10,00:02:51,5179.475,1,0,-,-,-,6.122536,0.4002186,6.536811E-02,6.135603,
26,2,11,00:02:57,3727.594,1,0,-,-,-,6.208476,0.4402992,7.091905E-02,6.224069,
27,2,12,00:03:03,2682.696,1,0,-,-,-,6.303968,0.4815801,7.639318E-02,6.322336,
28,2,13,00:03:09,1930.698,1,0,-,-,-,6.40862,0.5234541,8.167969E-02,6.429962,
29,2,14,00:03:15,1389.495,1,0,-,-,-,6.525033,0.5646862,8.654151E-02,6.549422,
30,2,15,00:03:21,1000,1,0,-,-,-,6.652182,0.6039752,9.079354E-02,6.679544,
31,2,16,00:03:27,719.6857,1,0,-,-,-,6.788495,0.6378389,9.395881E-02,6.818395,
32,2,17,00:03:33,517.9474,1,0,-,-,-,6.936281,0.6687698,9.641619E-02,6.968446,
33,2,18,00:03:39,372.7594,1,0,-,-,-,7.092358,0.6917144,9.752954E-02,7.126009,
34,2,19,00:03:46,268.2696,1,0,-,-,-,7.253984,0.7046642,9.714168E-02,7.28813,
35,2,20,00:03:52,193.0698,1,0,-,-,-,7.420887,0.7062863,9.517545E-02,7.454422,
36,2,21,00:03:58,138.9496,1,0,-,-,-,7.587527,0.6961911,9.175467E-02,7.619399,
37,2,22,00:04:04,100,1,0,-,-,-,7.749863,0.6718382,8.669033E-02,7.778929,
38,2,23,00:04:10,71.96857,1,0,-,-,-,7.904209,0.6341047,8.022368E-02,7.929603,
39,2,24,00:04:16,51.79475,1,0,-,-,-,8.046819,0.5861982,7.284844E-02,8.068142,
40,2,25,00:04:22,37.27594,1,0,-,-,-,8.173491,0.5297016,6.480726E-02,8.190638,
41,2,26,00:04:27,26.82696,1,0,-,-,-,8.282416,0.4674223,0.0564355,8.295595,
42,2,27,00:04:33,19.30698,1,0,-,-,-,8.373429,0.4020256,4.801206E-02,8.383075,
43,2,28,00:04:40,13.89495,1,0,-,-,-,8.447737,0.3413488,4.040712E-02,8.454631,
44,2,29,00:04:46,10,1,0,-,-,-,8.505578,0.283437,3.332366E-02,8.5103,
45,2,30,00:04:52,7.196856,1,0,-,-,-,8.547782,0.2346876,2.745597E-02,8.551003,
46,2,31,00:04:59,5.179475,1,0,-,-,-,8.587337,0.1872949,0.0218106,8.589378,
47,2,32,00:05:06,3.727594,1,0,-,-,-,8.611796,0.1575106,1.829009E-02,8.613236,
48,2,33,00:05:12,2.682696,1,0,-,-,-,8.636722,0.1290937,1.494707E-02,8.637687,
49,2,34,00:05:18,1.930698,1,0,-,-,-,8.643224,0.1058482,1.224638E-02,8.643872,
50,2,35,00:05:25,1.389495,1,0,-,-,-,8.653519,9.640824E-02,1.114093E-02,8.654056,
51,2,36,00:05:32,1,1,0,-,-,-,8.658792,8.582064E-02,9.911386E-03,8.659218,
