Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
1,1,1,00:18:56,1000000,1,0,110.00,110.03,108.43,21.95392,0.1618532,7.372406E-03,-724.9108,
2,1,2,00:19:03,794328.2,1,0,110.00,110.03,108.43,21.69902,0.1760634,8.113883E-03,-923.3184,
3,1,3,00:19:10,630957.3,1,0,110.00,110.03,108.43,21.55589,0.2021121,9.37619E-03,-1170.082,
4,1,4,00:19:16,501187.3,1,0,110.00,110.03,108.43,21.48301,0.2253136,1.048799E-02,-1478.01,
5,1,5,00:19:22,398107.2,1,0,110.00,110.03,108.43,21.45906,0.2371493,1.105124E-02,-1862.758,
6,1,6,00:19:28,316227.8,1,0,110.00,110.03,108.43,21.45641,0.2621462,1.221762E-02,-2345.3,
7,1,7,00:19:34,251188.6,1,0,110.00,110.03,108.43,21.46486,0.290338,0.0135262,-2951.296,
8,1,8,00:19:39,199526.2,1,0,110.00,110.03,108.43,21.49195,0.313385,1.458151E-02,-3710.669,
9,1,9,00:19:45,158489.3,1,0,110.00,110.03,108.43,21.52823,0.3398268,1.578517E-02,-4663.413,
10,1,10,00:19:51,125892.5,1,0,110.00,110.03,108.43,21.57021,0.3706526,1.718354E-02,-5859.192,
11,1,11,00:19:57,100000,1,0,110.00,110.03,108.43,21.61998,0.4089853,1.891701E-02,-7358.844,
12,1,12,00:20:03,79432.82,1,0,110.00,110.03,108.43,21.67628,0.4435138,2.046079E-02,-9239.612,
13,1,13,00:20:11,63095.73,1,0,110.00,110.03,108.43,21.75834,0.4760184,2.187752E-02,-11587.42,
14,1,14,00:20:17,50118.72,1,0,110.00,110.03,108.43,21.8298,0.5168252,2.367522E-02,-14538.75,
15,1,15,00:20:23,39810.72,1,0,110.00,110.03,108.43,21.90849,0.5653302,2.580416E-02,-18235.54,
16,1,16,00:20:29,31622.78,1,0,110.00,110.03,108.43,21.99916,0.6115115,2.779705E-02,-22860.13,
17,1,17,00:20:35,25118.86,1,0,110.00,110.03,108.43,22.0895,0.6685994,3.026775E-02,-28657.39,
18,1,18,00:20:41,19952.62,1,0,110.00,110.03,108.43,22.19527,0.7285055,3.282256E-02,-35899.82,
19,1,19,00:20:46,15848.93,1,0,110.00,110.03,108.43,22.30779,0.7925745,3.552905E-02,-44958.93,
20,1,20,00:20:52,12589.25,1,0,110.00,110.03,108.43,22.43005,0.864079,3.852328E-02,-56278.98,
21,1,21,00:20:58,10000,1,0,110.00,110.03,108.43,22.56733,0.9412662,4.170924E-02,-70402.04,
22,1,22,00:21:04,7943.282,1,0,110.00,110.03,108.43,22.71608,1.027501,4.523232E-02,-88023.59,
23,1,23,00:21:10,6309.573,1,0,110.00,110.03,108.43,22.87586,1.120096,4.896411E-02,-110002.6,
24,1,24,00:21:16,5011.873,1,0,110.00,110.03,108.43,23.05712,1.220517,5.293449E-02,-137340.9,
