Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 10:49:17 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,4.438157E-03,-5.203555E-05,-1.172458E-02,-2.894867E-09,
2,1,2,00:00:20,681292.1,1,0,-,-,-,4.457734E-03,1.930605E-05,4.330911E-03,7.317375E-10,
3,1,3,00:00:27,464158.9,1,0,-,-,-,4.483772E-03,5.437835E-05,1.212781E-02,1.404175E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,4.506863E-03,6.89258E-05,1.529352E-02,1.21258E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,4.522859E-03,8.051062E-05,1.780083E-02,9.64973E-10,
6,1,6,00:00:45,146779.9,1,0,-,-,-,4.54441E-03,1.101203E-04,2.423204E-02,8.992131E-10,
7,1,7,00:00:51,100000,1,0,-,-,-,4.549426E-03,9.890609E-05,2.174035E-02,5.502392E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,4.594188E-03,1.017813E-04,2.215436E-02,3.857711E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,4.640361E-03,8.366417E-05,1.802967E-02,2.160403E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,4.661437E-03,4.35103E-05,9.334097E-03,7.654567E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,4.652157E-03,1.396364E-05,3.001542E-03,1.673635E-11,
12,1,12,00:01:23,14677.99,1,0,-,-,-,4.63802E-03,4.688391E-06,1.01086E-03,3.828414E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,4.669713E-03,-4.735084E-06,-1.013999E-03,-2.634245E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,4.669668E-03,7.443937E-06,1.594104E-03,2.821399E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,4.67748E-03,1.534383E-05,3.280362E-03,3.962131E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,4.684443E-03,1.884628E-05,4.023163E-03,3.315539E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,4.694649E-03,1.828883E-05,3.895674E-03,2.192036E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,4.700078E-03,1.929774E-05,4.105835E-03,1.575802E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,4.741763E-03,1.325517E-05,2.79541E-03,7.374182E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,4.743462E-03,1.048337E-05,2.210066E-03,3.973403E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,4.759702E-03,1.370777E-05,2.879963E-03,3.539663E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,4.751034E-03,1.348503E-05,2.838336E-03,2.372359E-13,
23,1,23,00:02:29,215.4435,1,0,-,-,-,4.755998E-03,1.229603E-05,2.585372E-03,1.47376E-13,
24,1,24,00:02:36,146.7799,1,0,-,-,-,4.273469E-03,2.583828E-05,6.046207E-03,2.109885E-13,
25,1,25,00:02:41,100,1,0,-,-,-,4.26859E-03,1.803231E-05,4.224417E-03,1.003182E-13,
26,1,26,00:02:47,68.1292,1,0,-,-,-,4.217702E-03,8.763391E-05,2.077764E-02,3.321498E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,4.210877E-03,-2.426786E-04,-5.763137E-02,-6.266524E-13,
28,1,28,00:02:59,31.62278,1,0,-,-,-,4.195221E-03,-2.534503E-06,-6.041405E-04,-4.458836E-15,
29,1,29,00:03:05,21.54435,1,0,-,-,-,4.294636E-03,-1.172376E-05,-2.729861E-03,-1.405169E-14,
30,1,30,00:03:13,14.67799,1,0,-,-,-,4.734547E-03,7.959679E-05,1.681191E-02,6.49966E-14,
31,1,31,00:03:21,10,1,0,-,-,-,4.494233E-03,-1.243473E-04,-0.0276682,-6.917751E-14,
