Exported SMaRT Impedance Data
Experiment start time : 5/26/2017 10:49:02 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.90416,0.5081604,0.2668685,2.827023E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,1.34243,0.1893645,0.141061,7.177289E-06,
3,1,3,00:00:24,464158.9,1,0,-,-,-,1.189997,0.1342667,0.1128295,3.467077E-06,
4,1,4,00:00:30,316227.8,1,0,-,-,-,1.144446,0.1196738,0.1045692,2.105367E-06,
5,1,5,00:00:35,215443.5,1,0,-,-,-,1.1392,0.1172925,0.1029604,1.405827E-06,
6,1,6,00:00:42,146779.9,1,0,-,-,-,1.179587,0.1270561,0.1077123,1.037506E-06,
7,1,7,00:00:48,100000,1,0,-,-,-,1.188554,0.1253545,0.1054681,6.973782E-07,
8,1,8,00:00:53,68129.2,1,0,-,-,-,1.210683,0.1254704,0.103636,4.755576E-07,
9,1,9,00:01:02,46415.89,1,0,-,-,-,1.238911,0.1249002,0.1008145,3.225213E-07,
10,1,10,00:01:08,31622.78,1,0,-,-,-,1.269457,0.1226066,9.658194E-02,2.156961E-07,
11,1,11,00:01:13,21544.35,1,0,-,-,-,1.300233,0.118429,9.108295E-02,1.41945E-07,
12,1,12,00:01:19,14677.99,1,0,-,-,-,1.330654,0.1123748,8.445082E-02,9.176227E-08,
13,1,13,00:01:26,10000,1,0,-,-,-,1.360958,0.1048572,7.704661E-02,5.83347E-08,
14,1,14,00:01:31,6812.921,1,0,-,-,-,1.386382,9.492902E-02,6.847249E-02,3.597998E-08,
15,1,15,00:01:37,4641.589,1,0,-,-,-,1.409191,8.322594E-02,5.905937E-02,2.149087E-08,
16,1,16,00:01:43,3162.278,1,0,-,-,-,1.428237,7.116284E-02,4.982565E-02,1.251935E-08,
17,1,17,00:01:49,2154.435,1,0,-,-,-,1.443478,0.0592492,4.104613E-02,7.101407E-09,
18,1,18,00:01:55,1467.799,1,0,-,-,-,1.455641,4.833056E-02,3.320225E-02,3.946544E-09,
19,1,19,00:02:01,1000,1,0,-,-,-,1.464686,3.833119E-02,2.617024E-02,2.13246E-09,
20,1,20,00:02:07,681.2921,1,0,-,-,-,1.471067,2.988727E-02,2.031672E-02,1.132786E-09,
21,1,21,00:02:13,464.1589,1,0,-,-,-,1.475896,2.306144E-02,1.562538E-02,5.954998E-10,
22,1,22,00:02:19,316.2278,1,0,-,-,-,1.478986,1.765088E-02,1.193445E-02,3.105238E-10,
23,1,23,00:02:26,215.4435,1,0,-,-,-,1.480958,1.344934E-02,9.08151E-03,1.611992E-10,
24,1,24,00:02:32,146.7799,1,0,-,-,-,1.482454,1.022105E-02,6.894684E-03,8.346238E-11,
25,1,25,00:02:38,100,1,0,-,-,-,1.483522,8.172739E-03,5.509011E-03,4.546699E-11,
26,1,26,00:02:44,68.1292,1,0,-,-,-,1.484214,6.198907E-03,4.176558E-03,2.349508E-11,
27,1,27,00:02:50,46.41589,1,0,-,-,-,1.484718,5.35929E-03,3.609635E-03,1.383893E-11,
28,1,28,00:02:56,31.62278,1,0,-,-,-,1.486207,4.577158E-03,3.079758E-03,8.052384E-12,
29,1,29,00:03:02,21.54435,1,0,-,-,-,1.486126,6.398326E-03,4.305372E-03,7.668815E-12,
30,1,30,00:03:08,14.67799,1,0,-,-,-,1.485672,7.760637E-03,5.223654E-03,6.337128E-12,
31,1,31,00:03:14,10,1,0,-,-,-,1.485957,7.470717E-03,5.027547E-03,4.156146E-12,
