Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 7:41:59 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.084906,0.2296158,0.2116458,1.27741E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,0.7761176,8.684248E-02,0.1118935,3.291501E-06,
3,1,3,00:00:23,464158.9,1,0,-,-,-,0.6910886,6.244328E-02,9.035495E-02,1.61243E-06,
4,1,4,00:00:29,316227.8,1,0,-,-,-,0.6640165,5.649453E-02,8.508002E-02,9.938822E-07,
5,1,5,00:00:35,215443.5,1,0,-,-,-,0.6914288,6.588563E-02,9.528911E-02,7.896827E-07,
6,1,6,00:00:41,146779.9,1,0,-,-,-,0.6793796,0.0623527,9.177888E-02,5.091555E-07,
7,1,7,00:00:47,100000,1,0,-,-,-,0.682128,6.361397E-02,9.325811E-02,3.539003E-07,
8,1,8,00:00:53,68129.2,1,0,-,-,-,0.69243,6.668184E-02,9.630121E-02,2.527374E-07,
9,1,9,00:01:01,46415.89,1,0,-,-,-,0.7069299,7.009983E-02,9.916094E-02,1.81014E-07,
10,1,10,00:01:07,31622.78,1,0,-,-,-,0.7238293,7.326185E-02,0.1012143,1.288862E-07,
11,1,11,00:01:13,21544.35,1,0,-,-,-,0.7454405,7.579499E-02,0.1016781,9.084528E-08,
12,1,12,00:01:19,14677.99,1,0,-,-,-,0.7628416,7.769185E-02,0.1018453,6.344109E-08,
13,1,13,00:01:25,10000,1,0,-,-,-,0.782823,7.882306E-02,0.1006908,4.385123E-08,
14,1,14,00:01:31,6812.921,1,0,-,-,-,0.8034447,7.859343E-02,9.782058E-02,2.978846E-08,
15,1,15,00:01:37,4641.589,1,0,-,-,-,0.8246109,7.643321E-02,9.269004E-02,1.973683E-08,
16,1,16,00:01:43,3162.278,1,0,-,-,-,0.8448861,7.243912E-02,8.573833E-02,1.274388E-08,
17,1,17,00:01:49,2154.435,1,0,-,-,-,0.8640209,6.701093E-02,7.755707E-02,8.031702E-09,
18,1,18,00:01:55,1467.799,1,0,-,-,-,0.8806595,6.004554E-02,6.818248E-02,4.903158E-09,
19,1,19,00:02:01,1000,1,0,-,-,-,0.8949183,5.229766E-02,5.843847E-02,2.909449E-09,
20,1,20,00:02:07,681.2921,1,0,-,-,-,0.9066798,4.419895E-02,4.874813E-02,1.675228E-09,
21,1,21,00:02:13,464.1589,1,0,-,-,-,0.9162164,3.663993E-02,3.999048E-02,9.46128E-10,
22,1,22,00:02:19,316.2278,1,0,-,-,-,0.9232682,0.0300598,3.255804E-02,5.288282E-10,
23,1,23,00:02:26,215.4435,1,0,-,-,-,0.9286134,2.324136E-02,2.502803E-02,2.78563E-10,
24,1,24,00:02:33,146.7799,1,0,-,-,-,0.9326277,0.0179437,1.923994E-02,1.465235E-10,
25,1,25,00:02:39,100,1,0,-,-,-,0.9348616,0.0138907,1.485857E-02,7.727744E-11,
26,1,26,00:02:44,68.1292,1,0,-,-,-,0.9373763,1.080129E-02,0.0115229,4.093902E-11,
27,1,27,00:02:50,46.41589,1,0,-,-,-,0.9389849,7.919221E-03,8.43381E-03,2.044926E-11,
28,1,28,00:02:56,31.62278,1,0,-,-,-,0.9385637,6.417627E-03,6.837711E-03,1.129024E-11,
29,1,29,00:03:02,21.54435,1,0,-,-,-,0.9398525,4.269635E-03,4.542878E-03,5.117439E-12,
30,1,30,00:03:08,14.67799,1,0,-,-,-,0.9421827,4.534672E-03,4.812943E-03,3.702891E-12,
31,1,31,00:03:14,10,1,0,-,-,-,0.9401703,5.463603E-03,5.811291E-03,3.039538E-12,
