Exported SMaRT Impedance Data
Experiment start time : 5/28/2017 1:15:23 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,3.378212E-03,1.261981E-05,3.735648E-03,7.020716E-10,
2,1,2,00:00:20,681292.1,1,0,-,-,-,3.341089E-03,6.863738E-05,2.054341E-02,2.601493E-09,
3,1,3,00:00:28,464158.9,1,0,-,-,-,3.341896E-03,8.958751E-05,2.680739E-02,2.313357E-09,
4,1,4,00:00:34,316227.8,1,0,-,-,-,3.352832E-03,9.777222E-05,2.916109E-02,1.720062E-09,
5,1,5,00:00:40,215443.5,1,0,-,-,-,3.364244E-03,1.053316E-04,3.130914E-02,1.262469E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,3.383884E-03,1.359353E-04,4.017139E-02,1.110012E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,3.393278E-03,1.148609E-04,3.384953E-02,6.389996E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,3.439124E-03,1.17383E-04,3.413164E-02,4.449045E-10,
9,1,9,00:01:06,46415.89,1,0,-,-,-,3.494064E-03,9.751752E-05,2.790949E-02,2.518128E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,3.515903E-03,5.328161E-05,1.515446E-02,9.373589E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,3.508479E-03,1.930527E-05,5.502461E-03,2.313863E-11,
12,1,12,00:01:23,14677.99,1,0,-,-,-,3.49258E-03,8.950306E-06,2.562663E-03,7.30858E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,3.530891E-03,-3.640534E-06,-1.031052E-03,-2.02532E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,3.532717E-03,1.04738E-05,2.964801E-03,3.969778E-12,
15,1,15,00:01:41,4641.589,1,0,-,-,-,0.0035415,1.92817E-05,5.444501E-03,4.97898E-12,
16,1,16,00:01:47,3162.278,1,0,-,-,-,3.550713E-03,2.22491E-05,6.266094E-03,3.914182E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,3.55882E-03,2.232858E-05,6.274153E-03,2.676228E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,3.566199E-03,2.02856E-05,5.688298E-03,1.656468E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,3.618889E-03,1.094927E-05,3.025588E-03,6.091351E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,3.619689E-03,1.69146E-05,4.672941E-03,6.410967E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,3.624717E-03,1.713103E-05,4.726171E-03,4.423629E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,3.614376E-03,1.999154E-05,5.531117E-03,3.51702E-13,
23,1,23,00:02:30,215.4435,1,0,-,-,-,3.63123E-03,1.370965E-05,3.775485E-03,1.643192E-13,
24,1,24,00:02:36,146.7799,1,0,-,-,-,3.053889E-03,2.466802E-05,8.077575E-03,2.014324E-13,
25,1,25,00:02:42,100,1,0,-,-,-,3.045449E-03,1.346187E-05,4.420323E-03,7.489173E-14,
26,1,26,00:02:48,68.1292,1,0,-,-,-,3.088879E-03,-7.689113E-05,-2.489289E-02,-2.914326E-13,
27,1,27,00:02:54,46.41589,1,0,-,-,-,3.00861E-03,-3.334003E-05,-1.108154E-02,-8.609169E-14,
28,1,28,00:02:59,31.62278,1,0,-,-,-,3.133577E-03,3.695483E-04,0.1179318,6.501294E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,3.208651E-03,4.331965E-04,0.1350089,5.192146E-13,
30,1,30,00:03:14,14.67799,1,0,-,-,-,3.567357E-03,-4.255003E-04,-0.1192761,-3.474521E-13,
31,1,31,00:03:21,10,1,0,-,-,-,3.308403E-03,4.272124E-04,0.1291295,2.376689E-13,
