Exported SMaRT Impedance Data
Experiment start time : 5/11/2016 8:52:02 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:09,10000000,1,0,-,-,-,18.25607,32.27734,1.768034,37.08249,
2,1,2,00:00:16,7196857,1,0,-,-,-,3.528737,7.666975,2.172725,8.440053,
3,1,3,00:00:26,5179475,1,0,-,-,-,12.15907,4.454532,0.3663545,12.94936,
4,1,4,00:00:32,3727594,1,0,-,-,-,7.936387,0.5452552,0.0687032,7.955095,
5,1,5,00:00:38,2682696,1,0,-,-,-,6.475276,0.1479344,2.284603E-02,6.476966,
6,1,6,00:00:44,1930698,1,0,-,-,-,5.889805,6.787811E-02,1.152468E-02,5.890196,
7,1,7,00:00:50,1389496,1,0,-,-,-,5.625035,3.789912E-02,6.737579E-03,5.625163,
8,1,8,00:00:56,1000000,1,0,-,-,-,5.524082,-1.615746E-02,-2.924914E-03,5.524106,
9,1,9,00:01:02,719685.7,1,0,-,-,-,5.454182,-1.150408E-02,-2.109223E-03,5.454194,
10,1,10,00:01:09,517947.4,1,0,-,-,-,5.420897,-5.684441E-03,-1.048616E-03,5.4209,
11,1,11,00:01:15,372759.4,1,0,-,-,-,5.404042,-2.722199E-03,-5.037338E-04,5.404043,
12,1,12,00:01:21,268269.6,1,0,-,-,-,5.411011,0.0138845,2.565972E-03,5.411029,
13,1,13,00:01:27,193069.8,1,0,-,-,-,5.398576,1.334025E-02,2.471069E-03,5.398592,
14,1,14,00:01:33,138949.5,1,0,-,-,-,5.395187,1.151003E-02,2.133388E-03,5.395199,
15,1,15,00:01:39,100000,1,0,-,-,-,5.39592,0.0112869,2.091747E-03,5.395932,
16,2,1,00:01:47,100000,1,0,-,-,-,5.396121,1.122731E-02,2.080626E-03,5.396132,
17,2,2,00:01:56,71968.57,1,0,-,-,-,5.396633,8.863202E-03,1.642358E-03,5.39664,
18,2,3,00:02:04,51794.75,1,0,-,-,-,5.398442,5.158277E-03,9.555122E-04,5.398444,
19,2,4,00:02:10,37275.94,1,0,-,-,-,5.397602,1.147461E-03,2.125873E-04,5.397602,
20,2,5,00:02:16,26826.96,1,0,-,-,-,5.401816,1.092665E-02,2.022773E-03,5.401827,
21,2,6,00:02:22,19306.98,1,0,-,-,-,5.402367,1.012896E-02,1.874912E-03,5.402376,
22,2,7,00:02:28,13894.96,1,0,-,-,-,5.405147,8.400949E-03,1.55425E-03,5.405153,
23,2,8,00:02:34,10000,1,0,-,-,-,5.406355,7.534083E-03,1.39356E-03,5.406361,
24,2,9,00:02:40,7196.857,1,0,-,-,-,5.40751,6.093501E-03,1.126859E-03,5.407513,
25,2,10,00:02:45,5179.475,1,0,-,-,-,5.408686,0.0049387,9.131053E-04,5.408689,
26,2,11,00:02:51,3727.594,1,0,-,-,-,5.409477,3.892525E-03,7.195752E-04,5.409479,
27,2,12,00:02:58,2682.696,1,0,-,-,-,5.412113,2.911002E-03,5.378679E-04,5.412114,
28,2,13,00:03:03,1930.698,1,0,-,-,-,5.412498,1.550041E-03,2.863819E-04,5.412498,
29,2,14,00:03:09,1389.495,1,0,-,-,-,5.412896,2.520745E-03,4.656925E-04,5.412897,
30,2,15,00:03:15,1000,1,0,-,-,-,5.412459,8.41302E-04,1.55438E-04,5.412459,
31,2,16,00:03:21,719.6857,1,0,-,-,-,5.412488,5.954419E-04,1.100126E-04,5.412488,
32,2,17,00:03:27,517.9474,1,0,-,-,-,5.412757,3.494573E-04,6.456178E-05,5.412757,
33,2,18,00:03:33,372.7594,1,0,-,-,-,5.412375,1.631054E-04,3.013564E-05,5.412375,
34,2,19,00:03:41,268.2696,1,0,-,-,-,5.410861,-6.508861E-04,-1.202925E-04,5.410861,
35,2,20,00:03:46,193.0698,1,0,-,-,-,5.411839,-4.882725E-05,-9.022302E-06,5.411839,
36,2,21,00:03:52,138.9496,1,0,-,-,-,5.41216,3.096438E-04,5.72126E-05,5.41216,
37,2,22,00:03:58,100,1,0,-,-,-,5.411788,-3.711547E-04,-6.858264E-05,5.411788,
38,2,23,00:04:04,71.96857,1,0,-,-,-,5.411777,-5.892689E-04,-1.088864E-04,5.411777,
39,2,24,00:04:10,51.79475,1,0,-,-,-,5.411702,-9.201383E-04,-1.700275E-04,5.411702,
40,2,25,00:04:15,37.27594,1,0,-,-,-,5.411476,-9.184644E-04,-1.697253E-04,5.411476,
41,2,26,00:04:22,26.82696,1,0,-,-,-,5.411125,-9.192178E-04,-1.698755E-04,5.411125,
42,2,27,00:04:28,19.30698,1,0,-,-,-,5.409921,-1.635983E-03,-3.024042E-04,5.409922,
43,2,28,00:04:34,13.89495,1,0,-,-,-,5.411607,-2.132076E-03,-3.93982E-04,5.411608,
44,2,29,00:04:40,10,1,0,-,-,-,5.410195,-1.638993E-03,-3.029453E-04,5.410196,
45,2,30,00:04:46,7.196856,1,0,-,-,-,5.410104,-2.079624E-03,-3.843963E-04,5.410105,
46,2,31,00:04:52,5.179475,1,0,-,-,-,5.40906,-2.42166E-03,-4.477044E-04,5.40906,
47,2,32,00:04:58,3.727594,1,0,-,-,-,5.409123,-1.87515E-03,-3.466643E-04,5.409124,
48,2,33,00:05:05,2.682696,1,0,-,-,-,5.413206,-2.102206E-03,-3.883477E-04,5.413206,
