Exported SMaRT Impedance Data
Experiment start time : 5/12/2016 12:21:56 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:10,10000000,1,0,-,-,-,173.7658,-61.85463,-0.3559654,184.4466,
2,1,2,00:00:16,7196857,1,0,-,-,-,3.418613,7.137664,2.087883,7.914112,
3,1,3,00:00:27,5179475,1,0,-,-,-,11.55623,4.183726,0.3620321,12.29024,
4,1,4,00:00:33,3727594,1,0,-,-,-,7.590345,0.5124843,6.751791E-02,7.607626,
5,1,5,00:00:39,2682696,1,0,-,-,-,6.209785,0.1365488,0.0219893,6.211286,
6,1,6,00:00:45,1930698,1,0,-,-,-,5.654665,6.039908E-02,1.068128E-02,5.654987,
7,1,7,00:00:51,1389496,1,0,-,-,-,5.435881,-2.299933E-02,-4.231023E-03,5.435929,
8,1,8,00:00:57,1000000,1,0,-,-,-,5.304592,-2.101499E-02,-3.96166E-03,5.304634,
9,1,9,00:01:03,719685.7,1,0,-,-,-,5.237427,-1.667286E-02,-3.183407E-03,5.237454,
10,1,10,00:01:10,517947.4,1,0,-,-,-,5.204378,-1.240879E-02,-2.384299E-03,5.204393,
11,1,11,00:01:16,372759.4,1,0,-,-,-,5.187007,-1.069345E-02,-2.061584E-03,5.187018,
12,1,12,00:01:22,268269.6,1,0,-,-,-,5.19208,4.392111E-03,8.459251E-04,5.192082,
13,1,13,00:01:28,193069.8,1,0,-,-,-,5.178042,3.207239E-03,6.193921E-04,5.178043,
14,1,14,00:01:34,138949.5,1,0,-,-,-,5.172968,9.765421E-04,1.887779E-04,5.172968,
15,1,15,00:01:39,100000,1,0,-,-,-,5.170767,5.482274E-04,1.060244E-04,5.170767,
16,2,1,00:01:48,100000,1,0,-,-,-,5.170148,5.784571E-04,1.118841E-04,5.170148,
17,2,2,00:01:57,71968.57,1,0,-,-,-,5.169301,-1.151802E-03,-2.228157E-04,5.169301,
18,2,3,00:02:05,51794.75,1,0,-,-,-,5.168296,-4.818482E-03,-9.323153E-04,5.168299,
19,2,4,00:02:11,37275.94,1,0,-,-,-,5.16492,-7.620109E-03,-1.475359E-03,5.164926,
20,2,5,00:02:17,26826.96,1,0,-,-,-,5.166007,1.516824E-03,2.936163E-04,5.166007,
21,2,6,00:02:23,19306.98,1,0,-,-,-,5.164215,1.627051E-03,3.150626E-04,5.164215,
22,2,7,00:02:29,13894.96,1,0,-,-,-,5.164926,1.531552E-03,2.965294E-04,5.164926,
23,2,8,00:02:35,10000,1,0,-,-,-,5.164973,0.0022666,4.388407E-04,5.164973,
24,2,9,00:02:40,7196.857,1,0,-,-,-,5.165574,2.757241E-03,5.337725E-04,5.165575,
25,2,10,00:02:46,5179.475,1,0,-,-,-,5.166494,3.139453E-03,6.076563E-04,5.166495,
26,2,11,00:02:52,3727.594,1,0,-,-,-,5.166846,3.535463E-03,6.842595E-04,5.166847,
27,2,12,00:02:58,2682.696,1,0,-,-,-,5.169607,4.662846E-03,9.019731E-04,5.169609,
28,2,13,00:03:04,1930.698,1,0,-,-,-,5.170402,4.442682E-03,8.592526E-04,5.170404,
29,2,14,00:03:10,1389.495,1,0,-,-,-,5.171129,5.806369E-03,1.122843E-03,5.171133,
30,2,15,00:03:16,1000,1,0,-,-,-,5.172143,6.015771E-03,1.16311E-03,5.172147,
31,2,16,00:03:22,719.6857,1,0,-,-,-,5.173348,6.516562E-03,1.259641E-03,5.173353,
32,2,17,00:03:28,517.9474,1,0,-,-,-,5.174732,7.024954E-03,1.357549E-03,5.174737,
33,2,18,00:03:34,372.7594,1,0,-,-,-,5.176041,8.059434E-03,1.557065E-03,5.176047,
34,2,19,00:03:42,268.2696,1,0,-,-,-,5.176505,7.751044E-03,1.497351E-03,5.17651,
35,2,20,00:03:47,193.0698,1,0,-,-,-,5.179343,9.152865E-03,1.767187E-03,5.179351,
36,2,21,00:03:53,138.9496,1,0,-,-,-,5.181999,0.0100006,1.929873E-03,5.182009,
37,2,22,00:03:59,100,1,0,-,-,-,5.183328,1.050006E-02,2.025738E-03,5.183338,
38,2,23,00:04:05,71.96857,1,0,-,-,-,5.186001,1.063643E-02,2.050989E-03,5.186012,
39,2,24,00:04:11,51.79475,1,0,-,-,-,5.188587,0.0111534,2.149602E-03,5.188599,
40,2,25,00:04:16,37.27594,1,0,-,-,-,5.190967,1.079558E-02,2.079685E-03,5.190979,
41,2,26,00:04:23,26.82696,1,0,-,-,-,5.193719,1.097811E-02,2.113728E-03,5.19373,
42,2,27,00:04:29,19.30698,1,0,-,-,-,5.196019,0.0106891,2.05717E-03,5.19603,
43,2,28,00:04:35,13.89495,1,0,-,-,-,5.199303,9.393067E-03,1.806601E-03,5.199312,
44,2,29,00:04:40,10,1,0,-,-,-,5.201023,8.400485E-03,1.61516E-03,5.20103,
45,2,30,00:04:46,7.196856,1,0,-,-,-,5.203357,6.477099E-03,1.244792E-03,5.203361,
46,2,31,00:04:53,5.179475,1,0,-,-,-,5.204631,5.260488E-03,1.010732E-03,5.204634,
47,2,32,00:04:59,3.727594,1,0,-,-,-,5.205673,3.343555E-03,6.422906E-04,5.205674,
48,2,33,00:05:06,2.682696,1,0,-,-,-,5.210136,1.751487E-03,3.36169E-04,5.210137,
49,2,34,00:05:12,1.930698,1,0,-,-,-,5.210409,-1.070849E-04,-2.055211E-05,5.210409,
50,2,35,00:05:19,1.389495,1,0,-,-,-,5.210649,-1.555065E-03,-2.984397E-04,5.210649,
51,2,36,00:05:25,1,1,0,-,-,-,5.210156,-3.053132E-03,-5.859961E-04,5.210157,
