Exported SMaRT Impedance Data
Experiment start time : 9/13/2016 4:37:22 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-0.6287932,1.790135,-2.846937,1.897357,
2,1,2,00:00:20,7196857,1,0,-,-,-,-0.1301335,1.176907,-9.043848,1.18408,
3,1,3,00:00:31,5179475,1,0,-,-,-,-1.893853,3.820071,-2.01709,4.263757,
4,1,4,00:00:37,3727594,1,0,-,-,-,4.404255,10.17686,2.310688,11.089,
5,1,5,00:00:43,2682696,1,0,-,-,-,5.590031,0.7441285,0.1331171,5.639341,
6,1,6,00:00:49,1930698,1,0,-,-,-,4.078156,0.1010575,2.478019E-02,4.079407,
7,1,7,00:00:55,1389496,1,0,-,-,-,3.547805,3.104266E-02,8.749822E-03,3.54794,
8,1,8,00:01:01,1000000,1,0,-,-,-,3.326455,2.378106E-02,7.149072E-03,3.32654,
9,1,9,00:01:06,719685.7,1,0,-,-,-,3.226597,3.040603E-02,9.42356E-03,3.22674,
10,1,10,00:01:16,517947.4,1,0,-,-,-,3.182929,4.044615E-02,1.270721E-02,3.183186,
11,1,11,00:01:22,372759.4,1,0,-,-,-,3.22801,7.004602E-02,2.169945E-02,3.22877,
12,1,12,00:01:28,268269.6,1,0,-,-,-,3.19699,6.875396E-02,2.150584E-02,3.197729,
13,1,13,00:01:34,193069.8,1,0,-,-,-,3.188176,7.529026E-02,2.361547E-02,3.189065,
14,1,14,00:01:40,138949.5,1,0,-,-,-,3.192272,8.457877E-02,2.649485E-02,3.193392,
15,1,15,00:01:46,100000,1,0,-,-,-,3.204299,9.557049E-02,2.982571E-02,3.205724,
16,2,1,00:01:54,100000,1,0,-,-,-,3.204317,9.565669E-02,2.985244E-02,3.205744,
17,2,2,00:02:03,71968.57,1,0,-,-,-,3.22207,0.1070282,3.321722E-02,3.223848,
18,2,3,00:02:11,51794.75,1,0,-,-,-,3.256169,0.124237,3.815434E-02,3.258538,
19,2,4,00:02:17,37275.94,1,0,-,-,-,3.275618,0.1329647,4.059225E-02,3.278316,
20,2,5,00:02:23,26826.96,1,0,-,-,-,3.299875,0.144749,0.043865,3.303049,
21,2,6,00:02:29,19306.98,1,0,-,-,-,3.329504,0.1583136,4.754871E-02,3.333266,
22,2,7,00:02:35,13894.96,1,0,-,-,-,3.363949,0.1721603,5.117804E-02,3.368351,
23,2,8,00:02:41,10000,1,0,-,-,-,3.403046,0.1854241,0.0544877,3.408094,
24,2,9,00:02:46,7196.857,1,0,-,-,-,3.446812,0.1967936,5.709437E-02,3.452425,
25,2,10,00:02:52,5179.475,1,0,-,-,-,3.494247,0.2051019,5.869704E-02,3.500261,
26,2,11,00:02:58,3727.594,1,0,-,-,-,3.544777,0.2099679,5.923304E-02,3.55099,
27,2,12,00:03:04,2682.696,1,0,-,-,-,3.596503,0.2090568,0.0581278,3.602574,
28,2,13,00:03:10,1930.698,1,0,-,-,-,3.647872,0.2021128,5.540567E-02,3.653467,
29,2,14,00:03:16,1389.495,1,0,-,-,-,3.696502,0.1891629,5.117349E-02,3.701339,
30,2,15,00:03:22,1000,1,0,-,-,-,3.740063,0.1710654,4.573865E-02,3.743973,
31,2,16,00:03:28,719.6857,1,0,-,-,-,3.777051,0.1499329,3.969576E-02,3.780026,
32,2,17,00:03:34,517.9474,1,0,-,-,-,3.805877,0.1277022,3.355395E-02,3.808019,
33,2,18,00:03:40,372.7594,1,0,-,-,-,3.828072,0.1064058,2.779619E-02,3.829551,
34,2,19,00:03:48,268.2696,1,0,-,-,-,3.843757,8.790942E-02,0.0228707,3.844762,
35,2,20,00:03:54,193.0698,1,0,-,-,-,3.854202,7.396185E-02,1.918993E-02,3.854911,
36,2,21,00:03:59,138.9496,1,0,-,-,-,3.861223,0.0637661,1.651448E-02,3.861749,
37,2,22,00:04:05,100,1,0,-,-,-,3.86574,5.904543E-02,1.527403E-02,3.866191,
38,2,23,00:04:11,71.96857,1,0,-,-,-,3.868502,5.882119E-02,1.520516E-02,3.86895,
39,2,24,00:04:17,51.79475,1,0,-,-,-,3.869951,6.445928E-02,1.665636E-02,3.870488,
40,2,25,00:04:23,37.27594,1,0,-,-,-,3.871392,7.669182E-02,1.980988E-02,3.872152,
41,2,26,00:04:29,26.82696,1,0,-,-,-,3.872502,9.678175E-02,2.499205E-02,3.873711,
42,2,27,00:04:35,19.30698,1,0,-,-,-,3.873688,0.1277362,3.297535E-02,3.875794,
43,2,28,00:04:41,13.89495,1,0,-,-,-,3.874989,0.1718152,4.433954E-02,3.878796,
44,2,29,00:04:47,10,1,0,-,-,-,3.87805,0.2346869,6.051672E-02,3.885145,
45,2,30,00:04:53,7.196856,1,0,-,-,-,3.878037,0.3234225,8.339851E-02,3.8915,
46,2,31,00:04:59,5.179475,1,0,-,-,-,3.884741,0.4452404,0.1146126,3.910173,
47,2,32,00:05:06,3.727594,1,0,-,-,-,3.895082,0.6165969,0.1583014,3.943584,
48,2,33,00:05:13,2.682696,1,0,-,-,-,3.912169,0.8515161,0.2176583,4.003767,
49,2,34,00:05:19,1.930698,1,0,-,-,-,3.943933,1.171908,0.2971418,4.114362,
50,2,35,00:05:26,1.389495,1,0,-,-,-,3.99697,1.608911,0.4025326,4.308639,
51,2,36,00:05:32,1,1,0,-,-,-,4.083029,2.198344,0.5384102,4.637224,
