Exported SMaRT Impedance Data
Experiment start time : 11/3/2016 9:12:43 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:09,10000000,1,0,-,-,-,-2.261853,2.606391,-1.152326,3.450979,
2,1,2,00:00:16,7196857,1,0,-,-,-,-1.599047,2.55971,-1.600772,3.018123,
3,1,3,00:00:24,5179475,1,0,-,-,-,-5.1344,7.778926,-1.51506,9.320609,
4,1,4,00:00:30,3727594,1,0,-,-,-,8.066209,27.88809,3.457398,29.03118,
5,1,5,00:00:36,2682696,1,0,-,-,-,13.70568,1.763072,0.128638,13.81862,
6,1,6,00:00:42,1930698,1,0,-,-,-,9.650186,0.3310655,3.430665E-02,9.655863,
7,1,7,00:00:48,1389496,1,0,-,-,-,8.359031,0.1169038,1.398533E-02,8.359848,
8,1,8,00:00:54,1000000,1,0,-,-,-,7.821054,5.599901E-02,7.160034E-03,7.821254,
9,1,9,00:01:00,719685.7,1,0,-,-,-,7.570944,4.099314E-02,5.414535E-03,7.571055,
10,1,10,00:01:07,517947.4,1,0,-,-,-,7.450506,3.697309E-02,4.962494E-03,7.450597,
11,1,11,00:01:13,372759.4,1,0,-,-,-,7.391685,0.0334966,4.53166E-03,7.39176,
12,1,12,00:01:19,268269.6,1,0,-,-,-,7.367845,3.515862E-02,0.0047719,7.367929,
13,1,13,00:01:25,193069.8,1,0,-,-,-,7.392068,4.025866E-02,5.446197E-03,7.392178,
14,1,14,00:01:31,138949.5,1,0,-,-,-,7.375209,3.969903E-02,5.382767E-03,7.375316,
15,1,15,00:01:37,100000,1,0,-,-,-,7.372098,3.812357E-02,5.171332E-03,7.372197,
16,2,1,00:01:46,100000,1,0,-,-,-,7.372286,3.846831E-02,5.217963E-03,7.372386,
17,2,2,00:01:54,71968.57,1,0,-,-,-,7.373333,4.128604E-02,5.599372E-03,7.373449,
18,2,3,00:02:03,51794.75,1,0,-,-,-,7.378728,4.225524E-02,5.726628E-03,7.37885,
19,2,4,00:02:09,37275.94,1,0,-,-,-,7.386433,4.375423E-02,5.923594E-03,7.386563,
20,2,5,00:02:14,26826.96,1,0,-,-,-,7.395593,4.372135E-02,5.911812E-03,7.395722,
21,2,6,00:02:21,19306.98,1,0,-,-,-,7.404362,4.040068E-02,5.456335E-03,7.404472,
22,2,7,00:02:27,13894.96,1,0,-,-,-,7.410872,4.069888E-02,5.49178E-03,7.410984,
23,2,8,00:02:32,10000,1,0,-,-,-,7.419763,4.056659E-02,5.46737E-03,7.419874,
24,2,9,00:02:38,7196.857,1,0,-,-,-,7.42768,4.092621E-02,5.50996E-03,7.427792,
25,2,10,00:02:44,5179.475,1,0,-,-,-,7.435103,4.327153E-02,5.819897E-03,7.435229,
26,2,11,00:02:50,3727.594,1,0,-,-,-,7.443783,4.429769E-02,5.950965E-03,7.443914,
