Exported SMaRT Impedance Data
Experiment start time : 11/2/2016 1:46:54 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-2.026017,2.046827,-1.010271,2.879973,
2,1,2,00:00:19,7196857,1,0,-,-,-,-1.096082,1.791917,-1.634839,2.100562,
3,1,3,00:00:30,5179475,1,0,-,-,-,-3.898212,6.03481,-1.548097,7.184357,
4,1,4,00:00:35,3727594,1,0,-,-,-,5.920293,20.82397,3.517388,21.64919,
5,1,5,00:00:41,2682696,1,0,-,-,-,10.71377,1.793844,0.1674335,10.8629,
6,1,6,00:00:47,1930698,1,0,-,-,-,7.70161,0.5500914,7.142551E-02,7.72123,
7,1,7,00:00:53,1389496,1,0,-,-,-,6.744417,0.3521241,5.220971E-02,6.753603,
8,1,8,00:00:59,1000000,1,0,-,-,-,6.366502,0.3112598,4.889024E-02,6.374106,
9,1,9,00:01:05,719685.7,1,0,-,-,-,6.215301,0.3187379,5.128278E-02,6.223469,
10,1,10,00:01:12,517947.4,1,0,-,-,-,6.171579,0.3432275,5.561421E-02,6.181116,
11,1,11,00:01:18,372759.4,1,0,-,-,-,6.184591,0.3774688,6.103375E-02,6.1961,
12,1,12,00:01:24,268269.6,1,0,-,-,-,6.233368,0.4215497,6.762792E-02,6.247606,
13,1,13,00:01:30,193069.8,1,0,-,-,-,6.336947,0.4757343,0.0750731,6.35478,
14,1,14,00:01:36,138949.5,1,0,-,-,-,6.418336,0.5255475,8.188221E-02,6.439816,
15,1,15,00:01:42,100000,1,0,-,-,-,6.522899,0.5811727,0.0890973,6.548738,
16,2,1,00:01:51,100000,1,0,-,-,-,6.52304,0.5814032,8.913071E-02,6.5489,
17,2,2,00:02:00,71968.57,1,0,-,-,-,6.648843,0.6380743,9.596771E-02,6.67939,
18,2,3,00:02:08,51794.75,1,0,-,-,-,6.796548,0.689124,0.1013932,6.831395,
19,2,4,00:02:14,37275.94,1,0,-,-,-,6.962075,0.7323259,0.1051879,7.000485,
20,2,5,00:02:20,26826.96,1,0,-,-,-,7.142015,0.7597154,0.1063727,7.182308,
21,2,6,00:02:26,19306.98,1,0,-,-,-,7.329188,0.7665693,0.1045913,7.369167,
22,2,7,00:02:32,13894.96,1,0,-,-,-,7.51659,0.7559399,0.1005695,7.554507,
23,2,8,00:02:38,10000,1,0,-,-,-,7.701469,0.7232445,9.390994E-02,7.735354,
24,2,9,00:02:44,7196.857,1,0,-,-,-,7.872216,0.6726699,8.544861E-02,7.900903,
25,2,10,00:02:50,5179.475,1,0,-,-,-,8.022305,0.6071032,0.0756769,8.045244,
26,2,11,00:02:55,3727.594,1,0,-,-,-,8.150005,0.5326219,6.535234E-02,8.167391,
27,2,12,00:03:01,2682.696,1,0,-,-,-,8.254077,0.4557287,5.521255E-02,8.266648,
28,2,13,00:03:07,1930.698,1,0,-,-,-,8.335925,0.3826551,4.590434E-02,8.344704,
29,2,14,00:03:13,1389.495,1,0,-,-,-,8.398675,0.3165335,0.0376885,8.404637,
30,2,15,00:03:19,1000,1,0,-,-,-,8.44634,0.2592846,3.069787E-02,8.450318,
31,2,16,00:03:25,719.6857,1,0,-,-,-,8.481573,0.21007,0.0247678,8.484174,
32,2,17,00:03:31,517.9474,1,0,-,-,-,8.509011,0.1710811,2.010587E-02,8.510731,
33,2,18,00:03:37,372.7594,1,0,-,-,-,8.530638,0.1399833,1.640948E-02,8.531786,
34,2,19,00:03:45,268.2696,1,0,-,-,-,8.546456,0.1151788,1.347679E-02,8.547233,
35,2,20,00:03:51,193.0698,1,0,-,-,-,8.561077,9.723514E-02,1.135782E-02,8.561629,
36,2,21,00:03:57,138.9496,1,0,-,-,-,8.572504,8.228595E-02,9.598823E-03,8.572899,
37,2,22,00:04:03,100,1,0,-,-,-,8.582452,7.204476E-02,8.394427E-03,8.582754,
38,2,23,00:04:09,71.96857,1,0,-,-,-,8.591807,6.499231E-02,7.564452E-03,8.592053,
39,2,24,00:04:14,51.79475,1,0,-,-,-,8.600043,6.044717E-02,7.028705E-03,8.600256,
40,2,25,00:04:20,37.27594,1,0,-,-,-,8.607878,5.881766E-02,6.833003E-03,8.608079,
41,2,26,00:04:26,26.82696,1,0,-,-,-,8.615498,5.948587E-02,6.90452E-03,8.615703,
42,2,27,00:04:32,19.30698,1,0,-,-,-,8.62338,6.250224E-02,7.247997E-03,8.623607,
43,2,28,00:04:38,13.89495,1,0,-,-,-,8.630061,0.0693041,8.030546E-03,8.63034,
44,2,29,00:04:44,10,1,0,-,-,-,8.636151,0.0798163,9.242115E-03,8.63652,
45,2,30,00:04:50,7.196856,1,0,-,-,-,8.645235,9.405221E-02,1.087908E-02,8.645746,
46,2,31,00:04:58,5.179475,1,0,-,-,-,8.6509,0.1167275,1.349311E-02,8.651688,
47,2,32,00:05:04,3.727594,1,0,-,-,-,8.660253,0.1481321,1.710483E-02,8.661519,
48,2,33,00:05:10,2.682696,1,0,-,-,-,8.668895,0.1924893,2.220459E-02,8.671032,
49,2,34,00:05:16,1.930698,1,0,-,-,-,8.675332,0.2520772,2.905678E-02,8.678993,
50,2,35,00:05:23,1.389495,1,0,-,-,-,8.686625,0.3360243,3.868295E-02,8.693122,
51,2,36,00:05:30,1,1,0,-,-,-,8.698286,0.4482624,5.153457E-02,8.709829,
