Exported SMaRT Impedance Data
Experiment start time : 8/17/2016 3:04:10 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-2.697101,-3.12725,1.159485,4.129655,
2,1,2,00:00:18,7196857,1,0,-,-,-,-7.08045,3.310621,-0.4675722,7.8162,
3,1,3,00:00:27,5179475,1,0,-,-,-,-8.961896,8.612631,-0.9610277,12.42952,
4,1,4,00:00:33,3727594,1,0,-,-,-,-1.775012,36.74905,-20.70355,36.7919,
5,1,5,00:00:39,2682696,1,0,-,-,-,22.19226,6.965825,0.3138853,23.25982,
6,1,6,00:00:45,1930698,1,0,-,-,-,16.05517,2.308599,0.1437916,16.2203,
7,1,7,00:00:50,1389496,1,0,-,-,-,13.649,1.443534,0.1057611,13.72512,
8,1,8,00:00:56,1000000,1,0,-,-,-,12.75662,1.216746,9.538155E-02,12.81451,
9,1,9,00:01:02,719685.7,1,0,-,-,-,12.45065,1.159443,9.312308E-02,12.50452,
10,1,10,00:01:10,517947.4,1,0,-,-,-,12.4154,1.166351,0.0939439,12.47007,
11,1,11,00:01:15,372759.4,1,0,-,-,-,12.52057,1.196504,9.556305E-02,12.57761,
12,1,12,00:01:21,268269.6,1,0,-,-,-,12.70225,1.240509,9.766059E-02,12.76268,
13,1,13,00:01:27,193069.8,1,0,-,-,-,12.93056,1.28425,9.931895E-02,12.99418,
14,1,14,00:01:33,138949.5,1,0,-,-,-,13.19319,1.328946,0.1007297,13.25995,
15,1,15,00:01:39,100000,1,0,-,-,-,13.493,1.379848,0.102264,13.56337,
16,2,1,00:01:48,100000,1,0,-,-,-,13.49343,1.379011,0.1021987,13.56371,
17,2,2,00:01:57,71968.57,1,0,-,-,-,13.77569,1.413644,0.1026187,13.84804,
18,2,3,00:02:05,51794.75,1,0,-,-,-,14.08243,1.433121,0.1017666,14.15517,
19,2,4,00:02:11,37275.94,1,0,-,-,-,14.39484,1.448396,0.1006192,14.46752,
20,2,5,00:02:17,26826.96,1,0,-,-,-,14.71125,1.452655,0.0987445,14.78279,
21,2,6,00:02:22,19306.98,1,0,-,-,-,15.03041,1.447867,9.632921E-02,15.09998,
22,2,7,00:02:28,13894.96,1,0,-,-,-,15.35114,1.433614,0.0933881,15.41793,
23,2,8,00:02:35,10000,1,0,-,-,-,15.67856,1.409939,8.992782E-02,15.74183,
24,2,9,00:02:41,7196.857,1,0,-,-,-,15.98908,1.36937,0.0856441,16.04761,
25,2,10,00:02:46,5179.475,1,0,-,-,-,16.28697,1.317023,8.086357E-02,16.34014,
26,2,11,00:02:52,3727.594,1,0,-,-,-,16.57403,1.249434,7.538503E-02,16.62106,
27,2,12,00:02:58,2682.696,1,0,-,-,-,16.84688,1.166744,6.925582E-02,16.88723,
28,2,13,00:03:04,1930.698,1,0,-,-,-,17.10302,1.075046,6.285712E-02,17.13677,
29,2,14,00:03:10,1389.495,1,0,-,-,-,17.33214,0.9706436,5.600252E-02,17.3593,
30,2,15,00:03:16,1000,1,0,-,-,-,17.537,0.8555568,4.878581E-02,17.55786,
31,2,16,00:03:22,719.6857,1,0,-,-,-,17.71024,0.7342324,4.145808E-02,17.72545,
32,2,17,00:03:28,517.9474,1,0,-,-,-,17.84426,0.6122499,3.431074E-02,17.85476,
33,2,18,00:03:34,372.7594,1,0,-,-,-,17.94876,0.5006317,2.789228E-02,17.95574,
34,2,19,00:03:42,268.2696,1,0,-,-,-,18.02148,0.3962047,2.198514E-02,18.02583,
35,2,20,00:03:48,193.0698,1,0,-,-,-,18.07474,0.3144199,1.739554E-02,18.07748,
36,2,21,00:03:53,138.9496,1,0,-,-,-,18.11426,0.2486141,1.372477E-02,18.11596,
37,2,22,00:03:59,100,1,0,-,-,-,18.14082,0.195293,1.076539E-02,18.14187,
38,2,23,00:04:05,71.96857,1,0,-,-,-,18.15714,0.152681,8.408871E-03,18.15778,
39,2,24,00:04:11,51.79475,1,0,-,-,-,18.17042,0.1211137,6.665433E-03,18.17083,
40,2,25,00:04:17,37.27594,1,0,-,-,-,18.1805,9.960738E-02,5.478803E-03,18.18077,
41,2,26,00:04:23,26.82696,1,0,-,-,-,18.1862,0.0850314,4.675599E-03,18.1864,
42,2,27,00:04:29,19.30698,1,0,-,-,-,18.19119,7.620727E-02,4.18924E-03,18.19135,
43,2,28,00:04:35,13.89495,1,0,-,-,-,18.19618,7.508058E-02,4.126173E-03,18.19633,
44,2,29,00:04:41,10,1,0,-,-,-,18.20063,7.772799E-02,4.270622E-03,18.20079,
45,2,30,00:04:49,7.196856,1,0,-,-,-,18.20236,9.045767E-02,4.969557E-03,18.20259,
46,2,31,00:04:55,5.179475,1,0,-,-,-,18.20581,0.1101537,6.050472E-03,18.20614,
47,2,32,00:05:01,3.727594,1,0,-,-,-,18.20791,0.1413442,7.762791E-03,18.20846,
48,2,33,00:05:08,2.682696,1,0,-,-,-,18.20815,0.1901865,1.044513E-02,18.20914,
49,2,34,00:05:13,1.930698,1,0,-,-,-,18.20597,0.2567329,1.410158E-02,18.20778,
50,2,35,00:05:20,1.389495,1,0,-,-,-,18.21878,0.3496349,0.0191909,18.22214,
51,2,36,00:05:26,1,1,0,-,-,-,18.22262,0.4980745,2.733276E-02,18.22942,
