Exported SMaRT Impedance Data
Experiment start time : 7/21/2016 9:09:41 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-2.112053,-0.3624935,0.1716308,2.142935,
2,1,2,00:00:19,7196857,1,0,-,-,-,-3.651059,2.689267,-0.7365717,4.534577,
3,1,3,00:00:27,5179475,1,0,-,-,-,-4.435738,5.642563,-1.272069,7.177346,
4,1,4,00:00:33,3727594,1,0,-,-,-,7.622312,20.33917,2.668372,21.72053,
5,1,5,00:00:39,2682696,1,0,-,-,-,11.67736,2.301235,0.1970681,11.90195,
6,1,6,00:00:45,1930698,1,0,-,-,-,8.233928,0.6071883,7.374224E-02,8.256285,
7,1,7,00:00:51,1389496,1,0,-,-,-,7.09298,0.3284459,4.630578E-02,7.10058,
8,1,8,00:00:57,1000000,1,0,-,-,-,6.630633,0.2511883,3.788301E-02,6.635389,
9,1,9,00:01:03,719685.7,1,0,-,-,-,6.432323,0.2359824,3.668696E-02,6.436651,
10,1,10,00:01:10,517947.4,1,0,-,-,-,6.354526,0.2381812,3.748213E-02,6.358988,
11,1,11,00:01:16,372759.4,1,0,-,-,-,6.340003,0.2491778,3.930248E-02,6.344897,
12,1,12,00:01:22,268269.6,1,0,-,-,-,6.357017,0.2657355,4.180192E-02,6.362569,
13,1,13,00:01:28,193069.8,1,0,-,-,-,6.438936,0.2926719,4.545346E-02,6.445584,
14,1,14,00:01:34,138949.5,1,0,-,-,-,6.470621,0.3106415,4.800799E-02,6.478073,
15,1,15,00:01:40,100000,1,0,-,-,-,6.519313,0.3353679,5.144222E-02,6.527933,
16,2,1,00:01:49,100000,1,0,-,-,-,6.519781,0.3356091,5.147551E-02,6.528413,
17,2,2,00:01:57,71968.57,1,0,-,-,-,6.58144,0.3645201,5.538607E-02,6.591527,
18,2,3,00:02:06,51794.75,1,0,-,-,-,6.654621,0.3944006,5.926717E-02,6.666298,
19,2,4,00:02:11,37275.94,1,0,-,-,-,6.737437,0.4257301,6.318873E-02,6.750874,
20,2,5,00:02:17,26826.96,1,0,-,-,-,6.828756,0.4562513,6.681323E-02,6.843981,
21,2,6,00:02:24,19306.98,1,0,-,-,-,6.926936,0.4837674,6.983859E-02,6.943808,
22,2,7,00:02:29,13894.96,1,0,-,-,-,7.029535,0.5152642,0.0732999,7.048394,
23,2,8,00:02:35,10000,1,0,-,-,-,7.141769,0.5458069,7.642461E-02,7.162595,
24,2,9,00:02:41,7196.857,1,0,-,-,-,7.260998,0.5758669,7.930961E-02,7.283798,
25,2,10,00:02:47,5179.475,1,0,-,-,-,7.38673,0.6056382,8.199003E-02,7.411517,
26,2,11,00:02:53,3727.594,1,0,-,-,-,7.519847,0.6315717,0.0839873,7.546323,
27,2,12,00:02:59,2682.696,1,0,-,-,-,7.659497,0.6555293,8.558386E-02,7.687498,
28,2,13,00:03:05,1930.698,1,0,-,-,-,7.805327,0.6760244,8.661064E-02,7.834548,
29,2,14,00:03:11,1389.495,1,0,-,-,-,7.95483,0.6917924,8.696508E-02,7.984854,
30,2,15,00:03:17,1000,1,0,-,-,-,8.107528,0.7023303,8.662694E-02,8.137891,
31,2,16,00:03:23,719.6857,1,0,-,-,-,8.264087,0.7088447,8.577412E-02,8.294432,
32,2,17,00:03:29,517.9474,1,0,-,-,-,8.42147,0.7095867,8.425924E-02,8.451311,
33,2,18,00:03:35,372.7594,1,0,-,-,-,8.578434,0.7046828,8.214586E-02,8.607328,
34,2,19,00:03:42,268.2696,1,0,-,-,-,8.734108,0.693507,7.940215E-02,8.761598,
35,2,20,00:03:48,193.0698,1,0,-,-,-,8.88646,0.677285,7.621539E-02,8.912232,
36,2,21,00:03:54,138.9496,1,0,-,-,-,9.034951,0.6546534,7.245788E-02,9.058638,
37,2,22,00:04:00,100,1,0,-,-,-,9.178132,0.6266585,6.827734E-02,9.1995,
38,2,23,00:04:06,71.96857,1,0,-,-,-,9.314585,0.5930151,6.366523E-02,9.333443,
39,2,24,00:04:12,51.79475,1,0,-,-,-,9.442419,0.5532712,5.859423E-02,9.458614,
40,2,25,00:04:18,37.27594,1,0,-,-,-,9.560387,0.508409,5.317871E-02,9.573895,
41,2,26,00:04:24,26.82696,1,0,-,-,-,9.666974,0.4589134,4.747229E-02,9.677861,
42,2,27,00:04:30,19.30698,1,0,-,-,-,9.76182,0.4063689,4.162839E-02,9.770274,
43,2,28,00:04:36,13.89495,1,0,-,-,-,9.840556,0.3512045,0.0356895,9.846821,
44,2,29,00:04:42,10,1,0,-,-,-,9.90722,0.2980331,3.008241E-02,9.911701,
45,2,30,00:04:48,7.196856,1,0,-,-,-,9.957628,0.2481607,2.492166E-02,9.96072,
46,2,31,00:04:55,5.179475,1,0,-,-,-,9.998525,0.20269,2.027199E-02,10.00058,
47,2,32,00:05:01,3.727594,1,0,-,-,-,10.02872,0.1626723,1.622065E-02,10.03004,
48,2,33,00:05:07,2.682696,1,0,-,-,-,10.05239,0.1324365,1.317463E-02,10.05326,
49,2,34,00:05:13,1.930698,1,0,-,-,-,10.0728,0.1156325,1.147967E-02,10.07347,
50,2,35,00:05:21,1.389495,1,0,-,-,-,10.09667,7.026231E-02,6.958957E-03,10.09692,
51,2,36,00:05:27,1,1,0,-,-,-,10.06785,5.735291E-02,5.696638E-03,10.06802,
