Exported SMaRT Impedance Data
Experiment start time : 7/21/2016 12:01:44 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:11,10000000,1,0,-,-,-,-2.080754,-0.3764624,0.180926,2.114536,
2,1,2,00:00:18,7196857,1,0,-,-,-,-3.607739,2.730415,-0.7568216,4.524484,
3,1,3,00:00:26,5179475,1,0,-,-,-,-4.42187,5.659621,-1.279916,7.182217,
4,1,4,00:00:32,3727594,1,0,-,-,-,8.718017,20.16237,2.312725,21.96645,
5,1,5,00:00:38,2682696,1,0,-,-,-,11.42511,1.972415,0.1726386,11.59412,
6,1,6,00:00:44,1930698,1,0,-,-,-,8.037556,0.4544108,5.653594E-02,8.05039,
7,1,7,00:00:50,1389496,1,0,-,-,-,6.914762,0.2044228,2.956324E-02,6.917784,
8,1,8,00:00:56,1000000,1,0,-,-,-,6.450645,0.1351251,2.094753E-02,6.452061,
9,1,9,00:01:02,719685.7,1,0,-,-,-,6.239762,0.1144071,1.833518E-02,6.240811,
10,1,10,00:01:09,517947.4,1,0,-,-,-,6.144958,0.1073105,1.746317E-02,6.145895,
11,1,11,00:01:15,372759.4,1,0,-,-,-,6.106877,0.1062919,1.740528E-02,6.107802,
12,1,12,00:01:21,268269.6,1,0,-,-,-,6.096732,0.1076937,1.766416E-02,6.097683,
13,1,13,00:01:27,193069.8,1,0,-,-,-,6.144239,0.1155364,1.880402E-02,6.145325,
14,1,14,00:01:33,138949.5,1,0,-,-,-,6.140452,0.1168792,0.0190343,6.141564,
15,1,15,00:01:39,100000,1,0,-,-,-,6.149495,0.1224467,1.991167E-02,6.150714,
16,2,1,00:01:48,100000,1,0,-,-,-,6.149261,0.1228322,1.997512E-02,6.150488,
17,2,2,00:01:56,71968.57,1,0,-,-,-,6.165925,0.1325641,2.149946E-02,6.16735,
18,2,3,00:02:05,51794.75,1,0,-,-,-,6.190296,0.1425756,2.303211E-02,6.191937,
19,2,4,00:02:10,37275.94,1,0,-,-,-,6.218788,0.1544187,0.024831,6.220705,
20,2,5,00:02:16,26826.96,1,0,-,-,-,6.25025,0.1646737,2.634673E-02,6.252419,
21,2,6,00:02:23,19306.98,1,0,-,-,-,6.283769,0.1706596,2.715879E-02,6.286086,
22,2,7,00:02:28,13894.96,1,0,-,-,-,6.316084,0.182984,2.897112E-02,6.318734,
23,2,8,00:02:34,10000,1,0,-,-,-,6.354694,0.1961386,3.086516E-02,6.35772,
24,2,9,00:02:40,7196.857,1,0,-,-,-,6.395379,0.2112716,3.303505E-02,6.398868,
25,2,10,00:02:46,5179.475,1,0,-,-,-,6.43874,0.2275244,3.533679E-02,6.442759,
26,2,11,00:02:52,3727.594,1,0,-,-,-,6.486772,0.24392,3.760269E-02,6.491356,
27,2,12,00:02:58,2682.696,1,0,-,-,-,6.538314,0.2611452,3.994076E-02,6.543527,
28,2,13,00:03:04,1930.698,1,0,-,-,-,6.593425,0.2794526,4.238353E-02,6.599344,
29,2,14,00:03:10,1389.495,1,0,-,-,-,6.652322,0.298136,4.481683E-02,6.658999,
30,2,15,00:03:16,1000,1,0,-,-,-,6.71558,0.3175305,4.728265E-02,6.723083,
31,2,16,00:03:22,719.6857,1,0,-,-,-,6.782427,0.3369195,4.967536E-02,6.79079,
32,2,17,00:03:28,517.9474,1,0,-,-,-,6.855668,0.3588757,5.234731E-02,6.865054,
33,2,18,00:03:34,372.7594,1,0,-,-,-,6.931385,0.3806615,5.491854E-02,6.941829,
34,2,19,00:03:41,268.2696,1,0,-,-,-,7.01206,0.4034095,5.753082E-02,7.023654,
35,2,20,00:03:48,193.0698,1,0,-,-,-,7.098579,0.4263481,6.006105E-02,7.111371,
36,2,21,00:03:53,138.9496,1,0,-,-,-,7.188811,0.4514112,6.279359E-02,7.20297,
37,2,22,00:03:59,100,1,0,-,-,-,7.284663,0.4764921,6.541032E-02,7.300231,
38,2,23,00:04:05,71.96857,1,0,-,-,-,7.385706,0.501956,6.796317E-02,7.402744,
39,2,24,00:04:11,51.79475,1,0,-,-,-,7.492851,0.5297313,7.069822E-02,7.511553,
40,2,25,00:04:17,37.27594,1,0,-,-,-,7.605461,0.5571977,7.326284E-02,7.625845,
41,2,26,00:04:23,26.82696,1,0,-,-,-,7.72545,0.5850011,7.572388E-02,7.747568,
42,2,27,00:04:29,19.30698,1,0,-,-,-,7.854021,0.6136835,7.813621E-02,7.87796,
43,2,28,00:04:35,13.89495,1,0,-,-,-,7.985021,0.6414868,8.033627E-02,8.010747,
44,2,29,00:04:41,10,1,0,-,-,-,8.12579,0.6651318,8.185442E-02,8.152966,
45,2,30,00:04:47,7.196856,1,0,-,-,-,8.271774,0.6881346,8.319068E-02,8.300348,
46,2,31,00:04:55,5.179475,1,0,-,-,-,8.424981,0.7101793,8.429447E-02,8.454861,
47,2,32,00:05:01,3.727594,1,0,-,-,-,8.583798,0.7251375,8.447746E-02,8.614373,
48,2,33,00:05:07,2.682696,1,0,-,-,-,8.733607,0.7369673,8.438292E-02,8.764646,
49,2,34,00:05:13,1.930698,1,0,-,-,-,8.903739,0.747407,8.394305E-02,8.935054,
50,2,35,00:05:20,1.389495,1,0,-,-,-,9.08746,0.7360396,8.099509E-02,9.117219,
51,2,36,00:05:27,1,1,0,-,-,-,9.246472,0.7255444,7.846715E-02,9.274895,
