LAMMPS Description

     14976  atoms
     15912  bonds
     24336  angles
     34164  dihedrals
     19656  impropers

     3  atom types
     4  bond types
     6  angle types
     13  dihedral types
     1  improper types

     -109.584 104.03 xlo xhi 
     -109.584 104.03 ylo yhi 
     -109.584 104.03 zlo zhi 

Masses

    1 12.011 #CA "Aromatic C" 6 partial charge=-0.115
    2 1.008 #HA "Aromatic H-C" 1 partial charge=0.115
    3 12.011 #C! "Biphenyl C1" 6 partial charge=0.0

Atoms

1 1 1 0 -4.907 -3.606 -0.003
2 1 1 0 -3.876 -4.516 0.002
3 1 1 0 -2.597 -4.017 0.003
4 1 1 0 -2.379 -2.621 0.003
5 1 3 0 -3.395 -1.61 -0.001
6 1 1 0 -4.651 -2.212 -0.009
7 1 3 0 -3.817 1.188 0.001
8 1 3 0 -3.045 -0.068 -0.001
9 1 1 0 -1.599 0.129 -0.001
10 1 1 0 -0.89 1.327 0.0
11 1 1 0 -1.597 2.478 0.0
12 1 1 0 -2.986 2.388 0.001
13 1 3 0 -5.351 1.575 0.001
14 1 1 0 -6.459 0.731 0.009
15 1 1 0 -7.817 1.137 0.003
16 1 1 0 -8.159 2.47 -0.002
17 1 1 0 -5.79 2.94 -0.003
18 1 1 0 -7.132 3.382 -0.003
19 1 2 0 -5.938 -3.956 -0.006
20 1 2 0 -4.067 -5.584 0.002
21 1 2 0 -1.746 -4.695 0.003
22 1 2 0 -1.319 -2.405 0.005
23 1 2 0 -5.549 -1.668 -0.03
24 1 2 0 -0.902 -0.695 -0.002
25 1 2 0 0.196 1.331 -0.001
26 1 2 0 -1.102 3.444 0.001
27 1 2 0 -3.405 3.383 0.002
28 1 2 0 -6.387 -0.317 0.03
29 1 2 0 -8.598 0.379 0.006
30 1 2 0 -9.196 2.786 -0.002
31 1 2 0 -5.116 3.786 -0.005
32 1 2 0 -7.349 4.447 -0.003
33 2 1 0 -4.907 -12.606 -0.003
34 2 1 0 -3.876 -13.516 0.002
35 2 1 0 -2.597 -13.017 0.003
36 2 1 0 -2.379 -11.621 0.003
37 2 3 0 -3.395 -10.61 -0.001
38 2 1 0 -4.651 -11.212 -0.009
39 2 3 0 -3.817 -7.812 0.001
40 2 3 0 -3.045 -9.068 -0.001
41 2 1 0 -1.599 -8.871 -0.001
42 2 1 0 -0.89 -7.673 0.0
43 2 1 0 -1.597 -6.522 0.0
44 2 1 0 -2.986 -6.612 0.001
45 2 3 0 -5.351 -7.425 0.001
46 2 1 0 -6.459 -8.269 0.009
47 2 1 0 -7.817 -7.863 0.003
48 2 1 0 -8.159 -6.53 -0.002
49 2 1 0 -5.79 -6.06 -0.003
