Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.910095 2.3854
-0.630391 -1.42857 -0.92867 2.366
-0.487532 -1.28571 -0.950278 2.3468
-0.344674 -1.14285 -0.955186 2.3266
-0.20182 -1 -0.954912 2.3044
-0.0589614 -0.857141 -0.958805 2.2848
0.083893 -0.714285 -0.960824 2.265
0.226752 -0.571428 -0.962534 2.2433
0.369609 -0.428571 -0.961698 2.2214
0.512468 -0.285712 -0.958252 2.1994
0.655326 -0.142855 -0.96142 2.1765
0.79818 0 -0.959279 2.1538
0.941039 0.142859 -0.962016 2.1303
1.08389 0.285715 -0.965773 2.1076
1.22675 0.428572 -0.970251 2.0839
1.36961 0.571429 -0.976213 2.0615
1.51247 0.714288 -0.98527 2.0391
1.65533 0.857145 -0.997359 2.0164
1.79818 1 -1.01059 1.9952
1.94104 1.14286 -1.02685 1.9747
2.08389 1.28571 -1.04596 1.9549
2.22675 1.42857 -1.06643 1.936
2.36961 1.57143 -1.08983 1.9182
2.51247 1.71429 -1.11533 1.9016
2.65533 1.85715 -1.14252 1.8861
2.79818 2 -1.17164 1.8716
2.94104 2.14286 -1.20257 1.8581
3.08389 2.28571 -1.23497 1.8457
3.22675 2.42857 -1.26839 1.8342
3.36961 2.57143 -1.30298 1.8237
3.51247 2.71429 -1.33859 1.8141
3.65533 2.85715 -1.37484 1.8053
3.79818 3 -1.41152 1.7972
3.94104 3.14286 -1.4486 1.7899
4.08389 3.28571 -1.48562 1.7831
4.22675 3.42857 -1.52255 1.7769
4.36961 3.57143 -1.55903 1.7713
4.51247 3.71429 -1.59511 1.7662
4.65533 3.85715 -1.62962 1.7614
4.79818 4 -1.66324 1.757
4.94104 4.14286 -1.69471 1.753
5.08389 4.28571 -1.72517 1.7492
5.22675 4.42857 -1.75311 1.7456
5.36961 4.57143 -1.77947 1.7422
5.51247 4.71429 -1.80374 1.7391
5.65533 4.85715 -1.82638 1.7361
5.79818 5 -1.84722 1.7331
5.94104 5.14286 -1.86809 1.7304
6.08389 5.28571 -1.8878 1.7277
6.22675 5.42857 -1.90777 1.7252
6.36961 5.57143 -1.92911 1.7228
6.51247 5.71429 -1.95573 1.7206
6.65533 5.85715 -1.9854 1.7188
6.79818 6 -2.10183 1.7212
6.94104 6.14286 -2.30133 1.7193
7.08389 6.28571 -2.97931 1.7197
7.22675 6.42857 -2.3008 1.7206
7.36961 6.57143 -1.92974 1.7268
7.51247 6.71429 -1.91528 1.7301
7.65533 6.85715 -1.75328 1.7443
7.79818 7 -1.12489 1.7504


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.910095 -0.0987586 -0.437731
-0.764677 -1.56286 -0.910958 -0.102511 -0.437731
-0.756105 -1.55429 -0.911852 -0.106263 -0.437731
-0.747534 -1.54571 -0.912779 -0.110015 -0.437731
-0.738962 -1.53714 -0.913738 -0.113767 -0.437731
-0.730391 -1.52857 -0.91473 -0.117519 -0.437731
-0.721819 -1.52 -0.915753 -0.121271 -0.437731
-0.713248 -1.51143 -0.916808 -0.125022 -0.437731
-0.704677 -1.50286 -0.917896 -0.128774 -0.437731
-0.696105 -1.49429 -0.919016 -0.132526 -0.437731
-0.687534 -1.48571 -0.920168 -0.136278 -0.437731
-0.678962 -1.47714 -0.921352 -0.14003 -0.437731
-0.670391 -1.46857 -0.922569 -0.143782 -0.437731
-0.661819 -1.46 -0.923817 -0.147534 -0.437731
-0.653248 -1.45143 -0.925098 -0.151286 -0.437731
-0.644677 -1.44286 -0.926411 -0.155038 -0.437731
-0.636105 -1.43429 -0.927755 -0.15879 -0.437731
-0.627534 -1.42571 -0.929133 -0.162493 -0.403035
-0.618962 -1.41714 -0.930539 -0.165501 -0.298951
-0.610391 -1.40857 -0.931967 -0.167618 -0.194866
-0.601819 -1.4 -0.93341 -0.168842 -0.0907814
-0.593248 -1.39143 -0.934859 -0.169174 0.0133032
-0.584677 -1.38286 -0.936307 -0.168614 0.117388
-0.576105 -1.37429 -0.937747 -0.167161 0.221472
-0.567534 -1.36571 -0.93917 -0.164817 0.325557
-0.558962 -1.35714 -0.94057 -0.161581 0.429642
-0.550391 -1.34857 -0.941938 -0.157452 0.533726
-0.541819 -1.34 -0.943267 -0.152431 0.637811
-0.533248 -1.33143 -0.944548 -0.146518 0.741896
-0.524677 -1.32286 -0.945776 -0.139713 0.84598
-0.516105 -1.31429 -0.946941 -0.132015 0.950065
-0.507534 -1.30571 -0.948036 -0.123426 1.05415
-0.498962 -1.29714 -0.949054 -0.113944 1.15823
-0.490391 -1.28857 -0.949987 -0.10357 1.26232
-0.481819 -1.28 -0.950828 -0.0926326 1.25154
-0.473248 -1.27143 -0.951577 -0.0821977 1.18327
-0.464677 -1.26286 -0.952239 -0.0723479 1.11501
-0.456105 -1.25429 -0.952819 -0.0630832 1.04674
-0.447534 -1.24571 -0.953322 -0.0544037 0.978478
-0.438962 -1.23714 -0.953753 -0.0463093 0.910212
-0.430391 -1.22857 -0.954117 -0.0388001 0.841947
-0.421819 -1.22 -0.95442 -0.031876 0.773682
-0.413248 -1.21143 -0.954665 -0.025537 0.705416
-0.404677 -1.20286 -0.954859 -0.0197831 0.637151
-0.396105 -1.19429 -0.955006 -0.0146144 0.568885
-0.387534 -1.18571 -0.955111 -0.0100308 0.50062
-0.378962 -1.17714 -0.95518 -0.00603234 0.432355
-0.370391 -1.16857 -0.955216 -0.00261901 0.364089
-0.361819 -1.16 -0.955226 0.000209191 0.295824
