Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.79531 2.512
-0.630391 -1.42857 -0.840192 2.4843
-0.487532 -1.28571 -0.856829 2.4559
-0.344674 -1.14285 -0.875496 2.429
-0.20182 -1 -0.887227 2.4006
-0.0589614 -0.857141 -0.9025 2.3759
0.083893 -0.714285 -0.911864 2.3505
0.226752 -0.571428 -0.918329 2.325
0.369609 -0.428571 -0.919951 2.2998
0.512468 -0.285712 -0.918509 2.2745
0.655326 -0.142855 -0.921289 2.2495
0.79818 0 -0.920421 2.2241
0.941039 0.142859 -0.921217 2.1986
1.08389 0.285715 -0.921289 2.1731
1.22675 0.428572 -0.924125 2.1469
1.36961 0.571429 -0.927052 2.1216
1.51247 0.714288 -0.933264 2.0956
1.65533 0.857145 -0.940437 2.0708
1.79818 1 -0.951053 2.0461
1.94104 1.14286 -0.96405 2.0212
2.08389 1.28571 -0.979514 1.9981
2.22675 1.42857 -0.997402 1.9758
2.36961 1.57143 -1.01805 1.9546
2.51247 1.71429 -1.04117 1.9346
2.65533 1.85715 -1.06629 1.9158
2.79818 2 -1.09407 1.8983
2.94104 2.14286 -1.12351 1.8819
3.08389 2.28571 -1.15487 1.8668
3.22675 2.42857 -1.18791 1.8529
3.36961 2.57143 -1.22238 1.8401
3.51247 2.71429 -1.258 1.8284
3.65533 2.85715 -1.29444 1.8177
3.79818 3 -1.33175 1.8079
3.94104 3.14286 -1.36981 1.799
4.08389 3.28571 -1.40803 1.7909
4.22675 3.42857 -1.44621 1.7835
4.36961 3.57143 -1.4843 1.7767
4.51247 3.71429 -1.52252 1.7707
4.65533 3.85715 -1.55945 1.765
4.79818 4 -1.59482 1.7598
4.94104 4.14286 -1.62965 1.7551
5.08389 4.28571 -1.66258 1.7507
5.22675 4.42857 -1.69353 1.7467
5.36961 4.57143 -1.72292 1.7428
5.51247 4.71429 -1.75068 1.7393
5.65533 4.85715 -1.77539 1.7359
5.79818 5 -1.79882 1.7326
5.94104 5.14286 -1.82134 1.7296
6.08389 5.28571 -1.84381 1.7267
6.22675 5.42857 -1.86442 1.7239
6.36961 5.57143 -1.88689 1.7213
6.51247 5.71429 -1.91336 1.7189
6.65533 5.85715 -1.94371 1.7168
6.79818 6 -2.04931 1.719
6.94104 6.14286 -2.22297 1.7169
7.08389 6.28571 -4.11066 1.7172
7.22675 6.42857 -2.39319 1.7179
7.36961 6.57143 -1.96654 1.7239
7.51247 6.71429 -1.95051 1.727
7.65533 6.85715 -1.77583 1.741
7.79818 7 -1.12861 1.7465


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.79531 -0.444571 1.82555
-0.764677 -1.56286 -0.799054 -0.428923 1.82555
-0.756105 -1.55429 -0.802663 -0.413276 1.82555
-0.747534 -1.54571 -0.806138 -0.397628 1.82555
-0.738962 -1.53714 -0.809479 -0.381981 1.82555
-0.730391 -1.52857 -0.812686 -0.366333 1.82555
-0.721819 -1.52 -0.815759 -0.350685 1.82555
-0.713248 -1.51143 -0.818698 -0.335038 1.82555
-0.704677 -1.50286 -0.821503 -0.31939 1.82555
-0.696105 -1.49429 -0.824173 -0.303743 1.82555
-0.687534 -1.48571 -0.82671 -0.288095 1.82555
-0.678962 -1.47714 -0.829112 -0.272447 1.82555
-0.670391 -1.46857 -0.83138 -0.2568 1.82555
-0.661819 -1.46 -0.833515 -0.241152 1.82555
-0.653248 -1.45143 -0.835515 -0.225505 1.82555
-0.644677 -1.44286 -0.83738 -0.209857 1.82555
-0.636105 -1.43429 -0.839112 -0.194209 1.82555
-0.627534 -1.42571 -0.84071 -0.178638 1.77257
-0.618962 -1.41714 -0.842178 -0.164125 1.61361
-0.610391 -1.40857 -0.843527 -0.150976 1.45466
-0.601819 -1.4 -0.84477 -0.139188 1.29571
-0.593248 -1.39143 -0.845917 -0.128763 1.13676
-0.584677 -1.38286 -0.846981 -0.119701 0.977806
-0.576105 -1.37429 -0.847973 -0.112001 0.818854
-0.567534 -1.36571 -0.848905 -0.105664 0.659902
-0.558962 -1.35714 -0.849788 -0.100688 0.50095
-0.550391 -1.34857 -0.850635 -0.0970758 0.341997
-0.541819 -1.34 -0.851456 -0.0948256 0.183045
-0.533248 -1.33143 -0.852264 -0.0939379 0.0240932
-0.524677 -1.32286 -0.853071 -0.0944126 -0.134859
-0.516105 -1.31429 -0.853887 -0.0962498 -0.293811
-0.507534 -1.30571 -0.854725 -0.0994494 -0.452763
-0.498962 -1.29714 -0.855596 -0.104011 -0.611715
-0.490391 -1.28857 -0.856511 -0.109936 -0.770667
-0.481819 -1.28 -0.857483 -0.116727 -0.755865
-0.473248 -1.27143 -0.85851 -0.122769 -0.654104
-0.464677 -1.26286 -0.859585 -0.12794 -0.552344
-0.456105 -1.25429 -0.860701 -0.132238 -0.450583
-0.447534 -1.24571 -0.86185 -0.135664 -0.348822
-0.438962 -1.23714 -0.863024 -0.138218 -0.247062
-0.430391 -1.22857 -0.864217 -0.139899 -0.145301
-0.421819 -1.22 -0.86542 -0.140709 -0.0435402
-0.413248 -1.21143 -0.866626 -0.140646 0.0582205
-0.404677 -1.20286 -0.867828 -0.139711 0.159981
-0.396105 -1.19429 -0.869019 -0.137903 0.261742
-0.387534 -1.18571 -0.87019 -0.135224 0.363503
-0.378962 -1.17714 -0.871334 -0.131672 0.465263
-0.370391 -1.16857 -0.872445 -0.127248 0.567024
-0.361819 -1.16 -0.873513 -0.121951 0.668785
-0.353248 -1.15143 -0.874533 -0.115783 0.770545
