PBMA-051820115, 18.5.2015, 9:39
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.0000e+07	 7.0000e+01	 1.6761e+00	-5.3308e-02
 7.1969e+06	 7.0000e+01	 1.6782e+00	 1.0278e-02
 5.1795e+06	 7.0000e+01	 1.6722e+00	 1.8927e-02
 3.7276e+06	 7.0000e+01	 1.6735e+00	 2.2928e-02
 2.6827e+06	 7.0000e+01	 1.6749e+00	 3.2616e-02
 1.9307e+06	 7.0000e+01	 1.6819e+00	 3.9770e-02
 1.3895e+06	 7.0000e+01	 1.6891e+00	 4.9445e-02
 1.0000e+06	 7.0000e+01	 1.6997e+00	 5.6847e-02
 7.1969e+05	 7.0000e+01	 1.7061e+00	 6.4627e-02
 5.1795e+05	 7.0000e+01	 1.7184e+00	 7.1568e-02
 3.7276e+05	 7.0000e+01	 1.7322e+00	 7.9602e-02
 2.6827e+05	 7.0000e+01	 1.7477e+00	 8.8818e-02
 1.9307e+05	 7.0000e+01	 1.7652e+00	 9.9424e-02
 1.3895e+05	 7.0000e+01	 1.7850e+00	 1.1161e-01
 1.0000e+05	 7.0000e+01	 1.8076e+00	 1.2537e-01
 7.1969e+04	 7.0000e+01	 1.8335e+00	 1.4064e-01
 5.1795e+04	 7.0000e+01	 1.8630e+00	 1.5734e-01
 3.7276e+04	 7.0000e+01	 1.8966e+00	 1.7521e-01
 2.6827e+04	 7.0000e+01	 1.9351e+00	 1.9387e-01
 1.9307e+04	 7.0000e+01	 1.9787e+00	 2.1268e-01
 1.3895e+04	 7.0000e+01	 2.0283e+00	 2.3088e-01
 1.0000e+04	 7.0000e+01	 2.0823e+00	 2.4717e-01
 7.1969e+03	 7.0000e+01	 2.1418e+00	 2.6048e-01
 5.1795e+03	 7.0000e+01	 2.2049e+00	 2.6919e-01
 3.7276e+03	 7.0000e+01	 2.2709e+00	 2.7226e-01
 2.6827e+03	 7.0000e+01	 2.3373e+00	 2.6867e-01
 1.9307e+03	 7.0000e+01	 2.4019e+00	 2.5830e-01
 1.3895e+03	 7.0000e+01	 2.4625e+00	 2.4170e-01
 1.0000e+03	 7.0000e+01	 2.5168e+00	 2.2028e-01
 7.1969e+02	 7.0000e+01	 2.5636e+00	 1.9589e-01
 5.1795e+02	 7.0000e+01	 2.6028e+00	 1.7035e-01
 3.7276e+02	 7.0000e+01	 2.6343e+00	 1.4561e-01
 2.6827e+02	 7.0000e+01	 2.6591e+00	 1.2298e-01
 1.9307e+02	 7.0000e+01	 2.6782e+00	 1.0345e-01
 1.3895e+02	 7.0000e+01	 2.6927e+00	 8.7440e-02
 1.0000e+02	 7.0000e+01	 2.7037e+00	 7.5191e-02
 7.1969e+01	 7.0000e+01	 2.7120e+00	 6.6947e-02
 5.1795e+01	 7.0000e+01	 2.7182e+00	 6.2876e-02
 3.7276e+01	 7.0000e+01	 2.7230e+00	 6.3319e-02
 2.6827e+01	 7.0000e+01	 2.7265e+00	 6.8882e-02
 1.9307e+01	 7.0000e+01	 2.7293e+00	 8.0676e-02
 1.3895e+01	 7.0000e+01	 2.7315e+00	 1.0034e-01
 1.0000e+01	 7.0000e+01	 2.7336e+00	 1.3001e-01
 7.1969e+00	 7.0000e+01	 2.7354e+00	 1.7365e-01
 5.1795e+00	 7.0000e+01	 2.7375e+00	 2.3535e-01
 3.7276e+00	 7.0000e+01	 2.7397e+00	 3.2235e-01
 2.6827e+00	 7.0000e+01	 2.7430e+00	 4.4348e-01
 1.9307e+00	 7.0000e+01	 2.7484e+00	 6.1334e-01
 1.3895e+00	 7.0000e+01	 2.7575e+00	 8.4694e-01
 1.0000e+00	 7.0000e+01	 2.7717e+00	 1.1686e+00
 7.1969e-01	 7.0000e+01	 2.7925e+00	 1.6161e+00
 5.1795e-01	 7.0000e+01	 2.8242e+00	 2.2291e+00
 3.7276e-01	 7.0000e+01	 2.8677e+00	 3.0703e+00
 2.6827e-01	 7.0000e+01	 2.9276e+00	 4.2239e+00
 1.9307e-01	 7.0000e+01	 3.0252e+00	 5.8268e+00
 1.3895e-01	 7.0000e+01	 3.1530e+00	 8.0296e+00
 1.0000e-01	 7.0000e+01	 3.3578e+00	 1.1055e+01
 7.1969e-02	 7.0000e+01	 3.6537e+00	 1.5218e+01
 5.1795e-02	 7.0000e+01	 4.0831e+00	 2.0886e+01
 3.7276e-02	 7.0000e+01	 4.6834e+00	 2.8591e+01
 2.6827e-02	 7.0000e+01	 5.5552e+00	 3.9190e+01
 1.0000e+07	 6.5000e+01	 1.7158e+00	-2.7498e-02
 7.1969e+06	 6.5000e+01	 1.7097e+00	 1.9621e-02
 5.1795e+06	 6.5000e+01	 1.7002e+00	 2.2642e-02
 3.7276e+06	 6.5000e+01	 1.7020e+00	 2.2479e-02
 2.6827e+06	 6.5000e+01	 1.7019e+00	 3.0186e-02
 1.9307e+06	 6.5000e+01	 1.7075e+00	 3.5745e-02
 1.3895e+06	 6.5000e+01	 1.7138e+00	 4.4032e-02
 1.0000e+06	 6.5000e+01	 1.7230e+00	 5.0087e-02
 7.1969e+05	 6.5000e+01	 1.7284e+00	 5.5996e-02
 5.1795e+05	 6.5000e+01	 1.7389e+00	 6.1585e-02
 3.7276e+05	 6.5000e+01	 1.7507e+00	 6.8050e-02
 2.6827e+05	 6.5000e+01	 1.7638e+00	 7.5486e-02
 1.9307e+05	 6.5000e+01	 1.7784e+00	 8.4065e-02
 1.3895e+05	 6.5000e+01	 1.7949e+00	 9.3983e-02
 1.0000e+05	 6.5000e+01	 1.8134e+00	 1.0528e-01
 7.1969e+04	 6.5000e+01	 1.8346e+00	 1.1807e-01
 5.1795e+04	 6.5000e+01	 1.8587e+00	 1.3227e-01
 3.7276e+04	 6.5000e+01	 1.8859e+00	 1.4798e-01
 2.6827e+04	 6.5000e+01	 1.9171e+00	 1.6488e-01
 1.9307e+04	 6.5000e+01	 1.9527e+00	 1.8279e-01
 1.3895e+04	 6.5000e+01	 1.9929e+00	 2.0122e-01
 1.0000e+04	 6.5000e+01	 2.0387e+00	 2.1961e-01
 7.1969e+03	 6.5000e+01	 2.0893e+00	 2.3709e-01
 5.1795e+03	 6.5000e+01	 2.1444e+00	 2.5248e-01
 3.7276e+03	 6.5000e+01	 2.2044e+00	 2.6467e-01
 2.6827e+03	 6.5000e+01	 2.2680e+00	 2.7239e-01
 1.9307e+03	 6.5000e+01	 2.3338e+00	 2.7461e-01
 1.3895e+03	 6.5000e+01	 2.3998e+00	 2.7067e-01
 1.0000e+03	 6.5000e+01	 2.4638e+00	 2.6054e-01
 7.1969e+02	 6.5000e+01	 2.5239e+00	 2.4482e-01
 5.1795e+02	 6.5000e+01	 2.5784e+00	 2.2471e-01
 3.7276e+02	 6.5000e+01	 2.6261e+00	 2.0175e-01
 2.6827e+02	 6.5000e+01	 2.6665e+00	 1.7767e-01
 1.9307e+02	 6.5000e+01	 2.6998e+00	 1.5406e-01
 1.3895e+02	 6.5000e+01	 2.7266e+00	 1.3219e-01
 1.0000e+02	 6.5000e+01	 2.7479e+00	 1.1299e-01
 7.1969e+01	 6.5000e+01	 2.7645e+00	 9.7016e-02
 5.1795e+01	 6.5000e+01	 2.7773e+00	 8.4716e-02
 3.7276e+01	 6.5000e+01	 2.7871e+00	 7.6387e-02
 2.6827e+01	 6.5000e+01	 2.7947e+00	 7.2365e-02
 1.9307e+01	 6.5000e+01	 2.8005e+00	 7.3102e-02
 1.3895e+01	 6.5000e+01	 2.8049e+00	 7.9782e-02
 1.0000e+01	 6.5000e+01	 2.8084e+00	 9.3137e-02
 7.1969e+00	 6.5000e+01	 2.8113e+00	 1.1548e-01
 5.1795e+00	 6.5000e+01	 2.8136e+00	 1.4868e-01
 3.7276e+00	 6.5000e+01	 2.8159e+00	 1.9782e-01
 2.6827e+00	 6.5000e+01	 2.8182e+00	 2.6748e-01
 1.9307e+00	 6.5000e+01	 2.8216e+00	 3.6584e-01
 1.3895e+00	 6.5000e+01	 2.8251e+00	 5.0261e-01
 1.0000e+00	 6.5000e+01	 2.8315e+00	 6.9200e-01
 7.1969e-01	 6.5000e+01	 2.8421e+00	 9.5387e-01
 5.1795e-01	 6.5000e+01	 2.8589e+00	 1.3144e+00
 3.7276e-01	 6.5000e+01	 2.8836e+00	 1.8082e+00
 2.6827e-01	 6.5000e+01	 2.9190e+00	 2.4845e+00
 1.9307e-01	 6.5000e+01	 2.9681e+00	 3.4068e+00
 1.3895e-01	 6.5000e+01	 3.0342e+00	 4.6651e+00
 1.0000e-01	 6.5000e+01	 3.1376e+00	 6.4065e+00
 7.1969e-02	 6.5000e+01	 3.2866e+00	 8.7923e+00
 5.1795e-02	 6.5000e+01	 3.4992e+00	 1.1986e+01
 3.7276e-02	 6.5000e+01	 3.8255e+00	 1.6404e+01
 2.6827e-02	 6.5000e+01	 4.2980e+00	 2.2471e+01
 1.0000e+07	 6.0000e+01	 1.7137e+00	-5.4208e-02
 7.1969e+06	 6.0000e+01	 1.7121e+00	 4.6731e-03
 5.1795e+06	 6.0000e+01	 1.7033e+00	 1.1983e-02
 3.7276e+06	 6.0000e+01	 1.7054e+00	 1.4202e-02
 2.6827e+06	 6.0000e+01	 1.7049e+00	 2.2526e-02
 1.9307e+06	 6.0000e+01	 1.7097e+00	 2.8138e-02
 1.3895e+06	 6.0000e+01	 1.7149e+00	 3.6165e-02
 1.0000e+06	 6.0000e+01	 1.7229e+00	 4.1533e-02
 7.1969e+05	 6.0000e+01	 1.7273e+00	 4.6845e-02
 5.1795e+05	 6.0000e+01	 1.7361e+00	 5.1138e-02
 3.7276e+05	 6.0000e+01	 1.7459e+00	 5.6096e-02
 2.6827e+05	 6.0000e+01	 1.7567e+00	 6.1781e-02
