6.28319e+07 1e+07 -0.195 4
4.52389e+07 7.2e+06 -0.0317 3.96
3.25469e+07 5.18e+06 -0.0181 3.91
2.34363e+07 3.73e+06 -0.0052 3.88
1.68389e+07 2.68e+06 0.00944 3.86
1.21265e+07 1.93e+06 0.0322 3.86
8.73363e+06 1.39e+06 0.0546 3.85
6.28319e+06 1e+06 0.0812 3.85
4.52389e+06 720000 0.128 3.85
3.25469e+06 518000 0.173 3.85
2.34363e+06 373000 0.234 3.86
1.68389e+06 268000 0.319 3.86
1.21265e+06 193000 0.437 3.87
873363 139000 0.599 3.87
628319 100000 0.825 3.88
452389 72000 1.14 3.88
325469 51800 1.57 3.89
234363 37300 2.17 3.9
168389 26800 3 3.91
121265 19300 4.15 3.92
87336.3 13900 5.76 3.94
62831.9 10000 7.98 3.95
45238.9 7200 11.1 3.97
32546.9 5180 15.4 3.99
23436.3 3730 21.3 4.02
16838.9 2680 29.6 4.05
12126.5 1930 41.1 4.1
8733.63 1390 57 4.19
6283.19 1000 79.2 4.34
4523.89 720 110 4.61
3254.69 518 153 5.09
2343.63 373 212 6.01
1683.89 268 294 7.57
1212.65 193 408 10.4
873.363 139 566 15.4
628.319 100 785 24.5
452.389 72 1090 40.8
325.469 51.8 1500 69.7
234.363 37.3 2080 121
168.389 26.8 2860 208
121.265 19.3 3920 356
87.3363 13.9 5360 595
62.8319 10 7270 965
45.2389 7.2 9810 1500
32.5469 5.18 13200 2230
23.4363 3.73 17600 3180
16.8389 2.68 23600 4370
12.1265 1.93 31600 5860
8.73363 1.39 42400 7710
6.28319 1 57200 10100
4.52389 0.72 77400 13400
3.25469 0.518 105000 17800
2.34363 0.373 142000 24300
1.68389 0.268 192000 33600
1.21265 0.193 259000 47400
0.873363 0.139 349000 68500
0.628319 0.1 470000 101000
0.452389 0.072 620000 150000
0.325469 0.0518 809000 221000
0.234363 0.0373 1.04e+06 324000
0.168389 0.0268 1.3e+06 462000
