Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.902181 2.5437
-0.630391 -1.42857 -1.03389 2.5209
-0.487532 -1.28571 -1.04934 2.5029
-0.344674 -1.14285 -0.99137 2.4824
-0.20182 -1 -0.975357 2.4608
-0.0589614 -0.857141 -0.961452 2.4381
0.083893 -0.714285 -0.951817 2.4151
0.226752 -0.571428 -0.942181 2.3913
0.369609 -0.428571 -0.946089 2.3675
0.512468 -0.285712 -0.92934 2.3435
0.655326 -0.142855 -0.949443 2.3189
0.79818 0 -0.945249 2.296
0.941039 0.142859 -0.936185 2.2713
1.08389 0.285715 -0.966438 2.2482
1.22675 0.428572 -0.971705 2.2256
1.36961 0.571429 -0.989115 2.2037
1.51247 0.714288 -1.00381 2.1826
1.65533 0.857145 -1.02668 2.1623
1.79818 1 -1.04296 2.1431
1.94104 1.14286 -1.06255 2.1244
2.08389 1.28571 -1.08791 2.1069
2.22675 1.42857 -1.10739 2.0901
2.36961 1.57143 -1.1368 2.0743
2.51247 1.71429 -1.16517 2.0595
2.65533 1.85715 -1.189 2.0456
2.79818 2 -1.2045 2.0323
2.94104 2.14286 -1.23673 2.0196
3.08389 2.28571 -1.26953 2.008
3.22675 2.42857 -1.29462 1.997
3.36961 2.57143 -1.32816 1.9868
3.51247 2.71429 -1.36064 1.9773
3.65533 2.85715 -1.3889 1.9685
3.79818 3 -1.41997 1.9602
3.94104 3.14286 -1.45771 1.9526
4.08389 3.28571 -1.49879 1.9456
4.22675 3.42857 -1.54009 1.9393
4.36961 3.57143 -1.58016 1.9335
4.51247 3.71429 -1.60189 1.9282
4.65533 3.85715 -1.61818 1.923
4.79818 4 -1.63214 1.9181
4.94104 4.14286 -1.63831 1.9132
5.08389 4.28571 -1.65345 1.9085
5.22675 4.42857 -1.66973 1.9039
5.36961 4.57143 -1.70513 1.8996
5.51247 4.71429 -1.72959 1.8956
5.65533 4.85715 -1.7235 1.8917
5.79818 5 -1.757 1.8878
5.94104 5.14286 -1.80454 1.8844
6.08389 5.28571 -1.80275 1.8811
6.22675 5.42857 -1.84047 1.8779
6.36961 5.57143 -1.90479 1.8751
6.51247 5.71429 -1.83718 1.8724
6.65533 5.85715 -3.00701 1.8701
6.79818 6 -2.25244 1.8715
6.94104 6.14286 -2.0711 1.871
7.08389 6.28571 -2.05154 1.8689
7.22675 6.42857 -1.64736 1.8695
7.36961 6.57143 -1.92426 1.8754
7.51247 6.71429 -1.39615 1.8772
7.65533 6.85715 -1.14889 1.8924
7.79818 7 -3.52399 1.8998


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.902181 -1.3373 5.81464
-0.764677 -1.56286 -0.91343 -1.28746 5.81464
-0.756105 -1.55429 -0.924252 -1.23762 5.81464
-0.747534 -1.54571 -0.934646 -1.18778 5.81464
-0.738962 -1.53714 -0.944613 -1.13794 5.81464
-0.730391 -1.52857 -0.954154 -1.0881 5.81464
-0.721819 -1.52 -0.963267 -1.03826 5.81464
-0.713248 -1.51143 -0.971952 -0.988417 5.81464
-0.704677 -1.50286 -0.980211 -0.938577 5.81464
-0.696105 -1.49429 -0.988042 -0.888737 5.81464
-0.687534 -1.48571 -0.995446 -0.838898 5.81464
-0.678962 -1.47714 -1.00242 -0.789058 5.81464
-0.670391 -1.46857 -1.00897 -0.739218 5.81464
-0.661819 -1.46 -1.0151 -0.689378 5.81464
-0.653248 -1.45143 -1.02079 -0.639538 5.81464
-0.644677 -1.44286 -1.02606 -0.589699 5.81464
-0.636105 -1.43429 -1.0309 -0.539859 5.81464
-0.627534 -1.42571 -1.03531 -0.490039 5.8005
-0.618962 -1.41714 -1.0393 -0.440503 5.75809
-0.610391 -1.40857 -1.04287 -0.391329 5.71567
-0.601819 -1.4 -1.04601 -0.34252 5.67326
-0.593248 -1.39143 -1.04874 -0.294073 5.63084
-0.584677 -1.38286 -1.05105 -0.245991 5.58843
-0.576105 -1.37429 -1.05296 -0.198272 5.54602
-0.567534 -1.36571 -1.05445 -0.150916 5.5036
-0.558962 -1.35714 -1.05555 -0.103924 5.46119
-0.550391 -1.34857 -1.05624 -0.0572959 5.41877
-0.541819 -1.34 -1.05653 -0.0110311 5.37636
-0.533248 -1.33143 -1.05643 0.0348702 5.33394
-0.524677 -1.32286 -1.05593 0.0804079 5.29153
-0.516105 -1.31429 -1.05505 0.125582 5.24911
-0.507534 -1.30571 -1.05378 0.170393 5.2067
-0.498962 -1.29714 -1.05213 0.21484 5.16429
-0.490391 -1.28857 -1.0501 0.258923 5.12187
-0.481819 -1.28 -1.04769 0.301608 4.71705
-0.473248 -1.27143 -1.04494 0.339528 4.13086
-0.464677 -1.26286 -1.04189 0.372423 3.54466
-0.456105 -1.25429 -1.03857 0.400293 2.95847
-0.447534 -1.24571 -1.03504 0.423139 2.37228
-0.438962 -1.23714 -1.03133 0.440961 1.78608
-0.430391 -1.22857 -1.02749 0.453758 1.19989
-0.421819 -1.22 -1.02357 0.461531 0.613698
-0.413248 -1.21143 -1.0196 0.464279 0.0275043
-0.404677 -1.20286 -1.01562 0.462002 -0.558689
-0.396105 -1.19429 -1.01169 0.454701 -1.14488
-0.387534 -1.18571 -1.00784 0.442376 -1.73108
-0.378962 -1.17714 -1.00412 0.425025 -2.31727
-0.370391 -1.16857 -1.00057 0.402651 -2.90346
-0.361819 -1.16 -0.997234 0.375252 -3.48965
-0.353248 -1.15143 -0.994152 0.342828 -4.07585
-0.344677 -1.14286 -0.991371 0.30538 -4.66204
