Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 3.20294 1813.3
-0.630391 -1.42857 3.10916 1511.6
-0.487532 -1.28571 3.01231 1271.1
-0.344674 -1.14285 2.91507 1077.2
-0.20182 -1 2.81112 924.49
-0.0589614 -0.857141 2.73301 801.31
0.083893 -0.714285 2.67408 695.36
0.226752 -0.571428 2.61945 602.67
0.369609 -0.428571 2.59009 518.99
0.512468 -0.285712 2.57004 439.02
0.655326 -0.142855 2.54208 363.76
0.79818 0 2.51036 293.2
0.941039 0.142859 2.46605 228.6
1.08389 0.285715 2.40182 171.33
1.22675 0.428572 2.31406 123.37
1.36961 0.571429 2.20187 85.067
1.51247 0.714288 2.05195 56.673
1.65533 0.857145 1.88575 37.121
1.79818 1 1.70415 23.811
1.94104 1.14286 1.48743 15.483
2.08389 1.28571 1.27387 10.39
2.22675 1.42857 1.0463 7.3164
2.36961 1.57143 0.808281 5.5234
2.51247 1.71429 0.568247 4.4859
2.65533 1.85715 0.311086 3.8984
2.79818 2 0.0559213 3.5767
2.94104 2.14286 -0.192162 3.3931
3.08389 2.28571 -0.459633 3.2937
3.22675 2.42857 -0.660295 3.2361
3.36961 2.57143 -0.907791 3.1998
3.51247 2.71429 -1.17059 3.1816
3.65533 2.85715 -1.29776 3.1688
3.79818 3 -1.49736 3.1606
3.94104 3.14286 -1.58858 3.1546
4.08389 3.28571 -1.67397 3.1497
4.22675 3.42857 -1.73505 3.1456
4.36961 3.57143 -1.77123 3.1419
4.51247 3.71429 -1.84963 3.1386
4.65533 3.85715 -1.85688 3.1358
4.79818 4 -1.87485 3.1328
4.94104 4.14286 -1.88729 3.1302
5.08389 4.28571 -1.82293 3.1272
5.22675 4.42857 -1.80346 3.124
5.36961 4.57143 -1.74336 3.1205
5.51247 4.71429 -1.65056 3.1163
5.65533 4.85715 -1.52234 3.1109
5.79818 5 -1.40413 3.1036
5.94104 5.14286 -1.26491 3.094
6.08389 5.28571 -1.11342 3.0803
6.22675 5.42857 -0.974468 3.0613
6.36961 5.57143 -0.83478 3.0351
6.51247 5.71429 -0.70875 2.9994
6.65533 5.85715 -0.603616 2.9529
6.79818 6 -0.536434 2.8959
6.94104 6.14286 -0.454318 2.8298
7.08389 6.28571 -0.401161 2.7498
7.22675 6.42857 -0.42197 2.668
7.36961 6.57143 -0.412347 2.5894
7.51247 6.71429 -0.473933 2.5101
7.65533 6.85715 -0.562129 2.4495
7.79818 7 -0.514762 2.3888


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 3.20294 -0.63938 -0.239032
-0.764677 -1.56286 3.19745 -0.641429 -0.239032
-0.756105 -1.55429 3.19195 -0.643478 -0.239032
-0.747534 -1.54571 3.18642 -0.645526 -0.239032
-0.738962 -1.53714 3.18088 -0.647575 -0.239032
-0.730391 -1.52857 3.17532 -0.649624 -0.239032
-0.721819 -1.52 3.16974 -0.651673 -0.239032
-0.713248 -1.51143 3.16415 -0.653722 -0.239032
-0.704677 -1.50286 3.15854 -0.655771 -0.239032
-0.696105 -1.49429 3.15291 -0.65782 -0.239032
-0.687534 -1.48571 3.14726 -0.659868 -0.239032
-0.678962 -1.47714 3.1416 -0.661917 -0.239032
-0.670391 -1.46857 3.13591 -0.663966 -0.239032
-0.661819 -1.46 3.13021 -0.666015 -0.239032
-0.653248 -1.45143 3.1245 -0.668064 -0.239032
-0.644677 -1.44286 3.11876 -0.670113 -0.239032
-0.636105 -1.43429 3.11301 -0.672161 -0.239032
-0.627534 -1.42571 3.10724 -0.674195 -0.228421
-0.618962 -1.41714 3.10145 -0.676017 -0.196589
-0.610391 -1.40857 3.09565 -0.677565 -0.164757
-0.601819 -1.4 3.08984 -0.678841 -0.132925
-0.593248 -1.39143 3.08401 -0.679844 -0.101093
-0.584677 -1.38286 3.07818 -0.680574 -0.0692609
-0.576105 -1.37429 3.07235 -0.681031 -0.0374289
-0.567534 -1.36571 3.06651 -0.681216 -0.00559688
-0.558962 -1.35714 3.06067 -0.681127 0.0262351
-0.550391 -1.34857 3.05483 -0.680766 0.0580671
-0.541819 -1.34 3.049 -0.680132 0.0898991
-0.533248 -1.33143 3.04317 -0.679225 0.121731
-0.524677 -1.32286 3.03736 -0.678045 0.153563
-0.516105 -1.31429 3.03155 -0.676592 0.185395
-0.507534 -1.30571 3.02576 -0.674867 0.217227
-0.498962 -1.29714 3.01998 -0.672868 0.249059
-0.490391 -1.28857 3.01423 -0.670597 0.280891
-0.481819 -1.28 3.00849 -0.668266 0.238226
-0.473248 -1.27143 3.00277 -0.666567 0.158277
-0.464677 -1.26286 2.99706 -0.665553 0.0783281
-0.456105 -1.25429 2.99136 -0.665224 -0.00162072
-0.447534 -1.24571 2.98565 -0.66558 -0.0815695
-0.438962 -1.23714 2.97994 -0.666622 -0.161518
-0.430391 -1.22857 2.97422 -0.668349 -0.241467
-0.421819 -1.22 2.96848 -0.670762 -0.321416
-0.413248 -1.21143 2.96272 -0.673859 -0.401365
-0.404677 -1.20286 2.95693 -0.677642 -0.481314
-0.396105 -1.19429 2.9511 -0.68211 -0.561262
-0.387534 -1.18571 2.94524 -0.687264 -0.641211
-0.378962 -1.17714 2.93932 -0.693103 -0.72116
-0.370391 -1.16857 2.93335 -0.699627 -0.801109
-0.361819 -1.16 2.92732 -0.706836 -0.881058
-0.353248 -1.15143 2.92123 -0.71473 -0.961006
-0.344677 -1.14286 2.91507 -0.72331 -1.04096
-0.336105 -1.13429 2.90883 -0.731477 -0.864589
