Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 9:16:01 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.902027,0.3554513,0.1868803,1.977464E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,1.354173,0.1319705,9.745469E-02,5.001942E-06,
3,1,3,00:00:24,464158.9,1,0,-,-,-,1.200856,0.0940896,7.835213E-02,2.429611E-06,
4,1,4,00:00:29,316227.8,1,0,-,-,-,1.150469,8.516983E-02,7.403053E-02,1.498354E-06,
5,1,5,00:00:35,215443.5,1,0,-,-,-,1.138524,8.508603E-02,7.473361E-02,1.019812E-06,
6,1,6,00:00:41,146779.9,1,0,-,-,-,1.168687,9.522399E-02,0.0814795,7.775736E-07,
7,1,7,00:00:47,100000,1,0,-,-,-,1.170828,9.755441E-02,8.332088E-02,5.427195E-07,
8,1,8,00:00:53,68129.2,1,0,-,-,-,1.185229,0.1026775,8.663088E-02,3.891678E-07,
9,1,9,00:01:02,46415.89,1,0,-,-,-,1.206202,0.1090622,9.041781E-02,2.816239E-07,
10,1,10,00:01:07,31622.78,1,0,-,-,-,1.23141,0.1160846,0.0942697,2.042223E-07,
11,1,11,00:01:13,21544.35,1,0,-,-,-,1.259396,0.1234486,9.802205E-02,1.479613E-07,
12,1,12,00:01:19,14677.99,1,0,-,-,-,1.290844,0.1311697,0.1016154,1.071097E-07,
13,1,13,00:01:25,10000,1,0,-,-,-,1.326748,0.138053,0.1040537,7.680234E-08,
14,1,14,00:01:31,6812.921,1,0,-,-,-,1.362858,0.1434891,0.1052854,5.43852E-08,
15,1,15,00:01:37,4641.589,1,0,-,-,-,1.401583,0.1457138,0.1039637,3.762667E-08,
16,1,16,00:01:43,3162.278,1,0,-,-,-,1.441076,0.1452101,0.100765,2.554614E-08,
17,1,17,00:01:49,2154.435,1,0,-,-,-,1.480347,0.1413162,9.546154E-02,1.693768E-08,
18,1,18,00:01:54,1467.799,1,0,-,-,-,1.518183,0.1341121,8.833729E-02,1.095124E-08,
19,1,19,00:02:01,1000,1,0,-,-,-,1.553326,0.1239714,7.981026E-02,6.896838E-09,
20,1,20,00:02:07,681.2921,1,0,-,-,-,1.584609,0.1112147,7.018435E-02,4.215258E-09,
21,1,21,00:02:13,464.1589,1,0,-,-,-,1.611547,0.0972526,6.034736E-02,2.511287E-09,
22,1,22,00:02:19,316.2278,1,0,-,-,-,1.633238,8.232704E-02,5.040725E-02,1.448342E-09,
23,1,23,00:02:26,215.4435,1,0,-,-,-,1.650796,6.793635E-02,0.0411537,8.142619E-10,
24,1,24,00:02:32,146.7799,1,0,-,-,-,1.664052,5.461008E-02,3.281754E-02,4.459313E-10,
25,1,25,00:02:38,100,1,0,-,-,-,1.674142,0.0432822,2.585337E-02,2.407897E-10,
26,1,26,00:02:44,68.1292,1,0,-,-,-,1.681103,3.320311E-02,1.975079E-02,1.258464E-10,
27,1,27,00:02:50,46.41589,1,0,-,-,-,1.684774,2.496796E-02,1.481977E-02,6.447305E-11,
28,1,28,00:02:56,31.62278,1,0,-,-,-,1.689407,1.907208E-02,1.128922E-02,3.355264E-11,
29,1,29,00:03:01,21.54435,1,0,-,-,-,1.692065,1.591715E-02,9.406938E-03,1.907776E-11,
30,1,30,00:03:07,14.67799,1,0,-,-,-,1.695483,1.138116E-02,6.712634E-03,9.293546E-12,
31,1,31,00:03:14,10,1,0,-,-,-,1.693497,8.569926E-03,5.060491E-03,4.767663E-12,
