Exported SMaRT Impedance Data
Experiment start time : 9/13/2016 3:00:24 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:14,10000000,1,0,-,-,-,-0.7516549,1.638743,-2.18018,1.802904,
2,1,2,00:00:20,7196857,1,0,-,-,-,-0.840517,1.380643,-1.642612,1.616367,
3,1,3,00:00:31,5179475,1,0,-,-,-,-3.205083,5.013054,-1.564095,5.950064,
4,1,4,00:00:37,3727594,1,0,-,-,-,6.946094,15.12,2.176763,16.63919,
5,1,5,00:00:43,2682696,1,0,-,-,-,8.294605,0.9641211,0.1162347,8.35045,
6,1,6,00:00:49,1930698,1,0,-,-,-,5.941796,0.1814052,3.053036E-02,5.944564,
7,1,7,00:00:55,1389496,1,0,-,-,-,5.214441,2.105402E-02,4.037638E-03,5.214483,
8,1,8,00:01:01,1000000,1,0,-,-,-,4.889577,1.414168E-02,2.892209E-03,4.889597,
9,1,9,00:01:06,719685.7,1,0,-,-,-,4.742537,2.034096E-02,4.289047E-03,4.74258,
10,1,10,00:01:14,517947.4,1,0,-,-,-,4.675774,3.070251E-02,6.566294E-03,4.675875,
11,1,11,00:01:20,372759.4,1,0,-,-,-,4.64731,3.922922E-02,8.441274E-03,4.647476,
12,1,12,00:01:26,268269.6,1,0,-,-,-,4.678515,6.095966E-02,0.0130297,4.678913,
13,1,13,00:01:32,193069.8,1,0,-,-,-,4.66078,5.990881E-02,1.285382E-02,4.661165,
14,1,14,00:01:37,138949.5,1,0,-,-,-,4.658068,6.229249E-02,1.337303E-02,4.658484,
15,1,15,00:01:43,100000,1,0,-,-,-,4.664304,6.532123E-02,0.0140045,4.664762,
16,2,1,00:01:52,100000,1,0,-,-,-,4.664208,6.536613E-02,1.401441E-02,4.664667,
17,2,2,00:02:00,71968.57,1,0,-,-,-,4.67472,6.787518E-02,1.451962E-02,4.675213,
18,2,3,00:02:09,51794.75,1,0,-,-,-,4.686649,7.018191E-02,1.497486E-02,4.687175,
19,2,4,00:02:15,37275.94,1,0,-,-,-,4.699614,0.0719549,1.531081E-02,4.700165,
20,2,5,00:02:21,26826.96,1,0,-,-,-,4.718732,8.359103E-02,1.771472E-02,4.719473,
21,2,6,00:02:27,19306.98,1,0,-,-,-,4.73409,0.0880857,1.860668E-02,4.734909,
22,2,7,00:02:32,13894.96,1,0,-,-,-,4.751107,9.404688E-02,1.979473E-02,4.752038,
23,2,8,00:02:38,10000,1,0,-,-,-,4.77037,0.1003352,2.103299E-02,4.771426,
24,2,9,00:02:44,7196.857,1,0,-,-,-,4.791975,0.1066781,2.226182E-02,4.793162,
25,2,10,00:02:50,5179.475,1,0,-,-,-,4.814404,0.1127454,2.341834E-02,4.815724,
26,2,11,00:02:56,3727.594,1,0,-,-,-,4.838895,0.1193335,0.0246613,4.840366,
27,2,12,00:03:02,2682.696,1,0,-,-,-,4.865746,0.1247539,2.563922E-02,4.867344,
28,2,13,00:03:08,1930.698,1,0,-,-,-,4.893004,0.1307656,2.672502E-02,4.894751,
29,2,14,00:03:14,1389.495,1,0,-,-,-,4.921244,0.1378123,2.800354E-02,4.923173,
30,2,15,00:03:20,1000,1,0,-,-,-,4.950192,0.1430316,2.889414E-02,4.952259,
31,2,16,00:03:26,719.6857,1,0,-,-,-,4.980726,0.1487222,2.985953E-02,4.982946,
32,2,17,00:03:32,517.9474,1,0,-,-,-,5.011941,0.1550525,3.093661E-02,5.014339,
33,2,18,00:03:38,372.7594,1,0,-,-,-,5.044297,0.1610031,3.191784E-02,5.046865,
34,2,19,00:03:45,268.2696,1,0,-,-,-,5.076627,0.1673217,3.295923E-02,5.079384,
35,2,20,00:03:51,193.0698,1,0,-,-,-,5.111581,0.1756518,3.436349E-02,5.114598,
36,2,21,00:03:57,138.9496,1,0,-,-,-,5.148058,0.1846515,3.586818E-02,5.151369,
37,2,22,00:04:03,100,1,0,-,-,-,5.185013,0.1938017,3.737729E-02,5.188633,
38,2,23,00:04:08,71.96857,1,0,-,-,-,5.223955,0.2057542,3.938668E-02,5.228005,
39,2,24,00:04:14,51.79475,1,0,-,-,-,5.265856,0.218731,4.153759E-02,5.270397,
40,2,25,00:04:20,37.27594,1,0,-,-,-,5.309345,0.2347047,4.420596E-02,5.31453,
41,2,26,00:04:26,26.82696,1,0,-,-,-,5.35653,0.2513095,4.691647E-02,5.362422,
42,2,27,00:04:32,19.30698,1,0,-,-,-,5.406881,0.271446,5.020379E-02,5.413691,
43,2,28,00:04:38,13.89495,1,0,-,-,-,5.463571,0.293187,5.366217E-02,5.471431,
44,2,29,00:04:44,10,1,0,-,-,-,5.52279,0.3189015,5.774283E-02,5.53199,
45,2,30,00:04:50,7.196856,1,0,-,-,-,5.59001,0.347338,6.213548E-02,5.600791,
46,2,31,00:04:58,5.179475,1,0,-,-,-,5.664353,0.3810334,6.726865E-02,5.677154,
47,2,32,00:05:04,3.727594,1,0,-,-,-,5.745451,0.4069895,7.083681E-02,5.759848,
48,2,33,00:05:11,2.682696,1,0,-,-,-,5.829206,0.4433971,7.606475E-02,5.846045,
49,2,34,00:05:17,1.930698,1,0,-,-,-,5.921975,0.478523,8.080462E-02,5.941277,
50,2,35,00:05:24,1.389495,1,0,-,-,-,6.017836,0.5116037,8.501457E-02,6.039544,
51,2,36,00:05:30,1,1,0,-,-,-,6.134698,0.5438043,8.864402E-02,6.158753,
