Exported SMaRT Impedance Data
Experiment start time : 9/14/2016 3:29:28 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:14,10000000,1,0,-,-,-,-2.015966,2.249451,-1.115818,3.020621,
2,1,2,00:00:20,7196857,1,0,-,-,-,-1.428342,1.999741,-1.400044,2.457463,
3,1,3,00:00:31,5179475,1,0,-,-,-,-4.838023,6.870688,-1.420144,8.403144,
4,1,4,00:00:37,3727594,1,0,-,-,-,9.99232,22.74415,2.276163,24.84236,
5,1,5,00:00:43,2682696,1,0,-,-,-,11.76425,1.269401,0.1079032,11.83254,
6,1,6,00:00:49,1930698,1,0,-,-,-,8.350487,0.2212803,2.649909E-02,8.353418,
7,1,7,00:00:55,1389496,1,0,-,-,-,7.266732,0.088245,0.0121437,7.267268,
8,1,8,00:01:01,1000000,1,0,-,-,-,6.823269,6.084047E-02,8.916616E-03,6.82354,
9,1,9,00:01:07,719685.7,1,0,-,-,-,6.62336,0.0616384,9.306212E-03,6.623647,
10,1,10,00:01:14,517947.4,1,0,-,-,-,6.531734,6.486642E-02,9.930966E-03,6.532055,
11,1,11,00:01:20,372759.4,1,0,-,-,-,6.493337,6.923181E-02,1.066198E-02,6.493706,
12,1,12,00:01:26,268269.6,1,0,-,-,-,6.481498,7.338177E-02,1.132173E-02,6.481913,
13,1,13,00:01:32,193069.8,1,0,-,-,-,6.514561,8.163339E-02,1.253091E-02,6.515072,
14,1,14,00:01:38,138949.5,1,0,-,-,-,6.510785,8.472735E-02,1.301338E-02,6.511336,
15,1,15,00:01:44,100000,1,0,-,-,-,6.51634,9.060165E-02,1.390376E-02,6.51697,
16,2,1,00:01:53,100000,1,0,-,-,-,6.516216,9.066626E-02,1.391394E-02,6.516847,
17,2,2,00:02:01,71968.57,1,0,-,-,-,6.527965,0.1005528,0.0154034,6.528739,
18,2,3,00:02:10,51794.75,1,0,-,-,-,6.545747,0.1111847,1.698579E-02,6.546691,
19,2,4,00:02:16,37275.94,1,0,-,-,-,6.568344,0.1224763,1.864645E-02,6.569485,
20,2,5,00:02:21,26826.96,1,0,-,-,-,6.592967,0.1334801,2.024583E-02,6.594318,
21,2,6,00:02:28,19306.98,1,0,-,-,-,6.618636,0.1409864,2.130143E-02,6.620138,
22,2,7,00:02:34,13894.96,1,0,-,-,-,6.644723,0.1542788,2.321824E-02,6.646514,
23,2,8,00:02:39,10000,1,0,-,-,-,6.676877,0.169274,2.535227E-02,6.679022,
24,2,9,00:02:45,7196.857,1,0,-,-,-,6.711543,0.1861563,2.773673E-02,6.714124,
25,2,10,00:02:51,5179.475,1,0,-,-,-,6.749051,0.205743,3.048472E-02,6.752186,
26,2,11,00:02:57,3727.594,1,0,-,-,-,6.791907,0.2259231,3.326358E-02,6.795663,
27,2,12,00:03:03,2682.696,1,0,-,-,-,6.838773,0.2482921,3.630653E-02,6.843278,
28,2,13,00:03:09,1930.698,1,0,-,-,-,6.889937,0.271253,3.936945E-02,6.895275,
29,2,14,00:03:15,1389.495,1,0,-,-,-,6.947197,0.2958323,4.258297E-02,6.953493,
30,2,15,00:03:21,1000,1,0,-,-,-,7.00986,0.322272,4.597411E-02,7.017264,
31,2,16,00:03:27,719.6857,1,0,-,-,-,7.07736,0.3486311,4.926005E-02,7.085942,
32,2,17,00:03:33,517.9474,1,0,-,-,-,7.152589,0.377855,5.282773E-02,7.162563,
33,2,18,00:03:39,372.7594,1,0,-,-,-,7.233189,0.4074236,5.632697E-02,7.244654,
34,2,19,00:03:46,268.2696,1,0,-,-,-,7.319466,0.4377869,5.981131E-02,7.332547,
35,2,20,00:03:53,193.0698,1,0,-,-,-,7.414757,0.4686157,6.320041E-02,7.42955,
36,2,21,00:03:59,138.9496,1,0,-,-,-,7.516172,0.5006496,6.660966E-02,7.532827,
37,2,22,00:04:04,100,1,0,-,-,-,7.624999,0.5323969,6.982255E-02,7.643563,
38,2,23,00:04:10,71.96857,1,0,-,-,-,7.741123,0.5631093,0.0727426,7.761577,
39,2,24,00:04:16,51.79475,1,0,-,-,-,7.864447,0.5939007,7.551716E-02,7.886839,
40,2,25,00:04:22,37.27594,1,0,-,-,-,7.995486,0.6229467,7.791229E-02,8.019717,
41,2,26,00:04:28,26.82696,1,0,-,-,-,8.133426,0.6492211,7.982136E-02,8.159295,
42,2,27,00:04:34,19.30698,1,0,-,-,-,8.278557,0.6720082,8.117455E-02,8.305787,
43,2,28,00:04:40,13.89495,1,0,-,-,-,8.429657,0.68871,8.170083E-02,8.457745,
44,2,29,00:04:46,10,1,0,-,-,-,8.585739,0.7043795,8.204064E-02,8.614585,
45,2,30,00:04:52,7.196856,1,0,-,-,-,8.751716,0.7077066,0.0808649,8.780283,
46,2,31,00:04:59,5.179475,1,0,-,-,-,8.909615,0.7012981,7.871251E-02,8.937172,
47,2,32,00:05:05,3.727594,1,0,-,-,-,9.065401,0.6881431,7.590874E-02,9.091481,
48,2,33,00:05:11,2.682696,1,0,-,-,-,9.223706,0.6633251,7.191524E-02,9.247527,
49,2,34,00:05:16,1.930698,1,0,-,-,-,9.378706,0.6342043,6.762173E-02,9.400125,
50,2,35,00:05:24,1.389495,1,0,-,-,-,9.511353,0.5975129,6.282102E-02,9.530102,
51,2,36,00:05:30,1,1,0,-,-,-,9.643769,0.5515068,5.718789E-02,9.659526,
