Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 6:24:59 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.076532,0.6715336,0.6237932,3.73591E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,0.9908768,0.3113012,0.3141674,1.179893E-05,
3,1,3,00:00:24,464158.9,1,0,-,-,-,0.9346228,0.1904493,0.2037713,4.917841E-06,
4,1,4,00:00:29,316227.8,1,0,-,-,-,0.9131052,0.1347522,0.1475757,2.370633E-06,
5,1,5,00:00:35,215443.5,1,0,-,-,-,0.908923,0.1042167,0.1146596,1.249106E-06,
6,1,6,00:00:41,146779.9,1,0,-,-,-,0.930371,9.150518E-02,9.835344E-02,7.47207E-07,
7,1,7,00:00:47,100000,1,0,-,-,-,0.9294633,7.755036E-02,8.343564E-02,4.314321E-07,
8,1,8,00:00:53,68129.2,1,0,-,-,-,0.9353386,7.044088E-02,7.531057E-02,2.669848E-07,
9,1,9,00:01:02,46415.89,1,0,-,-,-,0.9448775,6.692397E-02,7.082819E-02,1.728132E-07,
10,1,10,00:01:07,31622.78,1,0,-,-,-,0.9563155,6.612083E-02,6.914124E-02,1.163233E-07,
11,1,11,00:01:13,21544.35,1,0,-,-,-,0.9690035,0.0671746,6.932338E-02,8.051318E-08,
12,1,12,00:01:19,14677.99,1,0,-,-,-,0.9843258,7.052384E-02,7.164685E-02,5.758787E-08,
13,1,13,00:01:25,10000,1,0,-,-,-,0.9990582,7.550768E-02,7.557885E-02,4.200681E-08,
14,1,14,00:01:31,6812.921,1,0,-,-,-,1.016248,8.154274E-02,0.080239,3.090631E-08,
15,1,15,00:01:37,4641.589,1,0,-,-,-,1.035774,8.844519E-02,8.539042E-02,2.28386E-08,
16,1,16,00:01:43,3162.278,1,0,-,-,-,1.057488,9.604899E-02,9.082747E-02,1.689746E-08,
17,1,17,00:01:49,2154.435,1,0,-,-,-,1.081569,0.1042385,9.637708E-02,1.249367E-08,
18,1,18,00:01:55,1467.799,1,0,-,-,-,1.108464,0.1125106,0.1015013,9.187312E-09,
19,1,19,00:02:01,1000,1,0,-,-,-,1.137657,0.1203238,0.1057646,6.693916E-09,
20,1,20,00:02:07,681.2921,1,0,-,-,-,1.169436,0.127355,0.108903,4.827008E-09,
21,1,21,00:02:13,464.1589,1,0,-,-,-,1.203438,0.1327759,0.1103305,3.42858E-09,
22,1,22,00:02:19,316.2278,1,0,-,-,-,1.239321,0.1363981,0.1100587,2.39959E-09,
23,1,23,00:02:26,215.4435,1,0,-,-,-,1.27651,0.137203,0.1074829,1.644469E-09,
24,1,24,00:02:32,146.7799,1,0,-,-,-,1.313859,0.1350545,0.1027922,1.102819E-09,
25,1,25,00:02:38,100,1,0,-,-,-,1.349998,0.1297908,9.614151E-02,7.220587E-10,
26,1,26,00:02:44,68.1292,1,0,-,-,-,1.384353,0.1214699,0.0877449,4.603951E-10,
27,1,27,00:02:50,46.41589,1,0,-,-,-,1.417288,0.1105701,0.0780153,2.855177E-10,
28,1,28,00:02:56,31.62278,1,0,-,-,-,1.444895,9.744112E-02,6.743819E-02,1.714237E-10,
29,1,29,00:03:01,21.54435,1,0,-,-,-,1.464484,8.410699E-02,5.743115E-02,1.008077E-10,
30,1,30,00:03:07,14.67799,1,0,-,-,-,1.483577,6.982857E-02,4.706772E-02,5.702013E-11,
31,1,31,00:03:14,10,1,0,-,-,-,1.497566,0.0572997,0.0382619,3.187725E-11,
