Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 9:47:40 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,3.764858E-03,-3.966308E-06,-1.053508E-03,-2.206556E-10,
2,1,2,00:00:20,681292.1,1,0,-,-,-,3.728131E-03,5.077166E-05,1.361853E-02,1.924347E-09,
3,1,3,00:00:28,464158.9,1,0,-,-,-,3.726238E-03,7.328716E-05,1.966787E-02,1.892444E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,3.734714E-03,8.245888E-05,2.207903E-02,1.450661E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,3.742924E-03,9.171661E-05,0.024504,1.099284E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,3.760672E-03,1.204978E-04,3.204157E-02,9.83953E-10,
7,1,7,00:00:51,100000,1,0,-,-,-,3.765566E-03,1.018586E-04,2.705001E-02,5.666645E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,3.810373E-03,1.045825E-04,0.0274468,3.963884E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,3.859789E-03,8.387884E-05,2.173146E-02,2.165946E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,3.878855E-03,3.928896E-05,1.012901E-02,6.911926E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,3.868755E-03,6.106325E-06,1.578369E-03,7.318832E-12,
12,1,12,00:01:23,14677.99,1,0,-,-,-,3.850176E-03,-3.343148E-06,-8.683105E-04,-2.729925E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,3.882929E-03,-1.655511E-05,-4.263562E-03,-9.210021E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,3.881563E-03,-3.121296E-06,-8.041337E-04,-1.183033E-12,
15,1,15,00:01:41,4641.589,1,0,-,-,-,3.887207E-03,4.837427E-06,1.244448E-03,1.249136E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,3.893683E-03,7.19544E-06,1.847978E-03,1.265861E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,3.895618E-03,8.143044E-06,2.090309E-03,9.759974E-13,
18,1,18,00:01:58,1467.799,1,0,-,-,-,3.899636E-03,4.919899E-06,1.26163E-03,4.017457E-13,
19,1,19,00:02:04,1000,1,0,-,-,-,3.944674E-03,-4.087831E-06,-1.036291E-03,-2.274162E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,3.951886E-03,-5.177159E-06,-1.310047E-03,-1.962245E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,3.941911E-03,-4.799463E-06,-1.217547E-03,-1.239332E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,3.938281E-03,-4.234156E-06,-1.075128E-03,-7.448956E-14,
23,1,23,00:02:29,215.4435,1,0,-,-,-,3.937391E-03,-8.404164E-06,-2.13445E-03,-1.007294E-13,
24,1,24,00:02:36,146.7799,1,0,-,-,-,3.376896E-03,-7.809975E-06,-2.312768E-03,-6.377417E-14,
25,1,25,00:02:42,100,1,0,-,-,-,3.373179E-03,-6.426772E-06,-1.905257E-03,-3.575374E-14,
26,1,26,00:02:47,68.1292,1,0,-,-,-,3.479395E-03,1.191044E-04,3.423137E-02,4.514293E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,3.48135E-03,1.422249E-05,4.085338E-03,3.672577E-14,
28,1,28,00:02:59,31.62278,1,0,-,-,-,3.393229E-03,-2.307226E-04,-6.799499E-02,-4.058995E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,2.908071E-03,-3.220918E-04,-0.1107579,-3.860482E-13,
30,1,30,00:03:13,14.67799,1,0,-,-,-,3.356613E-03,3.090126E-05,9.206085E-03,2.523315E-14,
31,1,31,00:03:21,10,1,0,-,-,-,3.434651E-03,-1.105289E-04,-3.218053E-02,-6.148997E-14,
