Exported SMaRT Impedance Data
Experiment start time : 5/28/2017 1:11:46 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:11,1000000,1,0,-,-,-,3.17274E-03,1.767645E-05,5.57135E-03,9.833847E-10,
2,1,2,00:00:20,681292.1,1,0,-,-,-,0.0031243,6.835617E-05,2.187888E-02,2.590834E-09,
3,1,3,00:00:27,464158.9,1,0,-,-,-,3.119071E-03,9.120192E-05,2.924008E-02,2.355045E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,3.128743E-03,9.883509E-05,3.158939E-02,1.738761E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,3.137649E-03,1.066144E-04,3.397907E-02,1.277844E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,3.158546E-03,1.3769E-04,4.359284E-02,1.12434E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,3.167373E-03,1.141287E-04,0.0360326,6.349262E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,3.213208E-03,1.181538E-04,3.677129E-02,4.478262E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,3.267514E-03,9.682888E-05,2.963381E-02,2.500346E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,3.290552E-03,5.077838E-05,1.543157E-02,8.933206E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,3.281498E-03,1.670653E-05,5.091128E-03,2.002387E-11,
12,1,12,00:01:22,14677.99,1,0,-,-,-,3.264802E-03,5.590381E-06,1.712318E-03,4.564955E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,3.30397E-03,-7.852026E-06,-2.376542E-03,-4.368278E-12,
14,1,14,00:01:34,6812.921,1,0,-,-,-,3.305887E-03,6.602497E-06,1.997194E-03,2.502477E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,3.313063E-03,1.591052E-05,4.802359E-03,4.108464E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,3.320893E-03,1.837444E-05,5.53298E-03,3.23253E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,3.328391E-03,1.665973E-05,5.005341E-03,1.996778E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,3.332567E-03,1.605845E-05,4.818642E-03,1.31129E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,3.383332E-03,8.842472E-06,2.61354E-03,4.919288E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,3.384599E-03,3.75522E-06,1.109502E-03,1.423303E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,3.381616E-03,8.880062E-06,2.625982E-03,2.293038E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,3.388254E-03,1.103832E-05,3.257821E-03,1.941922E-13,
23,1,23,00:02:29,215.4435,1,0,-,-,-,3.393266E-03,8.300209E-06,2.446082E-03,9.948347E-14,
24,1,24,00:02:35,146.7799,1,0,-,-,-,2.772278E-03,1.80674E-05,6.517167E-03,1.475336E-13,
25,1,25,00:02:41,100,1,0,-,-,-,2.828562E-03,3.42981E-05,1.212563E-02,1.908089E-13,
26,1,26,00:02:47,68.1292,1,0,-,-,-,2.886008E-03,4.731322E-05,0.016394,1.793264E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,2.824679E-03,1.919668E-05,6.796055E-03,4.957027E-14,
28,1,28,00:02:59,31.62278,1,0,-,-,-,2.746065E-03,2.933476E-04,0.1068247,5.16073E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,3.081876E-03,-5.455866E-04,-0.1770307,-6.539214E-13,
30,1,30,00:03:13,14.67799,1,0,-,-,-,2.647012E-03,2.013224E-04,7.605647E-02,1.643944E-13,
31,1,31,00:03:21,10,1,0,-,-,-,2.76039E-03,3.650126E-05,1.322323E-02,2.030656E-14,
