Exported SMaRT Impedance Data
Experiment start time : 1/31/2017 10:13:16 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
1,1,1,01:08:30,1000000,1,0,65.00,66.92,63.00,14.77797,1.275626,0.0863194,-1069.009,
2,1,2,01:08:36,794328.2,1,0,65.00,66.92,63.00,14.78902,1.268409,8.576691E-02,-1344.924,
3,1,3,01:08:44,630957.3,1,0,65.00,66.92,63.00,14.8771,1.256799,8.447874E-02,-1683.502,
4,1,4,01:08:49,501187.3,1,0,65.00,66.92,63.00,15.00623,1.246487,8.306462E-02,-2101.66,
5,1,5,01:08:55,398107.2,1,0,65.00,66.92,63.00,15.16181,1.231133,0.0811996,-2619.48,
6,1,6,01:09:01,316227.8,1,0,65.00,66.92,63.00,15.33413,1.207407,7.873984E-02,-3261.945,
7,1,7,01:09:07,251188.6,1,0,65.00,66.92,63.00,15.51839,1.17291,7.558195E-02,-4059.753,
8,1,8,01:09:13,199526.2,1,0,65.00,66.92,63.00,15.69991,1.127355,0.0718065,-5054.633,
9,1,9,01:09:18,158489.3,1,0,65.00,66.92,63.00,15.88035,1.07148,6.747206E-02,-6294.884,
10,1,10,01:09:24,125892.5,1,0,65.00,66.92,63.00,16.05336,1.000178,6.230337E-02,-7844.621,
11,1,11,01:09:30,100000,1,0,65.00,66.92,63.00,16.21403,0.9182837,5.663513E-02,-9784.497,
12,1,12,01:09:36,79432.82,1,0,65.00,66.92,63.00,16.33204,0.8536829,5.227045E-02,-12234.75,
13,1,13,01:09:45,63095.73,1,0,65.00,66.92,63.00,16.45701,0.7612811,4.625877E-02,-15294.7,
14,1,14,01:09:50,50118.72,1,0,65.00,66.92,63.00,16.56334,0.6731453,4.064068E-02,-19140.61,
15,1,15,01:09:56,39810.72,1,0,65.00,66.92,63.00,16.64853,0.5856933,3.517989E-02,-23983.2,
16,1,16,01:10:02,31622.78,1,0,65.00,66.92,63.00,16.71966,0.5059502,0.0302608,-30074.29,
17,1,17,01:10:08,25118.86,1,0,65.00,66.92,63.00,16.77328,0.4306666,2.567576E-02,-37749.93,
18,1,18,01:10:14,19952.62,1,0,65.00,66.92,63.00,16.81838,0.3649557,2.169982E-02,-47405.84,
19,1,19,01:10:19,15848.93,1,0,65.00,66.92,63.00,16.8539,0.3105514,1.842608E-02,-59562.42,
20,1,20,01:10:25,12589.25,1,0,65.00,66.92,63.00,16.8813,0.2630694,1.558348E-02,-74870.21,
21,1,21,01:10:31,10000,1,0,65.00,66.92,63.00,16.90335,0.2179784,1.289557E-02,-94140.24,
22,1,22,01:10:37,7943.282,1,0,65.00,66.92,63.00,16.93697,0.1865473,1.101421E-02,-118285.6,
23,1,23,01:10:43,6309.573,1,0,65.00,66.92,63.00,16.95037,0.1585474,9.353625E-03,-148800.1,
24,1,24,01:10:49,5011.873,1,0,65.00,66.92,63.00,16.96271,0.1320477,7.784586E-03,-187196.9,
25,1,25,01:10:55,3981.072,1,0,65.00,66.92,63.00,16.97161,0.1097742,6.468109E-03,-235547.8,
26,1,26,01:11:01,3162.278,1,0,65.00,66.92,63.00,16.98121,0.0898535,5.291349E-03,-296373.5,
27,1,27,01:11:07,2511.886,1,0,65.00,66.92,63.00,16.98965,7.534505E-02,4.434761E-03,-372929.9,
28,1,28,01:11:12,1995.262,1,0,65.00,66.92,63.00,16.99486,6.389137E-02,3.759454E-03,-469349.9,
29,1,29,01:11:18,1584.893,1,0,65.00,66.92,63.00,17.0005,5.570396E-02,3.276607E-03,-590682.3,
30,1,30,01:11:24,1258.925,1,0,65.00,66.92,63.00,17.00545,4.759301E-02,2.798692E-03,-743410.9,
31,1,31,01:11:30,1000,1,0,65.00,66.92,63.00,17.01059,4.077407E-02,2.396981E-03,-935617.6,
32,1,32,01:11:36,794.3282,1,0,65.00,66.92,63.00,17.01467,3.885842E-02,2.283819E-03,-1177591,
33,1,33,01:11:42,630.9573,1,0,65.00,66.92,63.00,17.01764,0.0385279,2.263998E-03,-1482241,
34,1,34,01:11:48,501.1872,1,0,65.00,66.92,63.00,17.02147,4.016747E-02,2.359813E-03,-1865610,
35,1,35,01:11:54,398.1072,1,0,65.00,66.92,63.00,17.02533,4.119159E-02,2.41943E-03,-2348130,
36,1,36,01:12:00,316.2278,1,0,65.00,66.92,63.00,17.02589,4.365667E-02,2.564135E-03,-2956021,
37,1,37,01:12:08,251.1886,1,0,65.00,66.92,63.00,17.02944,4.983514E-02,2.92641E-03,-3720627,
38,1,38,01:12:14,199.5262,1,0,65.00,66.92,63.00,17.03173,5.948081E-02,3.492352E-03,-4683346,
39,1,39,01:12:19,158.4893,1,0,65.00,66.92,63.00,17.03334,7.090926E-02,4.162968E-03,-5895394,
40,1,40,01:12:25,125.8925,1,0,65.00,66.92,63.00,17.03591,8.640857E-02,5.072144E-03,-7420685,
41,1,41,01:12:31,100,1,0,65.00,66.92,63.00,17.03993,0.1068192,6.268756E-03,-9339753,
42,1,42,01:12:37,79.43282,1,0,65.00,66.92,63.00,17.04116,0.1321645,7.755601E-03,-1.175696E+07,
43,1,43,01:12:43,63.09574,1,0,65.00,66.92,63.00,17.04358,0.1639854,9.621533E-03,-1.479855E+07,
44,1,44,01:12:49,50.11872,1,0,65.00,66.92,63.00,17.04624,0.2067862,0.0121309,-1.862635E+07,
45,1,45,01:12:55,39.81071,1,0,65.00,66.92,63.00,17.04856,0.2590306,1.519369E-02,-2.344403E+07,
46,1,46,01:13:01,31.62278,1,0,65.00,66.92,63.00,17.05,0.3256651,0.0191006,-2.950785E+07,
47,1,47,01:13:06,25.11886,1,0,65.00,66.92,63.00,17.05284,0.409237,2.399817E-02,-3.713416E+07,
48,1,48,01:13:12,19.95262,1,0,65.00,66.92,63.00,17.0547,0.5130669,0.0300836,-4.672865E+07,
49,1,49,01:13:18,15.84893,1,0,65.00,66.92,63.00,17.05905,0.6465364,0.0378999,-5.878167E+07,
50,1,50,01:13:24,12.58925,1,0,65.00,66.92,63.00,17.06003,0.8124192,4.762121E-02,-7.393614E+07,
51,1,51,01:13:30,10,1,0,65.00,66.92,63.00,17.06372,1.020233,5.978959E-02,-9.29387E+07,
52,1,52,01:13:36,7.943283,1,0,65.00,66.92,63.00,17.06657,1.282018,7.511867E-02,-1.167428E+08,
53,1,53,01:13:42,6.309574,1,0,65.00,66.92,63.00,17.07057,1.612518,0.0944619,-1.464583E+08,
54,1,54,01:13:49,5.011872,1,0,65.00,66.92,63.00,17.07542,2.02467,0.1185722,-1.833941E+08,
55,1,55,01:13:55,3.981072,1,0,65.00,66.92,63.00,17.08063,2.545957,0.1490552,-2.28967E+08,
56,1,56,01:14:03,3.162277,1,0,65.00,66.92,63.00,17.08538,3.20217,0.1874217,-2.845785E+08,
57,1,57,01:14:09,2.511887,1,0,65.00,66.92,63.00,17.0922,4.025749,0.2355314,-3.51216E+08,
58,1,58,01:14:15,1.995262,1,0,65.00,66.92,63.00,17.11464,5.065049,0.2959484,-4.285379E+08,
59,1,59,01:14:23,1.584893,1,0,65.00,66.92,63.00,17.12628,6.363429,0.3715592,-5.152208E+08,
60,1,60,01:14:30,1.258925,1,0,65.00,66.92,63.00,17.14225,7.999817,0.4666725,-6.055953E+08,
61,1,61,01:14:36,1,1,0,65.00,66.92,63.00,17.16335,10.05273,0.5857089,-6.904374E+08,
62,1,62,01:14:44,0.7943283,1,0,65.00,66.92,63.00,17.17653,12.63704,0.7357156,-7.568399E+08,
63,1,63,01:14:52,0.6309573,1,0,65.00,66.92,63.00,17.20438,15.87369,0.9226538,-7.919663E+08,
64,1,64,01:15:00,0.5011872,1,0,65.00,66.92,63.00,17.23448,19.94309,1.157163,-7.877477E+08,
65,1,65,01:15:09,0.3981072,1,0,65.00,66.92,63.00,17.26664,25.05421,1.451018,-7.45568E+08,
66,1,66,01:15:20,0.3162278,1,0,65.00,66.92,63.00,17.31491,31.47159,1.817601,-6.753996E+08,
67,1,67,01:15:32,0.2511886,1,0,65.00,66.92,63.00,17.34097,39.53035,2.279593,-5.896541E+08,
68,1,68,01:15:47,0.1995262,1,0,65.00,66.92,63.00,17.39799,49.66049,2.85438,-5.012095E+08,
69,1,69,01:16:04,0.1584893,1,0,65.00,66.92,63.00,17.50287,62.36101,3.562901,-4.189596E+08,
70,1,70,01:16:25,0.1258925,1,0,65.00,66.92,63.00,17.6015,78.22939,4.444472,-3.46085E+08,
71,1,71,01:16:50,0.1,1,0,65.00,66.92,63.00,17.7438,98.23104,5.536076,-2.834166E+08,
72,2,1,01:32:36,1000000,1,0,65.00,64.95,63.00,15.0571,1.300102,8.634477E-02,-1049.187,
73,2,2,01:32:43,794328.2,1,0,65.00,64.95,63.00,15.0647,1.299621,8.626926E-02,-1320.199,
74,2,3,01:32:50,630957.3,1,0,65.00,64.95,63.00,15.15007,1.296973,0.0856084,-1652.853,
75,2,4,01:32:56,501187.3,1,0,65.00,64.95,63.00,15.28505,1.288112,8.427267E-02,-2062.908,
76,2,5,01:33:02,398107.2,1,0,65.00,64.95,63.00,15.44688,1.279498,8.283216E-02,-2570.454,
77,2,6,01:33:08,316227.8,1,0,65.00,64.95,63.00,15.62561,1.264593,8.093078E-02,-3199.985,
78,2,7,01:33:13,251188.6,1,0,65.00,64.95,63.00,15.81899,1.234628,7.804723E-02,-3981.109,
79,2,8,01:33:19,199526.2,1,0,65.00,64.95,63.00,16.01298,1.197408,7.477733E-02,-4953.663,
80,2,9,01:33:25,158489.3,1,0,65.00,64.95,63.00,16.20404,1.147603,7.082207E-02,-6166.294,
81,2,10,01:33:31,125892.5,1,0,65.00,64.95,63.00,16.39142,1.079645,6.586644E-02,-7679.336,
82,2,11,01:33:37,100000,1,0,65.00,64.95,63.00,16.56883,1.000411,6.037911E-02,-9570.794,
83,2,12,01:33:43,79432.82,1,0,65.00,64.95,63.00,16.69998,0.9359323,5.604392E-02,-11960.31,
84,2,13,01:33:51,63095.73,1,0,65.00,64.95,63.00,16.84134,0.841695,0.0499779,-14940.33,
85,2,14,01:33:57,50118.72,1,0,65.00,64.95,63.00,16.96142,0.7500715,4.422221E-02,-18685.71,
86,2,15,01:34:03,39810.72,1,0,65.00,64.95,63.00,17.06101,0.6572756,0.038525,-23397.6,
87,2,16,01:34:09,31622.78,1,0,65.00,64.95,63.00,17.14341,0.5711131,3.331386E-02,-29325.22,
88,2,17,01:34:15,25118.86,1,0,65.00,64.95,63.00,17.20773,0.4894522,2.844374E-02,-36791.33,
89,2,18,01:34:20,19952.62,1,0,65.00,64.95,63.00,17.26339,0.41853,0.0242438,-46178.43,
90,2,19,01:34:26,15848.93,1,0,65.00,64.95,63.00,17.30224,0.3545083,2.048916E-02,-58014.38,
91,2,20,01:34:32,12589.25,1,0,65.00,64.95,63.00,17.33527,0.2996207,1.728388E-02,-72905.47,
92,2,21,01:34:38,10000,1,0,65.00,64.95,63.00,17.36139,0.2529509,1.456974E-02,-91652.33,
93,2,22,01:34:44,7943.282,1,0,65.00,64.95,63.00,17.39829,0.2151198,1.236442E-02,-115145.6,
94,2,23,01:34:50,6309.573,1,0,65.00,64.95,63.00,17.4128,0.1813402,1.041419E-02,-144845.3,
95,2,24,01:34:56,5011.873,1,0,65.00,64.95,63.00,17.4275,0.1519545,8.719236E-03,-182201.6,
96,2,25,01:35:02,3981.072,1,0,65.00,64.95,63.00,17.43698,0.1274927,7.311625E-03,-229258.6,
97,2,26,01:35:08,3162.278,1,0,65.00,64.95,63.00,17.44738,0.1027538,5.889353E-03,-288452.9,
98,2,27,01:35:14,2511.886,1,0,65.00,64.95,63.00,17.45547,8.645903E-02,4.953119E-03,-362976.1,
99,2,28,01:35:19,1995.262,1,0,65.00,64.95,63.00,17.46341,7.316224E-02,4.189459E-03,-456755.3,
100,2,29,01:35:25,1584.893,1,0,65.00,64.95,63.00,17.46719,6.094457E-02,3.489088E-03,-574899.5,
101,2,30,01:35:31,1258.925,1,0,65.00,64.95,63.00,17.47093,0.052876,3.026512E-03,-723602.8,
102,2,31,01:35:37,1000,1,0,65.00,64.95,63.00,17.47639,0.0438967,2.511771E-03,-910679.8,
103,2,32,01:35:43,794.3282,1,0,65.00,64.95,63.00,17.47963,4.189493E-02,2.396786E-03,-1146266,
104,2,33,01:35:49,630.9573,1,0,65.00,64.95,63.00,17.48355,3.998212E-02,2.286842E-03,-1442741,
105,2,34,01:35:55,501.1872,1,0,65.00,64.95,63.00,17.48693,0.0405352,2.318028E-03,-1815952,
106,2,35,01:36:01,398.1072,1,0,65.00,64.95,63.00,17.49068,4.237707E-02,2.422837E-03,-2285657,
107,2,36,01:36:07,316.2278,1,0,65.00,64.95,63.00,17.48924,4.262578E-02,2.437257E-03,-2877708,
108,2,37,01:36:15,251.1886,1,0,65.00,64.95,63.00,17.4917,4.836434E-02,2.764987E-03,-3622304,
109,2,38,01:36:21,199.5262,1,0,65.00,64.95,63.00,17.49433,0.0564951,3.229337E-03,-4559512,
110,2,39,01:36:26,158.4893,1,0,65.00,64.95,63.00,17.49512,6.748953E-02,3.857621E-03,-5739802,
111,2,40,01:36:32,125.8925,1,0,65.00,64.95,63.00,17.49677,8.168475E-02,4.668562E-03,-7225253,
112,2,41,01:36:38,100,1,0,65.00,64.95,63.00,17.49994,9.881862E-02,5.646796E-03,-9094310,
113,2,42,01:36:44,79.43282,1,0,65.00,64.95,63.00,17.50223,0.1228427,7.01869E-03,-1.144737E+07,
114,2,43,01:36:50,63.09574,1,0,65.00,64.95,63.00,17.50178,0.1538242,8.789063E-03,-1.441135E+07,
115,2,44,01:36:56,50.11872,1,0,65.00,64.95,63.00,17.50495,0.1925128,1.099762E-02,-1.813873E+07,
116,2,45,01:37:02,39.81071,1,0,65.00,64.95,63.00,17.50748,0.2411927,1.377655E-02,-2.283043E+07,
117,2,46,01:37:08,31.62278,1,0,65.00,64.95,63.00,17.50807,0.30394,0.01736,-2.873764E+07,
118,2,47,01:37:13,25.11886,1,0,65.00,64.95,63.00,17.51074,0.3816048,2.179261E-02,-3.616675E+07,
119,2,48,01:37:19,19.95262,1,0,65.00,64.95,63.00,17.51269,0.4796112,2.738649E-02,-4.551366E+07,
120,2,49,01:37:25,15.84893,1,0,65.00,64.95,63.00,17.5148,0.602421,3.439497E-02,-5.726662E+07,
121,2,50,01:37:31,12.58925,1,0,65.00,64.95,63.00,17.51755,0.7579292,4.326685E-02,-7.203354E+07,
122,2,51,01:37:37,10,1,0,65.00,64.95,63.00,17.51826,0.9550111,5.451518E-02,-9.058171E+07,
123,2,52,01:37:43,7.943283,1,0,65.00,64.95,63.00,17.52087,1.19846,6.840182E-02,-1.138249E+08,
124,2,53,01:37:51,6.309574,1,0,65.00,64.95,63.00,17.52392,1.507621,8.603216E-02,-1.428849E+08,
125,2,54,01:37:57,5.011872,1,0,65.00,64.95,63.00,17.53019,1.893618,0.1080204,-1.790587E+08,
126,2,55,01:38:03,3.981072,1,0,65.00,64.95,63.00,17.53338,2.384098,0.1359748,-2.238711E+08,
127,2,56,01:38:10,3.162277,1,0,65.00,64.95,63.00,17.54913,3.002803,0.1711084,-2.786327E+08,
128,2,57,01:38:16,2.511887,1,0,65.00,64.95,63.00,17.55437,3.781126,0.2153952,-3.449366E+08,
129,2,58,01:38:22,1.995262,1,0,65.00,64.95,63.00,17.56168,4.75322,0.2706586,-4.232052E+08,
130,2,59,01:38:30,1.584893,1,0,65.00,64.95,63.00,17.57438,5.979733,0.3402529,-5.121119E+08,
131,2,60,01:38:37,1.258925,1,0,65.00,64.95,63.00,17.59097,7.522253,0.42762,-6.075717E+08,
132,2,61,01:38:43,1,1,0,65.00,64.95,63.00,17.60084,9.458648,0.5373976,-7.016212E+08,
133,2,62,01:38:50,0.7943283,1,0,65.00,64.95,63.00,17.62229,11.8988,0.6752132,-7.809487E+08,
134,2,63,01:38:58,0.6309573,1,0,65.00,64.95,63.00,17.64589,14.95826,0.8476908,-8.317772E+08,
135,2,64,01:39:06,0.5011872,1,0,65.00,64.95,63.00,17.67419,18.80767,1.064132,-8.425908E+08,
136,2,65,01:39:15,0.3981072,1,0,65.00,64.95,63.00,17.70833,23.64844,1.335442,-8.110849E+08,
137,2,66,01:39:25,0.3162278,1,0,65.00,64.95,63.00,17.74892,29.73351,1.675229,-7.449628E+08,
138,2,67,01:39:38,0.2511886,1,0,65.00,64.95,63.00,17.78428,37.40318,2.10316,-6.569341E+08,
