Exported SMaRT Impedance Data
Experiment start time : 5/28/2017 1:26:16 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:11,1000000,1,0,-,-,-,2.579874E-03,3.712259E-05,0.0143893,2.065222E-09,
2,1,2,00:00:20,681292.1,1,0,-,-,-,2.510769E-03,8.539102E-05,0.0340099,3.236489E-09,
3,1,3,00:00:27,464158.9,1,0,-,-,-,2.497335E-03,1.0325E-04,4.134409E-02,2.666155E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,2.501587E-03,1.093621E-04,4.371709E-02,1.923957E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,2.510225E-03,1.167688E-04,4.651726E-02,1.399551E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,2.530378E-03,1.497411E-04,5.917737E-02,1.222746E-09,
7,1,7,00:00:51,100000,1,0,-,-,-,2.538773E-03,1.218926E-04,4.801241E-02,6.781189E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,2.588012E-03,1.232552E-04,4.762542E-02,4.671614E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,2.64433E-03,1.014652E-04,3.837086E-02,2.620067E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,2.668703E-03,5.391337E-05,2.020209E-02,9.48473E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,2.659264E-03,1.630874E-05,6.132801E-03,1.954709E-11,
12,1,12,00:01:23,14677.99,1,0,-,-,-,2.641354E-03,4.978543E-06,1.884845E-03,4.065345E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,2.684302E-03,-1.152153E-05,-4.29219E-03,-6.409716E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,2.682573E-03,3.510324E-06,1.308566E-03,1.330482E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,2.691172E-03,1.172099E-05,4.35535E-03,3.026632E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,2.697531E-03,1.454556E-05,5.392176E-03,2.558934E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,2.705114E-03,1.389525E-05,5.136659E-03,1.665437E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,2.70798E-03,1.391471E-05,5.13841E-03,1.136238E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,2.760282E-03,5.713043E-06,2.069732E-03,3.178308E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,2.759903E-03,2.695249E-06,9.765737E-04,1.021553E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,2.765246E-03,4.877516E-06,1.763863E-03,1.259488E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,2.765481E-03,6.998929E-06,2.530818E-03,1.231289E-13,
23,1,23,00:02:29,215.4435,1,0,-,-,-,2.765339E-03,2.710186E-06,9.800558E-04,3.248337E-14,
24,1,24,00:02:35,146.7799,1,0,-,-,-,2.12857E-03,1.015191E-05,4.769357E-03,8.289781E-14,
25,1,25,00:02:41,100,1,0,-,-,-,2.160195E-03,3.219155E-05,1.490215E-02,1.790896E-13,
26,1,26,00:02:47,68.1292,1,0,-,-,-,2.230974E-03,-6.355545E-05,-2.848776E-02,-2.408877E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,2.021229E-03,-1.222065E-04,-6.046146E-02,-3.155655E-13,
28,1,28,00:02:59,31.62278,1,0,-,-,-,2.175919E-03,-1.009414E-04,-4.639026E-02,-1.775816E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,2.408708E-03,5.467726E-04,0.2269983,6.55343E-13,
30,1,30,00:03:13,14.67799,1,0,-,-,-,2.552218E-03,7.903347E-05,3.096658E-02,6.453661E-14,
31,1,31,00:03:21,10,1,0,-,-,-,1.95672E-03,5.996597E-05,3.064617E-02,3.336057E-14,
