Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 6:13:50 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:09,1000000,1,0,-,-,-,0.8691318,0.1844455,0.2122182,1.026116E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,0.6182963,6.605323E-02,0.106831,2.503548E-06,
3,1,3,00:00:23,464158.9,1,0,-,-,-,0.5476522,4.741785E-02,8.658386E-02,1.224439E-06,
4,1,4,00:00:31,316227.8,1,0,-,-,-,0.5248659,4.299412E-02,8.191448E-02,7.563758E-07,
5,1,5,00:00:38,215443.5,1,0,-,-,-,0.5451172,5.177017E-02,9.497072E-02,6.204996E-07,
6,1,6,00:00:43,146779.9,1,0,-,-,-,0.5353994,4.896946E-02,9.146342E-02,3.998715E-07,
7,1,7,00:00:49,100000,1,0,-,-,-,0.5376512,5.003557E-02,9.306324E-02,2.783603E-07,
8,1,8,00:00:55,68129.2,1,0,-,-,-,0.5458669,5.195023E-02,9.517014E-02,1.969016E-07,
9,1,9,00:01:03,46415.89,1,0,-,-,-,0.5571507,5.388803E-02,9.672074E-02,1.391514E-07,
10,1,10,00:01:10,31622.78,1,0,-,-,-,0.5762495,5.827252E-02,0.1011238,1.025162E-07,
11,1,11,00:01:16,21544.35,1,0,-,-,-,0.5866084,5.910691E-02,0.1007604,7.084353E-08,
12,1,12,00:01:21,14677.99,1,0,-,-,-,0.6001508,6.062227E-02,0.1010117,4.950252E-08,
13,1,13,00:01:27,10000,1,0,-,-,-,0.6155946,6.155512E-02,9.999296E-02,3.424465E-08,
14,1,14,00:01:33,6812.921,1,0,-,-,-,0.6320406,6.153236E-02,9.735507E-02,2.332198E-08,
15,1,15,00:01:39,4641.589,1,0,-,-,-,0.6484658,5.983588E-02,9.227299E-02,1.545101E-08,
16,1,16,00:01:45,3162.278,1,0,-,-,-,0.6643644,5.684009E-02,0.0855556,9.999615E-09,
17,1,17,00:01:51,2154.435,1,0,-,-,-,0.6793326,5.253051E-02,7.732664E-02,6.296128E-09,
18,1,18,00:01:57,1467.799,1,0,-,-,-,0.6924205,4.710384E-02,6.802779E-02,3.846373E-09,
19,1,19,00:02:03,1000,1,0,-,-,-,0.7037107,4.108248E-02,5.837978E-02,2.285521E-09,
20,1,20,00:02:09,681.2921,1,0,-,-,-,0.7128878,3.477307E-02,4.877776E-02,1.317968E-09,
21,1,21,00:02:15,464.1589,1,0,-,-,-,0.7203814,2.874085E-02,3.989672E-02,7.421554E-10,
22,1,22,00:02:21,316.2278,1,0,-,-,-,0.7259801,2.323663E-02,3.200725E-02,4.087914E-10,
23,1,23,00:02:28,215.4435,1,0,-,-,-,0.730249,1.828321E-02,2.503696E-02,2.191363E-10,
24,1,24,00:02:34,146.7799,1,0,-,-,-,0.7330036,1.416392E-02,1.932312E-02,1.156587E-10,
25,1,25,00:02:40,100,1,0,-,-,-,0.7354196,1.075095E-02,0.0146188,5.981024E-11,
26,1,26,00:02:46,68.1292,1,0,-,-,-,0.7362477,8.031049E-03,1.090808E-02,3.043926E-11,
27,1,27,00:02:52,46.41589,1,0,-,-,-,0.7371503,5.859663E-03,7.949075E-03,1.513101E-11,
28,1,28,00:02:58,31.62278,1,0,-,-,-,0.739195,4.009808E-03,5.424561E-03,7.054271E-12,
29,1,29,00:03:04,21.54435,1,0,-,-,-,0.7395765,3.930554E-03,5.314601E-03,4.711028E-12,
30,1,30,00:03:10,14.67799,1,0,-,-,-,0.7394016,2.582666E-03,3.492914E-03,2.108936E-12,
31,1,31,00:03:16,10,1,0,-,-,-,0.7357917,3.897188E-04,5.296592E-04,2.168103E-13,
