Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 11:47:16 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:12,1000000,1,0,-,-,-,4.10386E-03,-3.027112E-05,-7.376255E-03,-1.684058E-09,
2,1,2,00:00:20,681292.1,1,0,-,-,-,4.090466E-03,3.607121E-05,8.818364E-03,1.36717E-09,
3,1,3,00:00:28,464158.9,1,0,-,-,-,4.103588E-03,6.535629E-05,1.592662E-02,1.687651E-09,
4,1,4,00:00:33,316227.8,1,0,-,-,-,4.119028E-03,7.703561E-05,1.870237E-02,1.355252E-09,
5,1,5,00:00:39,215443.5,1,0,-,-,-,4.131226E-03,8.735485E-05,2.114502E-02,1.047005E-09,
6,1,6,00:00:45,146779.9,1,0,-,-,-,4.151654E-03,1.178393E-04,2.838369E-02,9.62244E-10,
7,1,7,00:00:51,100000,1,0,-,-,-,4.159204E-03,1.016666E-04,2.444376E-02,5.655967E-10,
8,1,8,00:00:57,68129.2,1,0,-,-,-,4.202294E-03,1.051765E-04,2.502835E-02,3.986396E-10,
9,1,9,00:01:05,46415.89,1,0,-,-,-,4.25136E-03,8.563624E-05,2.014326E-02,2.211326E-10,
10,1,10,00:01:11,31622.78,1,0,-,-,-,4.272821E-03,4.469933E-05,1.046131E-02,7.863747E-11,
11,1,11,00:01:17,21544.35,1,0,-,-,-,4.26282E-03,1.321875E-05,3.100939E-03,1.584354E-11,
12,1,12,00:01:23,14677.99,1,0,-,-,-,4.247529E-03,1.339121E-06,3.152706E-04,1.09349E-12,
13,1,13,00:01:29,10000,1,0,-,-,-,4.280445E-03,-8.549033E-06,-1.99723E-03,-4.75604E-12,
14,1,14,00:01:35,6812.921,1,0,-,-,-,4.280552E-03,4.951856E-06,1.156827E-03,1.876851E-12,
15,1,15,00:01:40,4641.589,1,0,-,-,-,4.288507E-03,1.319236E-05,3.076212E-03,3.406573E-12,
16,1,16,00:01:46,3162.278,1,0,-,-,-,4.294441E-03,1.629252E-05,3.793862E-03,2.866268E-12,
17,1,17,00:01:52,2154.435,1,0,-,-,-,4.304055E-03,1.743514E-05,4.050865E-03,2.089717E-12,
18,1,18,00:01:58,1467.799,1,0,-,-,-,4.305285E-03,1.541379E-05,3.580201E-03,1.258649E-12,
19,1,19,00:02:04,1000,1,0,-,-,-,4.351569E-03,5.092124E-06,1.170181E-03,2.832876E-13,
20,1,20,00:02:10,681.2921,1,0,-,-,-,4.354992E-03,1.205616E-05,2.768355E-03,4.569525E-13,
21,1,21,00:02:16,464.1589,1,0,-,-,-,4.360438E-03,1.18815E-05,2.724842E-03,3.068079E-13,
22,1,22,00:02:22,316.2278,1,0,-,-,-,4.370408E-03,9.622433E-06,2.201724E-03,1.692831E-13,
23,1,23,00:02:29,215.4435,1,0,-,-,-,4.357603E-03,9.539397E-06,2.189139E-03,1.14336E-13,
24,1,24,00:02:36,146.7799,1,0,-,-,-,3.814674E-03,1.464837E-05,3.840007E-03,1.196147E-13,
25,1,25,00:02:41,100,1,0,-,-,-,3.81414E-03,4.070508E-05,1.067215E-02,2.264525E-13,
26,1,26,00:02:47,68.1292,1,0,-,-,-,3.912728E-03,3.809998E-05,9.737445E-03,1.444064E-13,
27,1,27,00:02:53,46.41589,1,0,-,-,-,3.796474E-03,-6.476444E-05,-0.0170591,-1.672368E-13,
28,1,28,00:02:59,31.62278,1,0,-,-,-,3.520474E-03,4.309126E-04,0.1224019,7.580849E-13,
29,1,29,00:03:05,21.54435,1,0,-,-,-,4.02307E-03,-2.507142E-04,-6.231911E-02,-3.004974E-13,
30,1,30,00:03:13,14.67799,1,0,-,-,-,3.709985E-03,3.728494E-05,1.004989E-02,3.044588E-14,
31,1,31,00:03:21,10,1,0,-,-,-,3.711067E-03,6.778566E-05,1.826581E-02,3.771086E-14,
