Exported SMaRT Impedance Data
Experiment start time : 5/27/2017 12:00:15 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,AC Conductivity Real (S/m)
1,1,1,00:00:10,1000000,1,0,-,-,-,1.31006,0.2329988,0.1778536,1.29623E-05,
2,1,2,00:00:16,681292.1,1,0,-,-,-,0.9443341,8.707205E-02,0.0922047,3.300203E-06,
3,1,3,00:00:24,464158.9,1,0,-,-,-,0.8404201,6.003504E-02,7.143456E-02,1.550244E-06,
4,1,4,00:00:30,316227.8,1,0,-,-,-,0.8051808,5.236551E-02,6.503571E-02,9.212423E-07,
5,1,5,00:00:38,215443.5,1,0,-,-,-,0.7953717,5.092682E-02,6.402896E-02,6.103915E-07,
6,1,6,00:00:44,146779.9,1,0,-,-,-,0.8141397,5.605768E-02,6.885511E-02,4.57752E-07,
7,1,7,00:00:50,100000,1,0,-,-,-,0.813244,0.0563395,6.927749E-02,3.134307E-07,
8,1,8,00:00:56,68129.2,1,0,-,-,-,0.8202657,5.907587E-02,7.202041E-02,2.239092E-07,
9,1,9,00:01:04,46415.89,1,0,-,-,-,0.8315527,6.275452E-02,7.546668E-02,1.620467E-07,
10,1,10,00:01:10,31622.78,1,0,-,-,-,0.845304,6.699981E-02,7.926121E-02,1.178697E-07,
11,1,11,00:01:19,21544.35,1,0,-,-,-,0.8608391,7.184815E-02,8.346292E-02,8.611473E-08,
12,1,12,00:01:25,14677.99,1,0,-,-,-,0.8794932,7.739206E-02,8.799619E-02,6.319628E-08,
13,1,13,00:01:31,10000,1,0,-,-,-,0.8981484,8.315314E-02,9.258285E-02,4.626017E-08,
14,1,14,00:01:37,6812.921,1,0,-,-,-,0.9192511,8.923481E-02,9.707338E-02,3.382176E-08,
15,1,15,00:01:42,4641.589,1,0,-,-,-,0.9427091,9.425184E-02,9.997977E-02,2.433801E-08,
16,1,16,00:01:48,3162.278,1,0,-,-,-,0.9679872,9.830214E-02,0.1015531,1.729384E-08,
17,1,17,00:01:54,2154.435,1,0,-,-,-,0.9945791,0.100734,0.1012831,1.207363E-08,
18,1,18,00:02:00,1467.799,1,0,-,-,-,1.022225,0.1013865,9.918219E-02,8.278953E-09,
19,1,19,00:02:06,1000,1,0,-,-,-,1.049682,0.0995259,9.481531E-02,5.536873E-09,
20,1,20,00:02:13,681.2921,1,0,-,-,-,1.076423,9.529373E-02,8.852816E-02,3.611821E-09,
21,1,21,00:02:18,464.1589,1,0,-,-,-,1.101458,8.885679E-02,8.067195E-02,2.294488E-09,
22,1,22,00:02:24,316.2278,1,0,-,-,-,1.12437,8.003443E-02,7.118156E-02,1.408009E-09,
23,1,23,00:02:32,215.4435,1,0,-,-,-,1.143824,7.077707E-02,6.187761E-02,8.483098E-10,
24,1,24,00:02:38,146.7799,1,0,-,-,-,1.160611,6.059461E-02,5.220924E-02,4.947993E-10,
25,1,25,00:02:44,100,1,0,-,-,-,1.173235,5.060975E-02,4.313691E-02,2.815546E-10,
26,1,26,00:02:50,68.1292,1,0,-,-,-,1.184343,4.020144E-02,3.394407E-02,1.523714E-10,
27,1,27,00:02:56,46.41589,1,0,-,-,-,1.191213,3.262094E-02,2.738465E-02,8.423483E-11,
28,1,28,00:03:01,31.62278,1,0,-,-,-,1.195664,2.465826E-02,2.062307E-02,4.338015E-11,
29,1,29,00:03:07,21.54435,1,0,-,-,-,1.199607,1.937801E-02,1.615363E-02,2.322582E-11,
30,1,30,00:03:14,14.67799,1,0,-,-,-,1.203186,0.0153738,1.277758E-02,1.255383E-11,
31,1,31,00:03:19,10,1,0,-,-,-,1.204865,9.683179E-03,8.036732E-03,5.386994E-12,
