PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.0000e+07	 1.3000e+02	 2.5684e+00	 1.2752e-01
 7.1969e+06	 1.3000e+02	 2.5952e+00	 2.4382e-01
 5.1795e+06	 1.3000e+02	 2.6237e+00	 2.7664e-01
 3.7276e+06	 1.3000e+02	 2.6754e+00	 3.0364e-01
 2.6827e+06	 1.3000e+02	 2.7337e+00	 3.4370e-01
 1.9307e+06	 1.3000e+02	 2.8098e+00	 3.8251e-01
 1.3895e+06	 1.3000e+02	 2.9018e+00	 4.1292e-01
 1.0000e+06	 1.3000e+02	 2.9988e+00	 4.4035e-01
 7.1969e+05	 1.3000e+02	 3.1087e+00	 4.6710e-01
 5.1795e+05	 1.3000e+02	 3.2250e+00	 4.7040e-01
 3.7276e+05	 1.3000e+02	 3.3427e+00	 4.5950e-01
 2.6827e+05	 1.3000e+02	 3.4559e+00	 4.3320e-01
 1.9307e+05	 1.3000e+02	 3.5584e+00	 3.9338e-01
 1.3895e+05	 1.3000e+02	 3.6457e+00	 3.4392e-01
 1.0000e+05	 1.3000e+02	 3.7148e+00	 2.9046e-01
 7.1969e+04	 1.3000e+02	 3.7669e+00	 2.3785e-01
 5.1795e+04	 1.3000e+02	 3.8036e+00	 1.9078e-01
 3.7276e+04	 1.3000e+02	 3.8293e+00	 1.5109e-01
 2.6827e+04	 1.3000e+02	 3.8462e+00	 1.1941e-01
 1.9307e+04	 1.3000e+02	 3.8574e+00	 9.5431e-02
 1.3895e+04	 1.3000e+02	 3.8650e+00	 7.8432e-02
 1.0000e+04	 1.3000e+02	 3.8700e+00	 6.7557e-02
 7.1969e+03	 1.3000e+02	 3.8738e+00	 6.2431e-02
 5.1795e+03	 1.3000e+02	 3.8762e+00	 6.2960e-02
 3.7276e+03	 1.3000e+02	 3.8784e+00	 6.9555e-02
 2.6827e+03	 1.3000e+02	 3.8798e+00	 8.3034e-02
 1.9307e+03	 1.3000e+02	 3.8809e+00	 1.0507e-01
 1.3895e+03	 1.3000e+02	 3.8819e+00	 1.3804e-01
 1.0000e+03	 1.3000e+02	 3.8831e+00	 1.8567e-01
 7.1969e+02	 1.3000e+02	 3.8848e+00	 2.5296e-01
 5.1795e+02	 1.3000e+02	 3.8870e+00	 3.4721e-01
 3.7276e+02	 1.3000e+02	 3.8902e+00	 4.7880e-01
 2.6827e+02	 1.3000e+02	 3.8953e+00	 6.6183e-01
 1.9307e+02	 1.3000e+02	 3.9040e+00	 9.1489e-01
 1.3895e+02	 1.3000e+02	 3.9185e+00	 1.2650e+00
 1.0000e+02	 1.3000e+02	 3.9427e+00	 1.7468e+00
 7.1969e+01	 1.3000e+02	 3.9810e+00	 2.4075e+00
 5.1795e+01	 1.3000e+02	 4.0354e+00	 3.3071e+00
 3.7276e+01	 1.3000e+02	 4.1155e+00	 4.5375e+00
