pmma-05212015, 21.5.2015, 16:46
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.0000e+07	 1.7000e+02	 2.5613e+00	 2.7282e-01
 7.1969e+06	 1.7000e+02	 2.6225e+00	 3.5546e-01
 5.1795e+06	 1.7000e+02	 2.6887e+00	 3.5676e-01
 3.7276e+06	 1.7000e+02	 2.7704e+00	 3.4031e-01
 2.6827e+06	 1.7000e+02	 2.8446e+00	 3.2369e-01
 1.9307e+06	 1.7000e+02	 2.9173e+00	 2.9679e-01
 1.3895e+06	 1.7000e+02	 2.9821e+00	 2.5940e-01
 1.0000e+06	 1.7000e+02	 3.0294e+00	 2.1981e-01
 7.1969e+05	 1.7000e+02	 3.0657e+00	 1.9064e-01
 5.1795e+05	 1.7000e+02	 3.0932e+00	 1.5503e-01
 3.7276e+05	 1.7000e+02	 3.1121e+00	 1.2557e-01
 2.6827e+05	 1.7000e+02	 3.1242e+00	 1.0255e-01
 1.9307e+05	 1.7000e+02	 3.1320e+00	 8.6172e-02
 1.3895e+05	 1.7000e+02	 3.1371e+00	 7.6216e-02
 1.0000e+05	 1.7000e+02	 3.1407e+00	 7.2329e-02
 7.1969e+04	 1.7000e+02	 3.1438e+00	 7.4635e-02
 5.1795e+04	 1.7000e+02	 3.1458e+00	 8.3621e-02
 3.7276e+04	 1.7000e+02	 3.1476e+00	 1.0044e-01
 2.6827e+04	 1.7000e+02	 3.1494e+00	 1.2681e-01
 1.9307e+04	 1.7000e+02	 3.1511e+00	 1.6568e-01
 1.3895e+04	 1.7000e+02	 3.1528e+00	 2.2133e-01
 1.0000e+04	 1.7000e+02	 3.1546e+00	 2.9964e-01
 7.1969e+03	 1.7000e+02	 3.1584e+00	 4.0889e-01
 5.1795e+03	 1.7000e+02	 3.1629e+00	 5.6060e-01
 3.7276e+03	 1.7000e+02	 3.1681e+00	 7.7147e-01
 2.6827e+03	 1.7000e+02	 3.1742e+00	 1.0650e+00
 1.9307e+03	 1.7000e+02	 3.1817e+00	 1.4726e+00
 1.3895e+03	 1.7000e+02	 3.1908e+00	 2.0378e+00
 1.0000e+03	 1.7000e+02	 3.2037e+00	 2.8218e+00
 7.1969e+02	 1.7000e+02	 3.2191e+00	 3.9092e+00
 5.1795e+02	 1.7000e+02	 3.2434e+00	 5.4193e+00
 3.7276e+02	 1.7000e+02	 3.2806e+00	 7.5198e+00
 2.6827e+02	 1.7000e+02	 3.3395e+00	 1.0439e+01
 1.9307e+02	 1.7000e+02	 3.4325e+00	 1.4475e+01
 1.3895e+02	 1.7000e+02	 3.5938e+00	 2.0081e+01
 1.0000e+02	 1.7000e+02	 3.8684e+00	 2.7806e+01
 7.1969e+01	 1.7000e+02	 4.3573e+00	 3.8507e+01
 5.1795e+01	 1.7000e+02	 5.1893e+00	 5.3233e+01
 3.7276e+01	 1.7000e+02	 6.5877e+00	 7.3472e+01
 2.6827e+01	 1.7000e+02	 8.8678e+00	 1.0114e+02
 1.9307e+01	 1.7000e+02	 1.2467e+01	 1.3873e+02
 1.3895e+01	 1.7000e+02	 1.7948e+01	 1.8965e+02
 1.0000e+01	 1.7000e+02	 2.5987e+01	 2.5847e+02
 7.1969e+00	 1.7000e+02	 3.7024e+01	 3.5090e+02
 5.1795e+00	 1.7000e+02	 5.1553e+01	 4.7504e+02
 3.7276e+00	 1.7000e+02	 6.9602e+01	 6.4233e+02
 2.6827e+00	 1.7000e+02	 9.0991e+01	 8.6973e+02
 1.9307e+00	 1.7000e+02	 1.1490e+02	 1.1796e+03
 1.3895e+00	 1.7000e+02	 1.4147e+02	 1.6037e+03
 1.0000e+00	 1.7000e+02	 1.7029e+02	 2.1892e+03
 7.1969e-01	 1.7000e+02	 2.0223e+02	 2.9955e+03
 5.1795e-01	 1.7000e+02	 2.3698e+02	 4.1075e+03
 3.7276e-01	 1.7000e+02	 2.7964e+02	 5.6345e+03
 2.6827e-01	 1.7000e+02	 3.3313e+02	 7.7099e+03
 1.9307e-01	 1.7000e+02	 3.9437e+02	 1.0421e+04
 1.3895e-01	 1.7000e+02	 4.8070e+02	 1.4334e+04
 1.0000e-01	 1.7000e+02	 6.0518e+02	 1.9392e+04
 7.1969e-02	 1.7000e+02	 7.9329e+02	 2.6265e+04
 5.1795e-02	 1.7000e+02	 1.0274e+03	 3.4869e+04
 3.7276e-02	 1.7000e+02	 1.4162e+03	 4.6812e+04
 2.6827e-02	 1.7000e+02	 1.7953e+03	 5.9226e+04
 1.0000e+07	 1.6500e+02	 2.3888e+00	 2.4062e-01
 7.1969e+06	 1.6500e+02	 2.4495e+00	 3.2530e-01
 5.1795e+06	 1.6500e+02	 2.5101e+00	 3.4129e-01
 3.7276e+06	 1.6500e+02	 2.5894e+00	 3.4388e-01
 2.6827e+06	 1.6500e+02	 2.6680e+00	 3.4407e-01
 1.9307e+06	 1.6500e+02	 2.7498e+00	 3.3298e-01
 1.3895e+06	 1.6500e+02	 2.8298e+00	 3.0820e-01
 1.0000e+06	 1.6500e+02	 2.8959e+00	 2.7839e-01
 7.1969e+05	 1.6500e+02	 2.9529e+00	 2.5171e-01
 5.1795e+05	 1.6500e+02	 2.9994e+00	 2.1398e-01
 3.7276e+05	 1.6500e+02	 3.0351e+00	 1.7872e-01
 2.6827e+05	 1.6500e+02	 3.0613e+00	 1.4774e-01
 1.9307e+05	 1.6500e+02	 3.0803e+00	 1.2236e-01
 1.3895e+05	 1.6500e+02	 3.0940e+00	 1.0297e-01
 1.0000e+05	 1.6500e+02	 3.1036e+00	 8.9554e-02
 7.1969e+04	 1.6500e+02	 3.1109e+00	 8.1947e-02
 5.1795e+04	 1.6500e+02	 3.1163e+00	 8.0254e-02
 3.7276e+04	 1.6500e+02	 3.1205e+00	 8.4920e-02
 2.6827e+04	 1.6500e+02	 3.1240e+00	 9.6768e-02
