Exported SMaRT Impedance Data
Experiment start time : 5/11/2016 11:09:46 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:10,10000000,1,0,-,-,-,154.7824,-89.13782,-0.5758913,178.6145,
2,1,2,00:00:17,7196857,1,0,-,-,-,3.395581,7.003514,2.062537,7.783263,
3,1,3,00:00:27,5179475,1,0,-,-,-,11.39097,4.110958,0.3608962,12.11009,
4,1,4,00:00:33,3727594,1,0,-,-,-,7.497965,0.5079814,6.774923E-02,7.515153,
5,1,5,00:00:39,2682696,1,0,-,-,-,6.140298,0.1367175,0.0222656,6.14182,
6,1,6,00:00:45,1930698,1,0,-,-,-,5.5939,6.096131E-02,1.089782E-02,5.594232,
7,1,7,00:00:51,1389496,1,0,-,-,-,5.378296,-2.102635E-02,-3.909483E-03,5.378337,
8,1,8,00:00:57,1000000,1,0,-,-,-,5.249318,-1.907576E-02,-3.633949E-03,5.249352,
9,1,9,00:01:03,719685.7,1,0,-,-,-,5.182726,-1.535754E-02,-2.963217E-03,5.182749,
10,1,10,00:01:10,517947.4,1,0,-,-,-,5.150059,-1.054817E-02,-2.048166E-03,5.15007,
11,1,11,00:01:16,372759.4,1,0,-,-,-,5.133687,-8.954341E-03,-1.744232E-03,5.133695,
12,1,12,00:01:22,268269.6,1,0,-,-,-,5.138585,6.068406E-03,1.180949E-03,5.138588,
13,1,13,00:01:28,193069.8,1,0,-,-,-,5.124868,4.777317E-03,9.321833E-04,5.124871,
14,1,14,00:01:34,138949.5,1,0,-,-,-,5.120153,2.948461E-03,5.75854E-04,5.120154,
15,1,15,00:01:40,100000,1,0,-,-,-,5.117444,2.733309E-03,5.34116E-04,5.117445,
16,2,1,00:01:48,100000,1,0,-,-,-,5.117278,2.640057E-03,5.159104E-04,5.117278,
17,2,2,00:01:57,71968.57,1,0,-,-,-,5.116703,1.286687E-03,2.51468E-04,5.116703,
18,2,3,00:02:05,51794.75,1,0,-,-,-,5.116188,-1.510669E-03,-2.952723E-04,5.116188,
19,2,4,00:02:11,37275.94,1,0,-,-,-,5.113211,-4.792242E-03,-9.372276E-04,5.113213,
20,2,5,00:02:17,26826.96,1,0,-,-,-,5.115199,5.10804E-03,9.986004E-04,5.115201,
21,2,6,00:02:23,19306.98,1,0,-,-,-,5.114296,5.557263E-03,1.086613E-03,5.114299,
22,2,7,00:02:29,13894.96,1,0,-,-,-,5.115346,6.049033E-03,1.182527E-03,5.11535,
23,2,8,00:02:35,10000,1,0,-,-,-,5.116401,6.981523E-03,1.364538E-03,5.116405,
24,2,9,00:02:41,7196.857,1,0,-,-,-,5.117697,7.777899E-03,1.519804E-03,5.117703,
25,2,10,00:02:46,5179.475,1,0,-,-,-,5.119697,8.629789E-03,1.685606E-03,5.119704,
26,2,11,00:02:52,3727.594,1,0,-,-,-,5.120856,9.625016E-03,1.879572E-03,5.120865,
27,2,12,00:02:58,2682.696,1,0,-,-,-,5.12475,1.013751E-02,1.978148E-03,5.12476,
28,2,13,00:03:04,1930.698,1,0,-,-,-,5.127228,1.060893E-02,2.069135E-03,5.127239,
29,2,14,00:03:10,1389.495,1,0,-,-,-,5.129613,1.198937E-02,2.337286E-03,5.129627,
30,2,15,00:03:16,1000,1,0,-,-,-,5.132224,1.165273E-02,2.270504E-03,5.132237,
31,2,16,00:03:22,719.6857,1,0,-,-,-,5.134719,1.147797E-02,2.235365E-03,5.134732,
32,2,17,00:03:28,517.9474,1,0,-,-,-,5.137513,1.126342E-02,2.192388E-03,5.137526,
33,2,18,00:03:34,372.7594,1,0,-,-,-,5.139762,1.068917E-02,2.079702E-03,5.139773,
34,2,19,00:03:42,268.2696,1,0,-,-,-,5.141406,9.406508E-03,1.829559E-03,5.141415,
35,2,20,00:03:47,193.0698,1,0,-,-,-,5.144358,9.01296E-03,1.752009E-03,5.144366,
36,2,21,00:03:53,138.9496,1,0,-,-,-,5.146807,8.150113E-03,1.583528E-03,5.146814,
37,2,22,00:03:59,100,1,0,-,-,-,5.147817,6.345294E-03,1.232618E-03,5.147821,
38,2,23,00:04:05,71.96857,1,0,-,-,-,5.148824,4.976064E-03,9.664466E-04,5.148827,
39,2,24,00:04:11,51.79475,1,0,-,-,-,5.149656,3.976622E-03,7.722112E-04,5.149658,
40,2,25,00:04:16,37.27594,1,0,-,-,-,5.149613,2.167322E-03,4.208708E-04,5.149613,
41,2,26,00:04:23,26.82696,1,0,-,-,-,5.149434,1.478516E-03,2.871221E-04,5.149434,
42,2,27,00:04:29,19.30698,1,0,-,-,-,5.149029,6.811485E-04,1.322868E-04,5.149029,
43,2,28,00:04:35,13.89495,1,0,-,-,-,5.149046,-8.487243E-04,-1.648314E-04,5.149046,
44,2,29,00:04:41,10,1,0,-,-,-,5.148932,-1.183922E-03,-2.299354E-04,5.148932,
45,2,30,00:04:47,7.196856,1,0,-,-,-,5.147923,-1.619897E-03,-3.146699E-04,5.147924,
46,2,31,00:04:54,5.179475,1,0,-,-,-,5.14821,-2.581771E-03,-5.01489E-04,5.14821,
47,2,32,00:05:00,3.727594,1,0,-,-,-,5.147253,-3.320585E-03,-6.45118E-04,5.147254,
48,2,33,00:05:07,2.682696,1,0,-,-,-,5.150189,-3.39808E-03,-6.597972E-04,5.15019,
49,2,34,00:05:13,1.930698,1,0,-,-,-,5.149735,-5.106176E-03,-9.915414E-04,5.149738,
50,2,35,00:05:20,1.389495,1,0,-,-,-,5.147559,-4.578822E-03,-8.895134E-04,5.147561,
51,2,36,00:05:26,1,1,0,-,-,-,5.148023,-5.293865E-03,-1.02833E-03,5.148026,
