Exported SMaRT Impedance Data
Experiment start time : 9/13/2016 12:03:05 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-1.38582,2.032558,-1.466682,2.460038,
2,1,2,00:00:20,7196857,1,0,-,-,-,-0.2107742,1.646067,-7.809622,1.659506,
3,1,3,00:00:31,5179475,1,0,-,-,-,-3.258845,5.155616,-1.582038,6.099217,
4,1,4,00:00:37,3727594,1,0,-,-,-,7.267428,15.30068,2.105377,16.9389,
5,1,5,00:00:43,2682696,1,0,-,-,-,8.536493,1.162262,0.1361522,8.615252,
6,1,6,00:00:49,1930698,1,0,-,-,-,6.215496,0.2882897,4.638241E-02,6.222178,
7,1,7,00:00:55,1389496,1,0,-,-,-,5.490103,8.662143E-02,1.577774E-02,5.490787,
8,1,8,00:01:01,1000000,1,0,-,-,-,5.162869,6.075434E-02,1.176755E-02,5.163227,
9,1,9,00:01:07,719685.7,1,0,-,-,-,5.015696,5.649186E-02,1.126302E-02,5.016014,
10,1,10,00:01:14,517947.4,1,0,-,-,-,4.948507,6.118025E-02,1.236338E-02,4.948885,
11,1,11,00:01:20,372759.4,1,0,-,-,-,4.923008,6.603539E-02,1.341362E-02,4.923451,
12,1,12,00:01:26,268269.6,1,0,-,-,-,4.957715,8.959034E-02,1.807089E-02,4.958524,
13,1,13,00:01:32,193069.8,1,0,-,-,-,4.941369,8.859889E-02,1.793003E-02,4.942163,
14,1,14,00:01:38,138949.5,1,0,-,-,-,4.943607,9.012997E-02,1.823162E-02,4.944428,
15,1,15,00:01:44,100000,1,0,-,-,-,4.9546,9.419473E-02,1.901157E-02,4.955495,
16,2,1,00:01:52,100000,1,0,-,-,-,4.954228,9.423836E-02,1.902181E-02,4.955124,
17,2,2,00:02:01,71968.57,1,0,-,-,-,4.970273,9.786363E-02,1.968979E-02,4.971236,
18,2,3,00:02:09,51794.75,1,0,-,-,-,4.988562,0.1002261,2.009118E-02,4.989568,
19,2,4,00:02:15,37275.94,1,0,-,-,-,5.00737,0.1039102,2.075146E-02,5.008449,
20,2,5,00:02:21,26826.96,1,0,-,-,-,5.03305,0.1193293,2.370915E-02,5.034464,
21,2,6,00:02:27,19306.98,1,0,-,-,-,5.054606,0.1268692,2.509972E-02,5.056199,
22,2,7,00:02:33,13894.96,1,0,-,-,-,5.080607,0.1344226,2.645798E-02,5.082385,
23,2,8,00:02:39,10000,1,0,-,-,-,5.108416,0.143069,2.800652E-02,5.110419,
24,2,9,00:02:45,7196.857,1,0,-,-,-,5.138579,0.1518374,2.954851E-02,5.140822,
25,2,10,00:02:51,5179.475,1,0,-,-,-,5.170791,0.160574,3.105405E-02,5.173283,
26,2,11,00:02:56,3727.594,1,0,-,-,-,5.204767,0.1695439,3.257472E-02,5.207528,
27,2,12,00:03:03,2682.696,1,0,-,-,-,5.242441,0.1785187,0.0340526,5.245479,
28,2,13,00:03:09,1930.698,1,0,-,-,-,5.280622,0.1881222,3.562501E-02,5.283972,
29,2,14,00:03:15,1389.495,1,0,-,-,-,5.320319,0.1991057,3.742363E-02,5.324043,
30,2,15,00:03:20,1000,1,0,-,-,-,5.361195,0.2088534,0.0389565,5.365261,
31,2,16,00:03:26,719.6857,1,0,-,-,-,5.404316,0.2206779,4.083364E-02,5.40882,
32,2,17,00:03:32,517.9474,1,0,-,-,-,5.449236,0.233335,4.281976E-02,5.45423,
33,2,18,00:03:38,372.7594,1,0,-,-,-,5.49686,0.2476654,0.0450558,5.502437,
34,2,19,00:03:46,268.2696,1,0,-,-,-,5.545975,0.2632685,4.747019E-02,5.55222,
35,2,20,00:03:52,193.0698,1,0,-,-,-,5.600264,0.2823674,5.042038E-02,5.607378,
36,2,21,00:03:57,138.9496,1,0,-,-,-,5.658103,0.304135,5.375211E-02,5.666271,
37,2,22,00:04:03,100,1,0,-,-,-,5.717239,0.3279794,5.736675E-02,5.726639,
38,2,23,00:04:09,71.96857,1,0,-,-,-,5.785152,0.3546397,0.0613017,5.796012,
39,2,24,00:04:15,51.79475,1,0,-,-,-,5.859426,0.3842485,6.557783E-02,5.872012,
40,2,25,00:04:21,37.27594,1,0,-,-,-,5.940619,0.4154321,6.993078E-02,5.955127,
41,2,26,00:04:27,26.82696,1,0,-,-,-,6.029572,0.4484083,7.436819E-02,6.046222,
42,2,27,00:04:33,19.30698,1,0,-,-,-,6.127132,0.4813507,7.856053E-02,6.14601,
43,2,28,00:04:39,13.89495,1,0,-,-,-,6.23288,0.5144749,8.254208E-02,6.254076,
44,2,29,00:04:45,10,1,0,-,-,-,6.348012,0.5462385,8.604874E-02,6.37147,
45,2,30,00:04:51,7.196856,1,0,-,-,-,6.470053,0.5723981,8.846884E-02,6.495323,
46,2,31,00:04:59,5.179475,1,0,-,-,-,6.599239,0.5963433,9.036546E-02,6.626129,
47,2,32,00:05:05,3.727594,1,0,-,-,-,6.73188,0.6149253,9.134526E-02,6.759907,
48,2,33,00:05:11,2.682696,1,0,-,-,-,6.868691,0.6270922,9.129719E-02,6.897258,
49,2,34,00:05:18,1.930698,1,0,-,-,-,6.998596,0.6352526,9.076858E-02,7.027367,
50,2,35,00:05:24,1.389495,1,0,-,-,-,7.12677,0.6444916,9.043249E-02,7.155852,
51,2,36,00:05:31,1,1,0,-,-,-,7.244164,0.6552181,9.044772E-02,7.273735,
