Exported SMaRT Impedance Data
Experiment start time : 9/14/2016 2:11:52 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-1.370141,1.829336,-1.335144,2.285554,
2,1,2,00:00:19,7196857,1,0,-,-,-,-0.6894928,1.430417,-2.074593,1.587921,
3,1,3,00:00:29,5179475,1,0,-,-,-,-3.319595,4.977849,-1.499535,5.983201,
4,1,4,00:00:35,3727594,1,0,-,-,-,6.330516,16.52232,2.609948,17.69357,
5,1,5,00:00:41,2682696,1,0,-,-,-,8.856256,0.9476195,0.107,8.906809,
6,1,6,00:00:47,1930698,1,0,-,-,-,6.305719,0.1509961,2.394589E-02,6.307527,
7,1,7,00:00:53,1389496,1,0,-,-,-,5.536036,-3.737653E-03,-6.751496E-04,5.536038,
8,1,8,00:00:59,1000000,1,0,-,-,-,5.195493,-4.576595E-03,-8.808779E-04,5.195495,
9,1,9,00:01:05,719685.7,1,0,-,-,-,5.041862,3.422915E-03,6.788991E-04,5.041862,
10,1,10,00:01:12,517947.4,1,0,-,-,-,4.971362,1.300514E-02,2.616012E-03,4.971379,
11,1,11,00:01:18,372759.4,1,0,-,-,-,4.939366,0.0185097,3.747383E-03,4.939401,
12,1,12,00:01:24,268269.6,1,0,-,-,-,4.967876,3.879344E-02,7.808857E-03,4.968028,
13,1,13,00:01:30,193069.8,1,0,-,-,-,4.943841,3.474155E-02,7.027238E-03,4.943964,
14,1,14,00:01:36,138949.5,1,0,-,-,-,4.935156,3.363073E-02,6.814522E-03,4.935271,
15,1,15,00:01:42,100000,1,0,-,-,-,4.934782,3.311179E-02,6.709879E-03,4.934893,
16,2,1,00:01:50,100000,1,0,-,-,-,4.93475,3.309705E-02,6.706937E-03,4.934861,
17,2,2,00:01:59,71968.57,1,0,-,-,-,4.938158,3.217023E-02,6.514622E-03,4.938262,
18,2,3,00:02:07,51794.75,1,0,-,-,-,4.942912,2.915158E-02,5.897653E-03,4.942998,
19,2,4,00:02:13,37275.94,1,0,-,-,-,4.945865,2.673454E-02,5.405433E-03,4.945938,
20,2,5,00:02:19,26826.96,1,0,-,-,-,4.955934,0.0357157,7.206654E-03,4.956062,
21,2,6,00:02:25,19306.98,1,0,-,-,-,4.959594,3.703345E-02,7.467033E-03,4.959732,
22,2,7,00:02:31,13894.96,1,0,-,-,-,4.966879,3.798782E-02,7.648227E-03,4.967024,
23,2,8,00:02:37,10000,1,0,-,-,-,4.97407,0.0399283,8.027289E-03,4.97423,
24,2,9,00:02:43,7196.857,1,0,-,-,-,4.982282,4.222928E-02,8.475891E-03,4.982461,
25,2,10,00:02:48,5179.475,1,0,-,-,-,4.990881,4.438323E-02,8.892864E-03,4.991079,
26,2,11,00:02:54,3727.594,1,0,-,-,-,5.000134,4.646326E-02,9.292401E-03,5.00035,
27,2,12,00:03:01,2682.696,1,0,-,-,-,5.011948,4.913021E-02,9.802618E-03,5.012189,
28,2,13,00:03:07,1930.698,1,0,-,-,-,5.022287,5.098761E-02,1.015227E-02,5.022546,
29,2,14,00:03:12,1389.495,1,0,-,-,-,5.033389,5.465993E-02,1.085947E-02,5.033685,
30,2,15,00:03:18,1000,1,0,-,-,-,5.044446,5.608394E-02,1.111796E-02,5.044758,
31,2,16,00:03:24,719.6857,1,0,-,-,-,5.056802,5.844698E-02,1.155809E-02,5.05714,
32,2,17,00:03:30,517.9474,1,0,-,-,-,5.069236,6.063581E-02,1.196153E-02,5.069599,
33,2,18,00:03:36,372.7594,1,0,-,-,-,5.082771,6.256501E-02,1.230923E-02,5.083156,
34,2,19,00:03:44,268.2696,1,0,-,-,-,5.095754,6.344586E-02,1.245073E-02,5.096149,
35,2,20,00:03:50,193.0698,1,0,-,-,-,5.110415,6.559614E-02,1.283577E-02,5.110837,
36,2,21,00:03:55,138.9496,1,0,-,-,-,5.125309,6.689074E-02,1.305107E-02,5.125745,
37,2,22,00:04:01,100,1,0,-,-,-,5.139275,6.726917E-02,1.308923E-02,5.139715,
38,2,23,00:04:07,71.96857,1,0,-,-,-,5.154386,6.740874E-02,1.307794E-02,5.154827,
39,2,24,00:04:13,51.79475,1,0,-,-,-,5.168619,0.0673138,1.302356E-02,5.169057,
40,2,25,00:04:19,37.27594,1,0,-,-,-,5.183432,6.757659E-02,1.303704E-02,5.183872,
41,2,26,00:04:25,26.82696,1,0,-,-,-,5.197379,6.604623E-02,0.0127076,5.197799,
42,2,27,00:04:31,19.30698,1,0,-,-,-,5.211268,6.517334E-02,1.250624E-02,5.211676,
43,2,28,00:04:37,13.89495,1,0,-,-,-,5.22405,6.285504E-02,1.203186E-02,5.224428,
44,2,29,00:04:43,10,1,0,-,-,-,5.237925,6.221235E-02,1.187729E-02,5.238294,
45,2,30,00:04:49,7.196856,1,0,-,-,-,5.261597,6.706563E-02,1.274625E-02,5.262024,
46,2,31,00:04:55,5.179475,1,0,-,-,-,5.258365,0.0589917,1.121864E-02,5.258696,
