Exported SMaRT Impedance Data
Experiment start time : 11/3/2016 6:51:21 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-0.5583906,1.552249,-2.779862,1.649629,
2,1,2,00:00:20,7196857,1,0,-,-,-,0.1794622,1.225609,6.829343,1.238679,
3,1,3,00:00:31,5179475,1,0,-,-,-,-1.999308,3.517296,-1.759257,4.045813,
4,1,4,00:00:37,3727594,1,0,-,-,-,2.663522,12.47021,4.681851,12.75149,
5,1,5,00:00:43,2682696,1,0,-,-,-,5.868659,0.5348557,9.113763E-02,5.892981,
6,1,6,00:00:49,1930698,1,0,-,-,-,4.100245,-3.031214E-02,-7.392765E-03,4.100357,
7,1,7,00:00:55,1389496,1,0,-,-,-,3.52317,-5.988458E-02,-1.699736E-02,3.523678,
8,1,8,00:01:01,1000000,1,0,-,-,-,3.283161,-5.155002E-02,-1.570133E-02,3.283566,
9,1,9,00:01:06,719685.7,1,0,-,-,-,3.170606,-3.894081E-02,-1.228182E-02,3.170845,
10,1,10,00:01:16,517947.4,1,0,-,-,-,3.115307,-0.0284149,-9.121061E-03,3.115436,
11,1,11,00:01:22,372759.4,1,0,-,-,-,3.14685,-7.548094E-03,-2.398619E-03,3.146859,
12,1,12,00:01:28,268269.6,1,0,-,-,-,3.104054,-1.030359E-02,-3.319398E-03,3.104071,
13,1,13,00:01:34,193069.8,1,0,-,-,-,3.082467,-8.32376E-03,-2.700357E-03,3.082478,
14,1,14,00:01:40,138949.5,1,0,-,-,-,3.071463,-5.977355E-03,-1.946094E-03,3.071469,
15,1,15,00:01:46,100000,1,0,-,-,-,3.066464,-3.354962E-03,-1.094082E-03,3.066466,
16,2,1,00:01:54,100000,1,0,-,-,-,3.066506,-3.565999E-03,-1.162887E-03,3.066508,
17,2,2,00:02:03,71968.57,1,0,-,-,-,3.064125,-1.626989E-03,-5.309799E-04,3.064125,
18,2,3,00:02:11,51794.75,1,0,-,-,-,3.074302,2.078254E-03,6.760084E-04,3.074302,
19,2,4,00:02:17,37275.94,1,0,-,-,-,3.069273,-1.991823E-04,-6.48956E-05,3.069273,
20,2,5,00:02:23,26826.96,1,0,-,-,-,3.065894,-1.16552E-03,-3.801566E-04,3.065895,
21,2,6,00:02:29,19306.98,1,0,-,-,-,3.063748,-1.080262E-03,-3.525949E-04,3.063748,
22,2,7,00:02:35,13894.96,1,0,-,-,-,3.062867,-6.295519E-04,-2.055434E-04,3.062867,
