Exported SMaRT Impedance Data
Experiment start time : 11/3/2016 1:09:07 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:09,10000000,1,0,-,-,-,-2.291758,2.523672,-1.101195,3.40897,
2,1,2,00:00:16,7196857,1,0,-,-,-,-1.615475,2.524398,-1.562635,2.997056,
3,1,3,00:00:24,5179475,1,0,-,-,-,-5.151117,7.766143,-1.507662,9.319173,
4,1,4,00:00:30,3727594,1,0,-,-,-,8.095413,28.6446,3.538374,29.76657,
5,1,5,00:00:36,2682696,1,0,-,-,-,13.75111,1.737735,0.1263705,13.86047,
6,1,6,00:00:42,1930698,1,0,-,-,-,9.66538,0.3250813,3.363358E-02,9.670846,
7,1,7,00:00:48,1389496,1,0,-,-,-,8.368752,0.1132772,1.353574E-02,8.369518,
8,1,8,00:00:54,1000000,1,0,-,-,-,7.828615,5.235765E-02,6.687983E-03,7.82879,
9,1,9,00:01:00,719685.7,1,0,-,-,-,7.575916,3.731261E-02,4.925162E-03,7.576008,
10,1,10,00:01:07,517947.4,1,0,-,-,-,7.454697,0.0326824,4.384135E-03,7.454769,
11,1,11,00:01:13,372759.4,1,0,-,-,-,7.395791,3.033808E-02,4.102074E-03,7.395853,
12,1,12,00:01:19,268269.6,1,0,-,-,-,7.368687,3.165196E-02,4.295469E-03,7.368755,
13,1,13,00:01:25,193069.8,1,0,-,-,-,7.392406,3.666916E-02,4.960383E-03,7.392497,
14,1,14,00:01:31,138949.5,1,0,-,-,-,7.374926,3.624662E-02,4.914846E-03,7.375015,
15,1,15,00:01:37,100000,1,0,-,-,-,7.371494,3.521149E-02,4.77671E-03,7.371578,
16,2,1,00:01:45,100000,1,0,-,-,-,7.372046,3.499135E-02,4.746491E-03,7.372129,
17,2,2,00:01:54,71968.57,1,0,-,-,-,7.371481,3.876374E-02,5.258609E-03,7.371583,
18,2,3,00:02:02,51794.75,1,0,-,-,-,7.376893,3.957215E-02,5.364338E-03,7.376999,
19,2,4,00:02:08,37275.94,1,0,-,-,-,7.384523,4.110415E-02,5.566256E-03,7.384637,
20,2,5,00:02:14,26826.96,1,0,-,-,-,7.392776,4.054753E-02,5.48475E-03,7.392887,
21,2,6,00:02:20,19306.98,1,0,-,-,-,7.400558,3.717891E-02,5.023798E-03,7.400651,
22,2,7,00:02:26,13894.96,1,0,-,-,-,7.406774,0.0374948,5.062231E-03,7.406869,
23,2,8,00:02:32,10000,1,0,-,-,-,7.415472,3.673628E-02,4.954005E-03,7.415563,
24,2,9,00:02:38,7196.857,1,0,-,-,-,7.422377,3.764796E-02,5.072224E-03,7.422472,
25,2,10,00:02:44,5179.475,1,0,-,-,-,7.429513,3.899349E-02,5.248458E-03,7.429616,
26,2,11,00:02:50,3727.594,1,0,-,-,-,7.437048,3.917987E-02,5.268202E-03,7.437151,
27,2,12,00:02:56,2682.696,1,0,-,-,-,7.445237,4.032408E-02,5.416091E-03,7.445346,
28,2,13,00:03:02,1930.698,1,0,-,-,-,7.453288,4.104843E-02,5.507426E-03,7.453401,
29,2,14,00:03:08,1389.495,1,0,-,-,-,7.461846,4.223567E-02,5.660217E-03,7.461966,
30,2,15,00:03:14,1000,1,0,-,-,-,7.47022,4.346182E-02,5.81801E-03,7.470346,
31,2,16,00:03:20,719.6857,1,0,-,-,-,7.478417,4.373177E-02,5.847731E-03,7.478545,
32,2,17,00:03:26,517.9474,1,0,-,-,-,7.488502,4.572649E-02,6.106226E-03,7.488641,
33,2,18,00:03:32,372.7594,1,0,-,-,-,7.497348,4.718735E-02,6.293873E-03,7.497496,
34,2,19,00:03:39,268.2696,1,0,-,-,-,7.506946,4.873019E-02,6.491348E-03,7.507104,
35,2,20,00:03:45,193.0698,1,0,-,-,-,7.518196,5.005224E-02,6.657479E-03,7.518363,
36,2,21,00:03:51,138.9496,1,0,-,-,-,7.529384,5.234239E-02,6.951748E-03,7.529566,
37,2,22,00:03:57,100,1,0,-,-,-,7.540271,5.393562E-02,7.153009E-03,7.540464,
38,2,23,00:04:03,71.96857,1,0,-,-,-,7.552076,5.490534E-02,7.270231E-03,7.552276,
39,2,24,00:04:09,51.79475,1,0,-,-,-,7.564155,5.626957E-02,7.438977E-03,7.564364,
40,2,25,00:04:15,37.27594,1,0,-,-,-,7.57657,5.803823E-02,7.660225E-03,7.576792,
41,2,26,00:04:20,26.82696,1,0,-,-,-,7.589029,0.0588385,7.753099E-03,7.589257,
42,2,27,00:04:27,19.30698,1,0,-,-,-,7.601873,5.949559E-02,7.826438E-03,7.602106,
43,2,28,00:04:33,13.89495,1,0,-,-,-,7.614494,5.968801E-02,7.838737E-03,7.614728,
44,2,29,00:04:39,10,1,0,-,-,-,7.628114,6.043603E-02,7.922801E-03,7.628354,
45,2,30,00:04:45,7.196856,1,0,-,-,-,7.638083,5.981392E-02,7.831012E-03,7.638318,
46,2,31,00:04:51,5.179475,1,0,-,-,-,7.652833,5.989759E-02,7.826853E-03,7.653068,
47,2,32,00:04:57,3.727594,1,0,-,-,-,7.667576,5.862635E-02,7.646008E-03,7.6678,
48,2,33,00:05:04,2.682696,1,0,-,-,-,7.681229,5.734756E-02,7.465936E-03,7.681443,
49,2,34,00:05:10,1.930698,1,0,-,-,-,7.689488,0.055978,7.279809E-03,7.689692,
50,2,35,00:05:17,1.389495,1,0,-,-,-,7.699835,5.532799E-02,7.185607E-03,7.700034,
