Exported SMaRT Impedance Data
Experiment start time : 8/17/2016 6:09:18 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-3.104648,-2.809397,0.9049003,4.187069,
2,1,2,00:00:18,7196857,1,0,-,-,-,-10.55865,2.950349,-0.279425,10.9631,
3,1,3,00:00:27,5179475,1,0,-,-,-,-8.1906,8.414646,-1.027354,11.74275,
4,1,4,00:00:33,3727594,1,0,-,-,-,0.956696,36.42084,38.0694,36.4334,
5,1,5,00:00:39,2682696,1,0,-,-,-,20.64569,5.087344,0.246412,21.26324,
6,1,6,00:00:45,1930698,1,0,-,-,-,14.7305,1.436796,9.753887E-02,14.8004,
7,1,7,00:00:51,1389496,1,0,-,-,-,12.45196,0.793803,6.374923E-02,12.47724,
8,1,8,00:00:57,1000000,1,0,-,-,-,11.56369,0.629879,0.0544704,11.58084,
9,1,9,00:01:02,719685.7,1,0,-,-,-,11.20466,0.5830962,5.204051E-02,11.21982,
10,1,10,00:01:10,517947.4,1,0,-,-,-,11.08424,0.5811266,5.242816E-02,11.09947,
11,1,11,00:01:16,372759.4,1,0,-,-,-,11.08312,0.5939544,5.359091E-02,11.09902,
12,1,12,00:01:21,268269.6,1,0,-,-,-,11.14562,0.6163471,5.529949E-02,11.16265,
13,1,13,00:01:27,193069.8,1,0,-,-,-,11.24219,0.6456526,5.743124E-02,11.26071,
14,1,14,00:01:33,138949.5,1,0,-,-,-,11.35999,0.6742998,5.935745E-02,11.37998,
15,1,15,00:01:39,100000,1,0,-,-,-,11.50934,0.7121547,6.187626E-02,11.53135,
16,2,1,00:01:48,100000,1,0,-,-,-,11.50837,0.711568,6.183048E-02,11.53035,
17,2,2,00:01:57,71968.57,1,0,-,-,-,11.64226,0.7430605,6.382444E-02,11.66595,
18,2,3,00:02:05,51794.75,1,0,-,-,-,11.78998,0.7779029,6.598001E-02,11.81561,
19,2,4,00:02:11,37275.94,1,0,-,-,-,11.94676,0.818057,6.847519E-02,11.97474,
20,2,5,00:02:17,26826.96,1,0,-,-,-,12.11379,0.8604813,7.103323E-02,12.14431,
21,2,6,00:02:23,19306.98,1,0,-,-,-,12.29067,0.9099959,7.403958E-02,12.32431,
22,2,7,00:02:28,13894.96,1,0,-,-,-,12.47954,0.9621583,7.709885E-02,12.51658,
23,2,8,00:02:35,10000,1,0,-,-,-,12.68654,1.024508,8.075553E-02,12.72784,
24,2,9,00:02:41,7196.857,1,0,-,-,-,12.90013,1.085294,8.413048E-02,12.94571,
25,2,10,00:02:47,5179.475,1,0,-,-,-,13.12786,1.15187,8.774246E-02,13.17829,
26,2,11,00:02:52,3727.594,1,0,-,-,-,13.37471,1.216312,9.094118E-02,13.4299,
27,2,12,00:02:58,2682.696,1,0,-,-,-,13.63708,1.285401,9.425772E-02,13.69753,
28,2,13,00:03:04,1930.698,1,0,-,-,-,13.91701,1.353038,9.722193E-02,13.98263,
29,2,14,00:03:10,1389.495,1,0,-,-,-,14.21263,1.41891,0.0998345,14.28328,
30,2,15,00:03:16,1000,1,0,-,-,-,14.52944,1.479256,0.101811,14.60455,
31,2,16,00:03:22,719.6857,1,0,-,-,-,14.85975,1.529718,0.1029437,14.93828,
32,2,17,00:03:28,517.9474,1,0,-,-,-,15.20864,1.57275,0.1034116,15.28975,
33,2,18,00:03:36,372.7594,1,0,-,-,-,15.56613,1.599292,0.1027418,15.64807,
34,2,19,00:03:43,268.2696,1,0,-,-,-,15.9268,1.60485,0.1007641,16.00745,
35,2,20,00:03:49,193.0698,1,0,-,-,-,16.29493,1.593309,9.777943E-02,16.37264,
36,2,21,00:03:55,138.9496,1,0,-,-,-,16.6568,1.560258,9.367093E-02,16.72971,
37,2,22,00:04:01,100,1,0,-,-,-,17.0122,1.505317,8.848459E-02,17.07867,
38,2,23,00:04:07,71.96857,1,0,-,-,-,17.35169,1.427309,8.225763E-02,17.4103,
39,2,24,00:04:13,51.79475,1,0,-,-,-,17.67563,1.328741,7.517365E-02,17.7255,
40,2,25,00:04:19,37.27594,1,0,-,-,-,17.96746,1.212852,6.750269E-02,18.00835,
41,2,26,00:04:25,26.82696,1,0,-,-,-,18.22205,1.083914,5.948364E-02,18.25426,
42,2,27,00:04:31,19.30698,1,0,-,-,-,18.44398,0.945257,5.125016E-02,18.46819,
43,2,28,00:04:36,13.89495,1,0,-,-,-,18.62779,0.8023703,4.307384E-02,18.64506,
44,2,29,00:04:42,10,1,0,-,-,-,18.77221,0.6659042,3.547287E-02,18.78401,
45,2,30,00:04:50,7.196856,1,0,-,-,-,18.88275,0.5387478,2.853122E-02,18.89044,
46,2,31,00:04:56,5.179475,1,0,-,-,-,18.96064,0.4246638,2.239712E-02,18.9654,
47,2,32,00:05:03,3.727594,1,0,-,-,-,19.01939,0.3267494,1.717981E-02,19.0222,
48,2,33,00:05:09,2.682696,1,0,-,-,-,19.05178,0.247093,1.296954E-02,19.05339,
49,2,34,00:05:15,1.930698,1,0,-,-,-,19.07975,0.174673,9.15489E-03,19.08055,
50,2,35,00:05:22,1.389495,1,0,-,-,-,19.09118,0.1259875,6.599256E-03,19.09159,
51,2,36,00:05:28,1,1,0,-,-,-,19.08328,6.788781E-02,3.557451E-03,19.0834,
