Exported SMaRT Impedance Data
Experiment start time : 7/21/2016 6:16:08 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:12,10000000,1,0,-,-,-,-2.119451,-0.378773,0.1787128,2.153031,
2,1,2,00:00:18,7196857,1,0,-,-,-,-3.760474,2.634928,-0.7006902,4.591733,
3,1,3,00:00:27,5179475,1,0,-,-,-,-4.45374,5.662408,-1.271383,7.204073,
4,1,4,00:00:33,3727594,1,0,-,-,-,5.779989,20.36658,3.523637,21.17088,
5,1,5,00:00:39,2682696,1,0,-,-,-,12.13507,2.958626,0.2438079,12.49053,
6,1,6,00:00:45,1930698,1,0,-,-,-,8.612653,0.9149481,0.106233,8.661116,
7,1,7,00:00:50,1389496,1,0,-,-,-,7.444438,0.5734932,7.703647E-02,7.466495,
8,1,8,00:00:56,1000000,1,0,-,-,-,6.991545,0.487381,6.971007E-02,7.008512,
9,1,9,00:01:02,719685.7,1,0,-,-,-,6.821896,0.4784296,7.013147E-02,6.838652,
10,1,10,00:01:10,517947.4,1,0,-,-,-,6.786446,0.4945357,7.287108E-02,6.80444,
11,1,11,00:01:15,372759.4,1,0,-,-,-,6.822302,0.5219758,7.651021E-02,6.842241,
12,1,12,00:01:21,268269.6,1,0,-,-,-,6.898959,0.5563762,0.0806464,6.921357,
13,1,13,00:01:27,193069.8,1,0,-,-,-,7.050947,0.6011712,8.526105E-02,7.076529,
14,1,14,00:01:33,138949.5,1,0,-,-,-,7.149017,0.6301831,8.814961E-02,7.176738,
15,1,15,00:01:39,100000,1,0,-,-,-,7.273934,0.65737,9.037337E-02,7.303578,
16,2,1,00:01:48,100000,1,0,-,-,-,7.273986,0.6579276,9.044939E-02,7.30368,
17,2,2,00:01:57,71968.57,1,0,-,-,-,7.411612,0.6860552,9.256491E-02,7.443296,
18,2,3,00:02:05,51794.75,1,0,-,-,-,7.563416,0.7061403,9.336263E-02,7.596308,
19,2,4,00:02:11,37275.94,1,0,-,-,-,7.722907,0.7205745,9.330353E-02,7.75645,
20,2,5,00:02:17,26826.96,1,0,-,-,-,7.88413,0.7249368,9.194886E-02,7.917388,
21,2,6,00:02:23,19306.98,1,0,-,-,-,8.048736,0.7220085,8.970459E-02,8.081055,
22,2,7,00:02:29,13894.96,1,0,-,-,-,8.207729,0.7132966,8.690547E-02,8.238666,
23,2,8,00:02:35,10000,1,0,-,-,-,8.363678,0.6969127,0.0833261,8.392663,
24,2,9,00:02:41,7196.857,1,0,-,-,-,8.516977,0.6733525,7.906004E-02,8.543553,
25,2,10,00:02:47,5179.475,1,0,-,-,-,8.661726,0.6465055,7.463934E-02,8.68582,
26,2,11,00:02:53,3727.594,1,0,-,-,-,8.800364,0.6144814,6.982454E-02,8.821792,
27,2,12,00:02:58,2682.696,1,0,-,-,-,8.930668,0.5784259,0.0647685,8.94938,
28,2,13,00:03:04,1930.698,1,0,-,-,-,9.053041,0.5409198,5.975006E-02,9.069187,
29,2,14,00:03:10,1389.495,1,0,-,-,-,9.165181,0.499383,5.448697E-02,9.178776,
30,2,15,00:03:16,1000,1,0,-,-,-,9.269199,0.4548741,4.907372E-02,9.280354,
31,2,16,00:03:22,719.6857,1,0,-,-,-,9.363418,0.4086377,4.364194E-02,9.372331,
32,2,17,00:03:28,517.9474,1,0,-,-,-,9.446074,0.3589318,3.799799E-02,9.452891,
33,2,18,00:03:34,372.7594,1,0,-,-,-,9.51554,0.3087111,3.244283E-02,9.520547,
34,2,19,00:03:42,268.2696,1,0,-,-,-,9.570758,0.2589926,2.706082E-02,9.574262,
35,2,20,00:03:48,193.0698,1,0,-,-,-,9.614873,0.2129387,0.0221468,9.61723,
36,2,21,00:03:54,138.9496,1,0,-,-,-,9.647222,0.1717037,1.779825E-02,9.648749,
37,2,22,00:04:00,100,1,0,-,-,-,9.670214,0.1371993,1.418783E-02,9.671187,
38,2,23,00:04:05,71.96857,1,0,-,-,-,9.687441,0.1080139,1.114989E-02,9.688043,
39,2,24,00:04:11,51.79475,1,0,-,-,-,9.700109,8.463301E-02,8.724954E-03,9.700479,
40,2,25,00:04:17,37.27594,1,0,-,-,-,9.709566,6.453901E-02,6.646951E-03,9.709781,
41,2,26,00:04:23,26.82696,1,0,-,-,-,9.715308,5.103575E-02,5.253127E-03,9.715443,
42,2,27,00:04:29,19.30698,1,0,-,-,-,9.720361,3.886804E-02,3.998621E-03,9.720438,
43,2,28,00:04:35,13.89495,1,0,-,-,-,9.721995,3.036683E-02,3.123519E-03,9.722043,
44,2,29,00:04:41,10,1,0,-,-,-,9.725342,2.252795E-02,2.316417E-03,9.725368,
45,2,30,00:04:47,7.196856,1,0,-,-,-,9.726577,1.696385E-02,1.744072E-03,9.726592,
46,2,31,00:04:55,5.179475,1,0,-,-,-,9.728718,1.476065E-02,1.517225E-03,9.728729,
47,2,32,00:05:01,3.727594,1,0,-,-,-,9.728951,0.0105127,1.080558E-03,9.728957,
48,2,33,00:05:07,2.682696,1,0,-,-,-,9.729591,5.575634E-03,5.730594E-04,9.729593,
49,2,34,00:05:13,1.930698,1,0,-,-,-,9.725766,7.410574E-03,7.619527E-04,9.725769,
50,2,35,00:05:20,1.389495,1,0,-,-,-,9.728117,9.283276E-03,9.542727E-04,9.728122,
51,2,36,00:05:26,1,1,0,-,-,-,9.728065,2.580827E-03,2.65297E-04,9.728065,
