Exported SMaRT Impedance Data
Experiment start time : 7/21/2016 12:07:27 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Relative Permittivity Magnitude 
1,1,1,00:00:14,10000000,1,0,-,-,-,-1.385656,-3.738011,2.697646,3.986573,
2,1,2,00:00:21,7196857,1,0,-,-,-,-8.093861,5.414551,-0.6689701,9.737964,
3,1,3,00:00:29,5179475,1,0,-,-,-,-7.67472,9.546947,-1.243947,12.24931,
4,1,4,00:00:35,3727594,1,0,-,-,-,19.28439,16.24583,0.8424345,25.21537,
5,1,5,00:00:41,2682696,1,0,-,-,-,18.58293,2.597888,0.1397997,18.76364,
6,1,6,00:00:47,1930698,1,0,-,-,-,13.8388,0.7051986,5.095809E-02,13.85675,
7,1,7,00:00:53,1389496,1,0,-,-,-,11.87767,0.3236335,2.724723E-02,11.88207,
8,1,8,00:00:59,1000000,1,0,-,-,-,11.06479,0.2211016,1.998244E-02,11.067,
9,1,9,00:01:05,719685.7,1,0,-,-,-,10.69787,0.1884488,1.761553E-02,10.69953,
10,1,10,00:01:12,517947.4,1,0,-,-,-,10.53343,0.1820014,1.727846E-02,10.535,
11,1,11,00:01:18,372759.4,1,0,-,-,-,10.46878,0.1814666,1.733408E-02,10.47035,
12,1,12,00:01:24,268269.6,1,0,-,-,-,10.45161,0.1853341,1.773258E-02,10.45326,
13,1,13,00:01:30,193069.8,1,0,-,-,-,10.46453,0.1950777,1.864181E-02,10.46635,
14,1,14,00:01:36,138949.5,1,0,-,-,-,10.5222,0.2111786,2.006982E-02,10.52432,
15,1,15,00:01:42,100000,1,0,-,-,-,10.54179,0.2201465,2.088322E-02,10.54409,
16,2,1,00:01:51,100000,1,0,-,-,-,10.54298,0.2200695,2.087356E-02,10.54528,
17,2,2,00:01:59,71968.57,1,0,-,-,-,10.57467,0.2304989,2.179726E-02,10.57718,
18,2,3,00:02:08,51794.75,1,0,-,-,-,10.61698,0.2423457,2.282624E-02,10.61974,
19,2,4,00:02:13,37275.94,1,0,-,-,-,10.66312,0.2562189,2.402852E-02,10.66619,
20,2,5,00:02:19,26826.96,1,0,-,-,-,10.71226,0.2707173,2.527172E-02,10.71568,
21,2,6,00:02:25,19306.98,1,0,-,-,-,10.76909,0.288864,2.682345E-02,10.77296,
22,2,7,00:02:31,13894.96,1,0,-,-,-,10.83155,0.3093722,2.856213E-02,10.83597,
23,2,8,00:02:37,10000,1,0,-,-,-,10.89429,0.3307121,3.035647E-02,10.8993,
24,2,9,00:02:43,7196.857,1,0,-,-,-,10.96232,0.3524931,3.215496E-02,10.96799,
25,2,10,00:02:49,5179.475,1,0,-,-,-,11.03635,0.3762905,3.409556E-02,11.04276,
26,2,11,00:02:55,3727.594,1,0,-,-,-,11.11401,0.4013054,3.610805E-02,11.12126,
27,2,12,00:03:01,2682.696,1,0,-,-,-,11.19844,0.4274016,3.816616E-02,11.2066,
28,2,13,00:03:07,1930.698,1,0,-,-,-,11.28891,0.4557757,4.037375E-02,11.29811,
29,2,14,00:03:13,1389.495,1,0,-,-,-,11.38534,0.4847161,4.257371E-02,11.39565,
30,2,15,00:03:19,1000,1,0,-,-,-,11.48754,0.5146537,4.480105E-02,11.49906,
31,2,16,00:03:25,719.6857,1,0,-,-,-,11.59562,0.5464684,4.712714E-02,11.60849,
32,2,17,00:03:31,517.9474,1,0,-,-,-,11.71309,0.5819823,0.0496865,11.72754,
33,2,18,00:03:37,372.7594,1,0,-,-,-,11.83575,0.6162425,5.206618E-02,11.85179,
34,2,19,00:03:44,268.2696,1,0,-,-,-,11.96524,0.6520624,5.449637E-02,11.983,
35,2,20,00:03:50,193.0698,1,0,-,-,-,12.10466,0.6904783,5.704235E-02,12.12434,
36,2,21,00:03:56,138.9496,1,0,-,-,-,12.25306,0.7303889,5.960872E-02,12.27481,
37,2,22,00:04:02,100,1,0,-,-,-,12.40802,0.7700676,6.206211E-02,12.43189,
38,2,23,00:04:08,71.96857,1,0,-,-,-,12.57397,0.8112493,6.451818E-02,12.60011,
39,2,24,00:04:14,51.79475,1,0,-,-,-,12.74817,0.8529701,6.690924E-02,12.77667,
40,2,25,00:04:20,37.27594,1,0,-,-,-,12.9294,0.8971059,6.938496E-02,12.96048,
41,2,26,00:04:25,26.82696,1,0,-,-,-,13.1262,0.9365111,0.0713467,13.15957,
42,2,27,00:04:31,19.30698,1,0,-,-,-,13.32905,0.9764888,0.0732602,13.36477,
43,2,28,00:04:37,13.89495,1,0,-,-,-,13.54117,1.014388,7.491142E-02,13.57911,
44,2,29,00:04:43,10,1,0,-,-,-,13.76305,1.048909,7.621198E-02,13.80296,
45,2,30,00:04:51,7.196856,1,0,-,-,-,13.9943,1.078502,0.0770672,14.0358,
46,2,31,00:04:57,5.179475,1,0,-,-,-,14.23093,1.104422,7.760711E-02,14.27372,
47,2,32,00:05:03,3.727594,1,0,-,-,-,14.47378,1.123338,7.761197E-02,14.5173,
48,2,33,00:05:09,2.682696,1,0,-,-,-,14.72412,1.139265,7.737406E-02,14.76813,
49,2,34,00:05:15,1.930698,1,0,-,-,-,14.97758,1.149692,7.676085E-02,15.02164,
50,2,35,00:05:22,1.389495,1,0,-,-,-,15.2361,1.106406,7.261741E-02,15.27622,
51,2,36,00:05:28,1,1,0,-,-,-,15.4818,1.110906,7.175562E-02,15.5216,
