Raw Data                               
log.afreq  log.sfreq  log.loss  storage
=======================================
-0.773248 -1.57143 -0.643019 2.72
-0.630391 -1.42857 -0.677223 2.6859
-0.487532 -1.28571 -0.711192 2.6546
-0.344674 -1.14285 -0.72995 2.6246
-0.20182 -1 -0.755698 2.5934
-0.0589614 -0.857141 -0.769245 2.5606
0.083893 -0.714285 -0.78178 2.5298
0.226752 -0.571428 -0.790565 2.498
0.369609 -0.428571 -0.795717 2.4679
0.512468 -0.285712 -0.805042 2.4365
0.655326 -0.142855 -0.809276 2.4043
0.79818 0 -0.813015 2.3741
0.941039 0.142859 -0.813807 2.3414
1.08389 0.285715 -0.816702 2.3101
1.22675 0.428572 -0.8175 2.2774
1.36961 0.571429 -0.821081 2.2458
1.51247 0.714288 -0.825243 2.2143
1.65533 0.857145 -0.831237 2.1824
1.79818 1 -0.839141 2.1509
1.94104 1.14286 -0.848875 2.1199
2.08389 1.28571 -0.861224 2.0897
2.22675 1.42857 -0.876377 2.0606
2.36961 1.57143 -0.894081 2.0324
2.51247 1.71429 -0.914602 2.0051
2.65533 1.85715 -0.937945 1.9797
2.79818 2 -0.963371 1.9559
2.94104 2.14286 -0.991357 1.9337
3.08389 2.28571 -1.0215 1.9131
3.22675 2.42857 -1.05367 1.894
3.36961 2.57143 -1.08766 1.8765
3.51247 2.71429 -1.12323 1.8605
3.65533 2.85715 -1.16015 1.8459
3.79818 3 -1.19811 1.8326
3.94104 3.14286 -1.23677 1.8205
4.08389 3.28571 -1.27636 1.8095
4.22675 3.42857 -1.31614 1.7995
4.36961 3.57143 -1.35633 1.7905
4.51247 3.71429 -1.39618 1.7824
4.65533 3.85715 -1.43559 1.775
4.79818 4 -1.47473 1.7681
4.94104 4.14286 -1.51225 1.762
5.08389 4.28571 -1.5487 1.7563
5.22675 4.42857 -1.58324 1.751
5.36961 4.57143 -1.61644 1.7462
5.51247 4.71429 -1.64822 1.7418
5.65533 4.85715 -1.6772 1.7375
5.79818 5 -1.70415 1.7335
5.94104 5.14286 -1.72955 1.7297
6.08389 5.28571 -1.75454 1.7261
6.22675 5.42857 -1.77809 1.7228
6.36961 5.57143 -1.80228 1.7196
6.51247 5.71429 -1.82942 1.7167
6.65533 5.85715 -1.85902 1.7141
6.79818 6 -1.95086 1.7159
6.94104 6.14286 -2.09293 1.7133
7.08389 6.28571 -2.72913 1.7131
7.22675 6.42857 -2.64967 1.7134
7.36961 6.57143 -2.03993 1.7191
7.51247 6.71429 -2.012 1.7218
7.65533 6.85715 -1.81361 1.7354
7.79818 7 -1.13706 1.741


Interpolated Data (Full Range)   
log.afreq  log.sfreq  f  df  d2f 
=================================
-0.773248 -1.57143 -0.643019 -0.219126 -0.284238
-0.764677 -1.56286 -0.644908 -0.221562 -0.284238
-0.756105 -1.55429 -0.646817 -0.223998 -0.284238
-0.747534 -1.54571 -0.648748 -0.226434 -0.284238
-0.738962 -1.53714 -0.650699 -0.228871 -0.284238
-0.730391 -1.52857 -0.652671 -0.231307 -0.284238
-0.721819 -1.52 -0.654664 -0.233743 -0.284238
-0.713248 -1.51143 -0.656678 -0.23618 -0.284238
-0.704677 -1.50286 -0.658713 -0.238616 -0.284238
-0.696105 -1.49429 -0.660769 -0.241052 -0.284238
-0.687534 -1.48571 -0.662845 -0.243489 -0.284238
-0.678962 -1.47714 -0.664943 -0.245925 -0.284238
-0.670391 -1.46857 -0.667061 -0.248361 -0.284238
-0.661819 -1.46 -0.6692 -0.250798 -0.284238
-0.653248 -1.45143 -0.671361 -0.253234 -0.284238
-0.644677 -1.44286 -0.673542 -0.25567 -0.284238
-0.636105 -1.43429 -0.675743 -0.258107 -0.284238
-0.627534 -1.42571 -0.677966 -0.260492 -0.248745
-0.618962 -1.41714 -0.680207 -0.262168 -0.142267
-0.610391 -1.40857 -0.682458 -0.262931 -0.0357899
-0.601819 -1.4 -0.684712 -0.262782 0.0706875
-0.593248 -1.39143 -0.68696 -0.261719 0.177165
-0.584677 -1.38286 -0.689196 -0.259745 0.283642
-0.576105 -1.37429 -0.69141 -0.256857 0.39012
-0.567534 -1.36571 -0.693596 -0.253057 0.496597
-0.558962 -1.35714 -0.695746 -0.248344 0.603074
-0.550391 -1.34857 -0.697851 -0.242718 0.709552
-0.541819 -1.34 -0.699904 -0.23618 0.816029
-0.533248 -1.33143 -0.701897 -0.228729 0.922507
-0.524677 -1.32286 -0.703823 -0.220366 1.02898
-0.516105 -1.31429 -0.705672 -0.21109 1.13546
-0.507534 -1.30571 -0.707439 -0.200901 1.24194
-0.498962 -1.29714 -0.709114 -0.189799 1.34842
-0.490391 -1.28857 -0.71069 -0.177785 1.45489
-0.481819 -1.28 -0.71216 -0.165369 1.38261
-0.473248 -1.27143 -0.713528 -0.154211 1.22085
-0.464677 -1.26286 -0.714807 -0.14444 1.0591
-0.456105 -1.25429 -0.716009 -0.136055 0.897345
-0.447534 -1.24571 -0.717144 -0.129057 0.735591
-0.438962 -1.23714 -0.718225 -0.123445 0.573838
-0.430391 -1.22857 -0.719264 -0.11922 0.412084
-0.421819 -1.22 -0.720273 -0.116381 0.25033
-0.413248 -1.21143 -0.721263 -0.114928 0.0885765
-0.404677 -1.20286 -0.722247 -0.114862 -0.0731771
-0.396105 -1.19429 -0.723236 -0.116183 -0.234931
-0.387534 -1.18571 -0.724242 -0.11889 -0.396684
-0.378962 -1.17714 -0.725278 -0.122983 -0.558438
-0.370391 -1.16857 -0.726355 -0.128463 -0.720192
-0.361819 -1.16 -0.727484 -0.135329 -0.881945
-0.353248 -1.15143 -0.728679 -0.143582 -1.0437
