Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.902046 2.5297
-0.630391 -1.42857 -0.900039 2.5034
-0.487532 -1.28571 -0.9351 2.4777
-0.344674 -1.14285 -0.935882 2.4541
-0.20182 -1 -0.912848 2.4287
-0.0589614 -0.857141 -0.915318 2.4034
0.083893 -0.714285 -0.912622 2.3777
0.226752 -0.571428 -0.920997 2.3524
0.369609 -0.428571 -0.915901 2.3272
0.512468 -0.285712 -0.892565 2.3012
0.655326 -0.142855 -0.900877 2.2742
0.79818 0 -0.895416 2.2483
0.941039 0.142859 -0.889327 2.2209
1.08389 0.285715 -0.894788 2.1945
1.22675 0.428572 -0.888745 2.1673
1.36961 0.571429 -0.892926 2.1406
1.51247 0.714288 -0.896785 2.1137
1.65533 0.857145 -0.906585 2.0876
1.79818 1 -0.913159 2.0617
1.94104 1.14286 -0.917386 2.0364
2.08389 1.28571 -0.935215 2.0113
2.22675 1.42857 -0.966264 1.988
2.36961 1.57143 -0.985361 1.9658
2.51247 1.71429 -1.01284 1.9448
2.65533 1.85715 -1.03959 1.9251
2.79818 2 -1.07048 1.9066
2.94104 2.14286 -1.10436 1.8895
3.08389 2.28571 -1.13562 1.8736
3.22675 2.42857 -1.17377 1.8589
3.36961 2.57143 -1.21265 1.8455
3.51247 2.71429 -1.25172 1.8332
3.65533 2.85715 -1.28969 1.822
3.79818 3 -1.33061 1.8117
3.94104 3.14286 -1.37021 1.8024
4.08389 3.28571 -1.40697 1.7938
4.22675 3.42857 -1.44854 1.786
4.36961 3.57143 -1.49656 1.7789
4.51247 3.71429 -1.53958 1.7726
4.65533 3.85715 -1.5618 1.7667
4.79818 4 -1.60668 1.7612
4.94104 4.14286 -1.64552 1.7563
5.08389 4.28571 -1.6802 1.7517
5.22675 4.42857 -1.70078 1.7475
5.36961 4.57143 -1.73627 1.7434
5.51247 4.71429 -1.77017 1.7398
5.65533 4.85715 -1.77239 1.7362
5.79818 5 -1.80271 1.7328
5.94104 5.14286 -1.83382 1.7296
6.08389 5.28571 -1.84089 1.7266
6.22675 5.42857 -1.86662 1.7236
6.36961 5.57143 -1.94235 1.721
6.51247 5.71429 -1.81755 1.7184
6.65533 5.85715 -2.4509 1.7162
6.79818 6 -2.97499 1.7184
6.94104 6.14286 -2.10922 1.7162
7.08389 6.28571 -4.43005 1.7163
7.22675 6.42857 -1.71251 1.717
7.36961 6.57143 -1.76841 1.7229
7.51247 6.71429 -1.38333 1.726
7.65533 6.85715 -1.2145 1.7399
7.79818 7 -1.98279 1.7452


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.902046 0.209347 -2.73417
-0.764677 -1.56286 -0.900352 0.185911 -2.73417
-0.756105 -1.55429 -0.898859 0.162475 -2.73417
-0.747534 -1.54571 -0.897567 0.139039 -2.73417
-0.738962 -1.53714 -0.896475 0.115604 -2.73417
-0.730391 -1.52857 -0.895585 0.092168 -2.73417
-0.721819 -1.52 -0.894895 0.0687323 -2.73417
-0.713248 -1.51143 -0.894407 0.0452966 -2.73417
-0.704677 -1.50286 -0.894119 0.0218609 -2.73417
-0.696105 -1.49429 -0.894032 -0.00157483 -2.73417
-0.687534 -1.48571 -0.894146 -0.0250105 -2.73417
-0.678962 -1.47714 -0.894461 -0.0484462 -2.73417
-0.670391 -1.46857 -0.894976 -0.071882 -2.73417
-0.661819 -1.46 -0.895693 -0.0953177 -2.73417
-0.653248 -1.45143 -0.89661 -0.118753 -2.73417
-0.644677 -1.44286 -0.897729 -0.142189 -2.73417
-0.636105 -1.43429 -0.899048 -0.165625 -2.73417
-0.627534 -1.42571 -0.900568 -0.188903 -2.62402
-0.618962 -1.41714 -0.902279 -0.209979 -2.2936
-0.610391 -1.40857 -0.904159 -0.228222 -1.96317
-0.601819 -1.4 -0.906184 -0.243633 -1.63274
-0.593248 -1.39143 -0.908328 -0.256212 -1.30232
-0.584677 -1.38286 -0.910568 -0.265958 -0.971893
-0.576105 -1.37429 -0.912879 -0.272873 -0.641468
-0.567534 -1.36571 -0.915238 -0.276955 -0.311042
-0.558962 -1.35714 -0.917619 -0.278205 0.0193835
-0.550391 -1.34857 -0.919999 -0.276623 0.349809
-0.541819 -1.34 -0.922353 -0.272208 0.680235
-0.533248 -1.33143 -0.924657 -0.264962 1.01066
-0.524677 -1.32286 -0.926887 -0.254883 1.34109
-0.516105 -1.31429 -0.929018 -0.241972 1.67151
-0.507534 -1.30571 -0.931027 -0.226228 2.00194
-0.498962 -1.29714 -0.932888 -0.207653 2.33236
-0.490391 -1.28857 -0.934579 -0.186245 2.66279
-0.481819 -1.28 -0.936075 -0.162754 2.73089
-0.473248 -1.27143 -0.93737 -0.139617 2.66771
-0.464677 -1.26286 -0.93847 -0.117022 2.60453
-0.456105 -1.25429 -0.939378 -0.0949681 2.54135
-0.447534 -1.24571 -0.940099 -0.0734559 2.47817
-0.438962 -1.23714 -0.940638 -0.0524852 2.41499
-0.430391 -1.22857 -0.941 -0.0320561 2.35181
-0.421819 -1.22 -0.94119 -0.0121685 2.28863
-0.413248 -1.21143 -0.941211 0.00717755 2.22545
-0.404677 -1.20286 -0.941068 0.025982 2.16227
-0.396105 -1.19429 -0.940767 0.044245 2.09909
-0.387534 -1.18571 -0.940311 0.0619664 2.03591
-0.378962 -1.17714 -0.939706 0.0791463 1.97273
-0.370391 -1.16857 -0.938956 0.0957846 1.90955
-0.361819 -1.16 -0.938065 0.111881 1.84637
-0.353248 -1.15143 -0.937039 0.127437 1.78319
