Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -1.35054 2.2834
-0.630391 -1.42857 -1.10463 2.2705
-0.487532 -1.28571 -1.06269 2.2523
-0.344674 -1.14285 -1.11587 2.2355
-0.20182 -1 -1.07483 2.219
-0.0589614 -0.857141 -1.04094 2.2003
0.083893 -0.714285 -1.03667 2.1813
0.226752 -0.571428 -1.03184 2.1618
0.369609 -0.428571 -1.04891 2.1427
0.512468 -0.285712 -1.01357 2.1236
0.655326 -0.142855 -1.01776 2.1027
0.79818 0 -1.01572 2.0833
0.941039 0.142859 -1.00687 2.0622
1.08389 0.285715 -1.01234 2.0423
1.22675 0.428572 -1.01199 2.0214
1.36961 0.571429 -1.04085 2.002
1.51247 0.714288 -1.04491 1.9829
1.65533 0.857145 -1.06085 1.9644
1.79818 1 -1.07787 1.9465
1.94104 1.14286 -1.10398 1.9295
2.08389 1.28571 -1.12877 1.9135
2.22675 1.42857 -1.14938 1.8983
2.36961 1.57143 -1.17968 1.8839
2.51247 1.71429 -1.21142 1.8706
2.65533 1.85715 -1.23914 1.8581
2.79818 2 -1.27434 1.8465
2.94104 2.14286 -1.3086 1.8358
3.08389 2.28571 -1.34291 1.8259
3.22675 2.42857 -1.38252 1.8168
3.36961 2.57143 -1.41927 1.8085
3.51247 2.71429 -1.45055 1.8008
3.65533 2.85715 -1.49222 1.7937
3.79818 3 -1.53479 1.7873
3.94104 3.14286 -1.56442 1.7814
4.08389 3.28571 -1.60078 1.7759
4.22675 3.42857 -1.64084 1.7709
4.36961 3.57143 -1.67786 1.7663
4.51247 3.71429 -1.71629 1.7621
4.65533 3.85715 -1.74063 1.7582
4.79818 4 -1.77014 1.7545
4.94104 4.14286 -1.80587 1.7511
5.08389 4.28571 -1.82302 1.7479
5.22675 4.42857 -1.83878 1.7448
5.36961 4.57143 -1.88793 1.7419
5.51247 4.71429 -1.90236 1.7393
5.65533 4.85715 -1.88945 1.7366
5.79818 5 -1.9277 1.734
5.94104 5.14286 -1.93985 1.7316
6.08389 5.28571 -1.95815 1.7292
6.22675 5.42857 -1.98432 1.727
6.36961 5.57143 -2.04005 1.7249
6.51247 5.71429 -1.92474 1.7229
6.65533 5.85715 -2.18398 1.7214
6.79818 6 -2.53793 1.7241
6.94104 6.14286 -2.28042 1.7223
7.08389 6.28571 -2.63517 1.723
7.22675 6.42857 -1.66226 1.7241
7.36961 6.57143 -1.70986 1.7306
7.51247 6.71429 -1.36176 1.7341
7.65533 6.85715 -1.20047 1.7485
7.79818 7 -1.97891 1.754


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -1.35054 2.4836 -10.6711
-0.764677 -1.56286 -1.32964 2.39213 -10.6711
-0.756105 -1.55429 -1.30953 2.30067 -10.6711
-0.747534 -1.54571 -1.2902 2.2092 -10.6711
-0.738962 -1.53714 -1.27166 2.11773 -10.6711
-0.730391 -1.52857 -1.2539 2.02627 -10.6711
-0.721819 -1.52 -1.23692 1.9348 -10.6711
-0.713248 -1.51143 -1.22073 1.84333 -10.6711
-0.704677 -1.50286 -1.20532 1.75187 -10.6711
-0.696105 -1.49429 -1.1907 1.6604 -10.6711
-0.687534 -1.48571 -1.17686 1.56893 -10.6711
-0.678962 -1.47714 -1.1638 1.47747 -10.6711
-0.670391 -1.46857 -1.15153 1.386 -10.6711
-0.661819 -1.46 -1.14004 1.29454 -10.6711
-0.653248 -1.45143 -1.12934 1.20307 -10.6711
-0.644677 -1.44286 -1.11942 1.1116 -10.6711
-0.636105 -1.43429 -1.11028 1.02014 -10.6711
-0.627534 -1.42571 -1.10193 0.928786 -10.5899
-0.618962 -1.41714 -1.09436 0.839059 -10.3465
-0.610391 -1.40857 -1.08754 0.751418 -10.103
-0.601819 -1.4 -1.08147 0.665865 -9.85956
-0.593248 -1.39143 -1.07612 0.582397 -9.61611
-0.584677 -1.38286 -1.07148 0.501017 -9.37266
-0.576105 -1.37429 -1.06753 0.421723 -9.12921
-0.567534 -1.36571 -1.06424 0.344516 -8.88576
-0.558962 -1.35714 -1.06161 0.269396 -8.64231
-0.550391 -1.34857 -1.05962 0.196362 -8.39885
-0.541819 -1.34 -1.05824 0.125416 -8.1554
-0.533248 -1.33143 -1.05746 0.0565555 -7.91195
-0.524677 -1.32286 -1.05727 -0.0102178 -7.6685
-0.516105 -1.31429 -1.05763 -0.0749045 -7.42505
-0.507534 -1.30571 -1.05854 -0.137504 -7.1816
-0.498962 -1.29714 -1.05998 -0.198018 -6.93815
-0.490391 -1.28857 -1.06193 -0.256444 -6.69469
-0.481819 -1.28 -1.06437 -0.311445 -5.98268
-0.473248 -1.27143 -1.06725 -0.358669 -5.03617
-0.464677 -1.26286 -1.0705 -0.39778 -4.08965
-0.456105 -1.25429 -1.07405 -0.428777 -3.14314
-0.447534 -1.24571 -1.07782 -0.451662 -2.19663
-0.438962 -1.23714 -1.08177 -0.466434 -1.25012
-0.430391 -1.22857 -1.0858 -0.473093 -0.303602
-0.421819 -1.22 -1.08985 -0.471638 0.642911
-0.413248 -1.21143 -1.09386 -0.462071 1.58942
-0.404677 -1.20286 -1.09775 -0.444391 2.53594
-0.396105 -1.19429 -1.10145 -0.418598 3.48245
-0.387534 -1.18571 -1.1049 -0.384692 4.42896
-0.378962 -1.17714 -1.10803 -0.342673 5.37548
-0.370391 -1.16857 -1.11075 -0.292541 6.32199
-0.361819 -1.16 -1.11302 -0.234296 7.2685
-0.353248 -1.15143 -1.11475 -0.167938 8.21502
