Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.534424 2.8985
-0.630391 -1.42857 -0.595457 2.8666
-0.487532 -1.28571 -0.641437 2.8367
-0.344674 -1.14285 -0.678236 2.8035
-0.20182 -1 -0.699665 2.7677
-0.0589614 -0.857141 -0.720721 2.7333
0.083893 -0.714285 -0.732101 2.6987
0.226752 -0.571428 -0.739714 2.6616
0.369609 -0.428571 -0.745307 2.6247
0.512468 -0.285712 -0.748873 2.5878
0.655326 -0.142855 -0.751659 2.5509
0.79818 0 -0.753797 2.5151
0.941039 0.142859 -0.754142 2.4777
1.08389 0.285715 -0.755451 2.4405
1.22675 0.428572 -0.755921 2.4032
1.36961 0.571429 -0.756739 2.3658
1.51247 0.714288 -0.759675 2.3282
1.65533 0.857145 -0.76223 2.2908
1.79818 1 -0.766369 2.2536
1.94104 1.14286 -0.773374 2.2169
2.08389 1.28571 -0.782384 2.1806
2.22675 1.42857 -0.79393 2.1451
2.36961 1.57143 -0.808158 2.1106
2.51247 1.71429 -0.825446 2.0774
2.65533 1.85715 -0.845546 2.0458
2.79818 2 -0.868863 2.015
2.94104 2.14286 -0.894558 1.9869
3.08389 2.28571 -0.922959 1.9606
3.22675 2.42857 -0.953856 1.9363
3.36961 2.57143 -0.986868 1.9139
3.51247 2.71429 -1.02196 1.8935
3.65533 2.85715 -1.05874 1.8748
3.79818 3 -1.09686 1.8578
3.94104 3.14286 -1.13618 1.8424
4.08389 3.28571 -1.17664 1.8284
4.22675 3.42857 -1.21754 1.8158
4.36961 3.57143 -1.25924 1.8044
4.51247 3.71429 -1.30114 1.7942
4.65533 3.85715 -1.34271 1.785
4.79818 4 -1.38367 1.7765
4.94104 4.14286 -1.4241 1.769
5.08389 4.28571 -1.46306 1.762
5.22675 4.42857 -1.50107 1.7557
5.36961 4.57143 -1.53735 1.7499
5.51247 4.71429 -1.57187 1.7446
5.65533 4.85715 -1.60424 1.7396
5.79818 5 -1.63474 1.7349
5.94104 5.14286 -1.66348 1.7305
6.08389 5.28571 -1.69099 1.7264
6.22675 5.42857 -1.71663 1.7225
6.36961 5.57143 -1.74283 1.719
6.51247 5.71429 -1.77173 1.7156
6.65533 5.85715 -1.80129 1.7126
6.79818 6 -1.88353 1.714
6.94104 6.14286 -2.0078 1.711
7.08389 6.28571 -2.44954 1.7106
7.22675 6.42857 -3.18548 1.7106
7.36961 6.57143 -2.11724 1.7159
7.51247 6.71429 -2.08296 1.7183
7.65533 6.85715 -1.85558 1.7316
7.79818 7 -1.14971 1.7372


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.534424 -0.488186 0.85336
-0.764677 -1.56286 -0.538577 -0.480871 0.85336
-0.756105 -1.55429 -0.542667 -0.473557 0.85336
-0.747534 -1.54571 -0.546695 -0.466242 0.85336
-0.738962 -1.53714 -0.55066 -0.458928 0.85336
-0.730391 -1.52857 -0.554563 -0.451613 0.85336
-0.721819 -1.52 -0.558402 -0.444299 0.85336
-0.713248 -1.51143 -0.562179 -0.436984 0.85336
-0.704677 -1.50286 -0.565893 -0.42967 0.85336
-0.696105 -1.49429 -0.569545 -0.422355 0.85336
-0.687534 -1.48571 -0.573134 -0.415041 0.85336
-0.678962 -1.47714 -0.57666 -0.407726 0.85336
-0.670391 -1.46857 -0.580123 -0.400412 0.85336
-0.661819 -1.46 -0.583524 -0.393097 0.85336
-0.653248 -1.45143 -0.586862 -0.385782 0.85336
-0.644677 -1.44286 -0.590137 -0.378468 0.85336
-0.636105 -1.43429 -0.59335 -0.371153 0.85336
-0.627534 -1.42571 -0.5965 -0.363859 0.839472
-0.618962 -1.41714 -0.599589 -0.356842 0.797808
-0.610391 -1.40857 -0.602618 -0.350182 0.756144
-0.601819 -1.4 -0.605593 -0.343879 0.71448
-0.593248 -1.39143 -0.608514 -0.337934 0.672816
-0.584677 -1.38286 -0.611387 -0.332345 0.631152
-0.576105 -1.37429 -0.614213 -0.327114 0.589488
-0.567534 -1.36571 -0.616996 -0.32224 0.547824
-0.558962 -1.35714 -0.619738 -0.317723 0.50616
-0.550391 -1.34857 -0.622443 -0.313563 0.464496
-0.541819 -1.34 -0.625114 -0.30976 0.422832
-0.533248 -1.33143 -0.627754 -0.306314 0.381168
-0.524677 -1.32286 -0.630366 -0.303226 0.339504
-0.516105 -1.31429 -0.632954 -0.300494 0.29784
-0.507534 -1.30571 -0.635519 -0.29812 0.256176
-0.498962 -1.29714 -0.638065 -0.296103 0.214512
-0.490391 -1.28857 -0.640596 -0.294443 0.172848
-0.481819 -1.28 -0.643113 -0.29294 0.200977
-0.473248 -1.27143 -0.645616 -0.290947 0.264034
-0.464677 -1.26286 -0.6481 -0.288414 0.327091
-0.456105 -1.25429 -0.650559 -0.28534 0.390148
-0.447534 -1.24571 -0.65299 -0.281726 0.453206
-0.438962 -1.23714 -0.655387 -0.277571 0.516263
-0.430391 -1.22857 -0.657746 -0.272875 0.57932
-0.421819 -1.22 -0.660063 -0.26764 0.642377
-0.413248 -1.21143 -0.662333 -0.261863 0.705435
-0.404677 -1.20286 -0.664551 -0.255546 0.768492
-0.396105 -1.19429 -0.666712 -0.248689 0.831549
-0.387534 -1.18571 -0.668813 -0.241291 0.894606
-0.378962 -1.17714 -0.670847 -0.233353 0.957664
-0.370391 -1.16857 -0.672811 -0.224874 1.02072
-0.361819 -1.16 -0.674701 -0.215855 1.08378
-0.353248 -1.15143 -0.67651 -0.206295 1.14684
