total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=15)
[[0.226752],[0.369609],[0.512468],[0.655326],[0.798180],[0.941039],[1.083893],[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752]]

yData (#.=15)
[-0.040298,0.010726,0.062910,0.089677,0.073987,0.023691,-0.063809,-0.169722,-0.349168,-0.533894,-0.733529,-0.962342,-1.204677,-1.435824,-1.637739]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 30
time used = 0 seconds

fit coeffs
2.40211 1 1 -0.510587 

fit coeffs error
0.731757 0.841493 1.17569 0.186588 

Statistics
===================================
R^2 (coefficient of determination) 
0.941297 (100 cycles)

RMS error 
0.139497

average error 
0.113235

average relative error 
1.13917

maximum error 
0.302007
===================================

cutoff_lo_afreq 0.226752
cutoff_lo_sfreq -0.571428

cutoff_hi_afreq 2.22675
cutoff_hi_sfreq 1.42857

afreq_max 0.655326
sfreq_max -0.142855
loss_max  0.0896767

tauMax(afreq) 0.308612
log(tauMax_a) -0.510587
tauMax(sfreq) 1.93907
log(tauMax_s) 0.287593

Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 0.391339 7.6892
-0.630391 -1.42857 0.327337 7.2089
-0.487532 -1.28571 0.157946 6.8236
-0.344674 -1.14285 -0.0679999 6.5992
-0.20182 -1 -0.139418 6.4338
-0.0589614 -0.857141 -0.163794 6.2891
0.083893 -0.714285 -0.122251 6.139
0.226752 -0.571428 -0.0402979 5.9669
0.369609 -0.428571 0.010726 5.7603
0.512468 -0.285712 0.0629097 5.5364
0.655326 -0.142855 0.0896767 5.2802
0.79818 0 0.0739868 5.0297
0.941039 0.142859 0.0236911 4.7896
1.08389 0.285715 -0.063809 4.5918
1.22675 0.428572 -0.169722 4.4276
1.36961 0.571429 -0.349168 4.3114
1.51247 0.714288 -0.533894 4.235
1.65533 0.857145 -0.733529 4.1856
1.79818 1 -0.962342 4.1554
1.94104 1.14286 -1.20468 4.1379
2.08389 1.28571 -1.43582 4.1278
2.22675 1.42857 -1.63774 4.1217
2.36961 1.57143 -1.79808 4.1177
2.51247 1.71429 -1.91567 4.1148
2.65533 1.85715 -1.8905 4.1123
2.79818 2 -1.86181 4.1094
2.94104 2.14286 -1.81711 4.1065
3.08389 2.28571 -1.70206 4.1028
3.22675 2.42857 -1.59059 4.0981
3.36961 2.57143 -1.47342 4.0919
3.51247 2.71429 -1.36367 4.0839
3.65533 2.85715 -1.24534 4.0735
3.79818 3 -1.12719 4.0598
3.94104 3.14286 -1.0114 4.0419
4.08389 3.28571 -0.894764 4.0185
4.22675 3.42857 -0.782299 3.988
4.36961 3.57143 -0.670342 3.9486
4.51247 3.71429 -0.569069 3.898
4.65533 3.85715 -0.480742 3.8353
4.79818 4 -0.403365 3.7593
4.94104 4.14286 -0.342446 3.6702
5.08389 4.28571 -0.299584 3.5698
5.22675 4.42857 -0.27449 3.4613
5.36961 4.57143 -0.264368 3.3484
5.51247 4.71429 -0.272243 3.235
5.65533 4.85715 -0.291843 3.1256
5.79818 5 -0.322522 3.0219
5.94104 5.14286 -0.362617 2.9268
6.08389 5.28571 -0.405566 2.8401
6.22675 5.42857 -0.456983 2.7624
6.36961 5.57143 -0.509925 2.6936
6.51247 5.71429 -0.57141 2.633
6.65533 5.85715 -0.610469 2.58
6.79818 6 -0.700582 2.5319
6.94104 6.14286 -0.759351 2.4951
7.08389 6.28571 -0.783288 2.4579
7.22675 6.42857 -0.988756 2.4298
7.36961 6.57143 -1.00826 2.4109
7.51247 6.71429 -1.34679 2.3921
7.65533 6.85715 -2.00734 2.3908
7.79818 7 -0.991773 2.3791


DC Free Mode (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 0.391339 7.6892
-0.630391 -1.42857 0.327337 7.2089
-0.487532 -1.28571 0.157946 6.8236
-0.344674 -1.14285 -0.0679999 6.5992
-0.20182 -1 -0.139418 6.4338
-0.0589614 -0.857141 -0.163794 6.2891
0.083893 -0.714285 -0.122251 6.139
0.226752 -0.571428 -0.0402979 5.9669
0.369609 -0.428571 0.010726 5.7603
0.512468 -0.285712 0.0629097 5.5364
0.655326 -0.142855 0.0896767 5.2802
0.79818 0 0.0739868 5.0297
0.941039 0.142859 0.0236911 4.7896
1.08389 0.285715 -0.063809 4.5918
1.22675 0.428572 -0.169722 4.4276
1.36961 0.571429 -0.349168 4.3114
1.51247 0.714288 -0.533894 4.235
1.65533 0.857145 -0.733529 4.1856
1.79818 1 -0.962342 4.1554
1.94104 1.14286 -1.20468 4.1379
2.08389 1.28571 -1.43582 4.1278
2.22675 1.42857 -1.63774 4.1217
2.36961 1.57143 -1.79808 4.1177
2.51247 1.71429 -1.91567 4.1148
2.65533 1.85715 -1.8905 4.1123
2.79818 2 -1.86181 4.1094
2.94104 2.14286 -1.81711 4.1065
3.08389 2.28571 -1.70206 4.1028
3.22675 2.42857 -1.59059 4.0981
3.36961 2.57143 -1.47342 4.0919
3.51247 2.71429 -1.36367 4.0839
3.65533 2.85715 -1.24534 4.0735
3.79818 3 -1.12719 4.0598
3.94104 3.14286 -1.0114 4.0419
