T_nominal 403000
peak #1 log.afreq 1.65533  15  0.956526  2.85886 1 1 -1.39953 
peak #2 log.afreq 6.51247  21  0.992678  1.4231 1 0.681599 -6.39359 
T_nominal 398000
peak #1 log.afreq 1.65533  16  0.943313  2.07487 1 1 -1.43488 
peak #2 log.afreq 6.36961  22  0.994733  1.53285 1 0.586624 -6.17798 
T_nominal 393000
peak #1 log.afreq 1.51247  15  0.936822  2.04804 1 1 -1.29941 
peak #2 log.afreq 6.22675  21  0.998633  1.66514 1 0.490789 -5.90896 
T_nominal 388000
peak #1 log.afreq 1.36961  15  0.935594  1.97728 1 1 -1.15652 
peak #2 log.afreq 5.94104  23  0.998827  1.81462 1 0.409345 -5.63532 
T_nominal 383000
peak #1 log.afreq 1.08389  15  0.933936  2.1266 1 1 -0.923207 
peak #2 log.afreq 5.79818  24  0.999252  1.84365 0.961792 0.427792 -5.4404 
T_nominal 378000
peak #1 log.afreq 0.79818  15  0.929214  2.20562 1 1 -0.724454 
peak #2 log.afreq 5.51247  26  0.999591  1.84647 0.893365 0.495085 -5.29022 
T_nominal 373000
peak #1 log.afreq 0.655326  15  0.941297  2.40211 1 1 -0.510587 
peak #2 log.afreq 5.36961  27  0.99986  1.9024 0.844076 0.508754 -5.07402 
T_nominal 368000
peak #1 log.afreq 0.369609  14  0.944565  2.69662 1 1 -0.262613 
peak #2 log.afreq 5.22675  28  0.999797  1.92063 0.787114 0.565944 -4.88598 
T_nominal 363000
peak #1 log.afreq 0.083893  13  0.944371  3.15337 1 1 0.0218301 
peak #2 log.afreq 4.94104  30  0.999943  1.97033 0.737337 0.591777 -4.64898 
T_nominal 358000
peak #1 log.afreq -0.20182  14  0.954796  3.40069 1 1 0.275443 
peak #2 log.afreq 4.65533  32  0.999919  2.02183 0.682502 0.627174 -4.40342 
T_nominal 353000
peak #1 log.afreq 4.36961  34  0.999754  2.07756 0.62228 0.673551 -4.15281 
T_nominal 348000
peak #1 log.afreq 4.22675  35  0.999398  2.13709 0.555382 0.749284 -3.91724 
T_nominal 343000
peak #1 log.afreq 3.94104  39  0.998574  2.20551 0.491809 0.830742 -3.66733 
T_nominal 338000
peak #1 log.afreq 3.65533  38  0.996762  2.2787 0.420409 1 -3.49681 
T_nominal 333000
peak #1 log.afreq 3.36961  41  0.988973  2.37449 0.374532 1 -3.07013 
T_nominal 328000
peak #1 log.afreq 3.22675  42  0.969753  2.44946 0.333961 1 -2.60773 
T_nominal 323000
peak #1 log.afreq 2.94104  42  0.960111  2.3678 0.314121 1 -2.26315 
peak #2 log.afreq 3.94104  3  0.963066  0.0675855 1 1 -3.1734 
T_nominal 333000
peak #1 log.afreq 3.36961  41  0.985834  2.39609 0.367893 1 -3.00319 
T_nominal 343000
peak #1 log.afreq 3.79818  39  0.998473  2.2119 0.484449 0.842307 -3.62676 
T_nominal 353000
peak #1 log.afreq 4.36961  34  0.999739  2.07973 0.614616 0.679348 -4.0997 
T_nominal 363000
peak #1 log.afreq 0.083893  14  0.947104  3.25098 1 1 0.0941009 
peak #2 log.afreq 4.79818  30  0.999982  1.97263 0.731732 0.591165 -4.58753 
T_nominal 373000
peak #1 log.afreq 0.512468  16  0.940362  2.39178 1 1 -0.434496 
peak #2 log.afreq 5.36961  26  0.999904  1.89442 0.837317 0.523953 -5.03363 
T_nominal 383000
peak #1 log.afreq 1.08389  14  0.928709  2.06792 1 1 -0.872429 
peak #2 log.afreq 5.79818  25  0.999495  1.82629 0.932897 0.469992 -5.44341 
T_nominal 393000
peak #1 log.afreq 1.51247  15  0.925769  1.58906 1 1 -1.29564 
peak #2 log.afreq 6.08389  21  0.998615  1.68519 1 0.486209 -5.88296 
T_nominal 403000
peak #1 log.afreq 2.08389  15  0.928319  1.16358 1 1 -1.69516 
peak #2 log.afreq 6.51247  21  0.992957  1.42571 1 0.692372 -6.41953 
