total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=13)
[[1.941039],[2.083893],[2.226752],[2.369609],[2.512468],[2.655326],[2.798180],[2.941039],[3.083893],[3.226752],[3.369609],[3.512468],[3.655326]]

yData (#.=13)
[-0.853321,-0.853927,-0.860231,-0.870441,-0.882809,-0.898278,-0.916131,-0.934943,-0.957418,-0.980903,-1.009853,-1.036981,-1.063294]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 53
time used = 0 seconds

fit coeffs
0.938582 0.449623 0.579845 -1.42444 

fit coeffs error
0.028775 0.0412138 0.0916389 0.0695915 

Statistics
===================================
R^2 (coefficient of determination) 
0.999817 (1 cycles)

RMS error 
0.000937716

average error 
0.000860758

average relative error 
0.000907209

maximum error 
0.00155476
===================================

cutoff_lo_afreq 1.94104
cutoff_lo_sfreq 1.14286

cutoff_hi_afreq 3.65533
cutoff_hi_sfreq 2.85715

afreq_max 1.94104
sfreq_max 1.14286
loss_max  -0.853321

tauMax(afreq) 0.0117679
log(tauMax_a) -1.9293
tauMax(sfreq) 0.0739399
log(tauMax_s) -1.13112

Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -1.31412 2.7448
-0.630391 -1.42857 -1.30228 2.7345
-0.487532 -1.28571 -1.32633 2.7242
-0.344674 -1.14285 -1.2817 2.7142
-0.20182 -1 -1.26279 2.7025
-0.0589614 -0.857141 -1.28694 2.6917
0.083893 -0.714285 -1.17479 2.6796
0.226752 -0.571428 -1.1176 2.6641
0.369609 -0.428571 -1.09305 2.648
0.512468 -0.285712 -1.06293 2.6302
0.655326 -0.142855 -1.02364 2.6116
0.79818 0 -0.979408 2.5904
0.941039 0.142859 -0.95668 2.568
1.08389 0.285715 -0.928427 2.544
1.22675 0.428572 -0.901182 2.5186
1.36961 0.571429 -0.888989 2.4917
1.51247 0.714288 -0.871569 2.4644
1.65533 0.857145 -0.854553 2.4354
1.79818 1 -0.857573 2.4063
1.94104 1.14286 -0.853321 2.3771
2.08389 1.28571 -0.853927 2.3477
2.22675 1.42857 -0.860231 2.3186
2.36961 1.57143 -0.870441 2.29
2.51247 1.71429 -0.882809 2.2622
2.65533 1.85715 -0.898278 2.2352
2.79818 2 -0.916131 2.2093
2.94104 2.14286 -0.934943 2.1844
3.08389 2.28571 -0.957418 2.1607
3.22675 2.42857 -0.980903 2.1382
3.36961 2.57143 -1.00985 2.117
3.51247 2.71429 -1.03698 2.0972
3.65533 2.85715 -1.06329 2.0785
3.79818 3 -1.09145 2.061
3.94104 3.14286 -1.14088 2.0448
4.08389 3.28571 -1.1485 2.0302
4.22675 3.42857 -1.17009 2.0152
4.36961 3.57143 -1.24534 2.0024
4.51247 3.71429 -1.27443 1.9909
4.65533 3.85715 -1.31374 1.9802
4.79818 4 -1.34812 1.9705
4.94104 4.14286 -1.36899 1.9613
5.08389 4.28571 -1.39207 1.9526
5.22675 4.42857 -1.41334 1.9443
5.36961 4.57143 -1.44761 1.9365
5.51247 4.71429 -1.47401 1.9293
5.65533 4.85715 -1.49453 1.9224
5.79818 5 -1.51854 1.9159
5.94104 5.14286 -1.54194 1.9097
6.08389 5.28571 -1.57246 1.9039
6.22675 5.42857 -1.60753 1.8985
6.36961 5.57143 -1.65668 1.8936
6.51247 5.71429 -1.63402 1.889
6.65533 5.85715 -2.01391 1.8849
6.79818 6 -2.60179 1.8845
6.94104 6.14286 -1.79253 1.8824
7.08389 6.28571 -1.79331 1.8787
7.22675 6.42857 -1.7949 1.8779
7.36961 6.57143 -2.19452 1.8825
7.51247 6.71429 -1.46429 1.8832
7.65533 6.85715 -1.16556 1.8973
7.79818 7 -2.20809 1.9051


DC Free Mode (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -1.31412 2.7448
-0.630391 -1.42857 -1.30228 2.7345
-0.487532 -1.28571 -1.32633 2.7242
-0.344674 -1.14285 -1.2817 2.7142
-0.20182 -1 -1.26279 2.7025
-0.0589614 -0.857141 -1.28694 2.6917
0.083893 -0.714285 -1.17479 2.6796
0.226752 -0.571428 -1.1176 2.6641
0.369609 -0.428571 -1.09305 2.648
0.512468 -0.285712 -1.06293 2.6302
0.655326 -0.142855 -1.02364 2.6116
0.79818 0 -0.979408 2.5904
0.941039 0.142859 -0.95668 2.568
1.08389 0.285715 -0.928427 2.544
1.22675 0.428572 -0.901182 2.5186
1.36961 0.571429 -0.888989 2.4917
1.51247 0.714288 -0.871569 2.4644
1.65533 0.857145 -0.854553 2.4354
1.79818 1 -0.857573 2.4063
1.94104 1.14286 -0.853321 2.3771
2.08389 1.28571 -0.853927 2.3477
2.22675 1.42857 -0.860231 2.3186
2.36961 1.57143 -0.870441 2.29
2.51247 1.71429 -0.882809 2.2622
2.65533 1.85715 -0.898278 2.2352
2.79818 2 -0.916131 2.2093
2.94104 2.14286 -0.934943 2.1844
3.08389 2.28571 -0.957418 2.1607
3.22675 2.42857 -0.980903 2.1382
3.36961 2.57143 -1.00985 2.117
3.51247 2.71429 -1.03698 2.0972
3.65533 2.85715 -1.06329 2.0785
3.79818 3 -1.09145 2.061
3.94104 3.14286 -1.14088 2.0448
