Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 0.355048 4.5592
-0.630391 -1.42857 0.141864 4.1769
-0.487532 -1.28571 -0.13021 3.9623
-0.344674 -1.14285 -0.319577 3.8398
-0.20182 -1 -0.521446 3.7558
-0.0589614 -0.857141 -0.813765 3.7116
0.083893 -0.714285 -0.893603 3.683
0.226752 -0.571428 -0.924291 3.6569
0.369609 -0.428571 -0.97802 3.6335
0.512468 -0.285712 -1.01656 3.6125
0.655326 -0.142855 -1.01908 3.5926
0.79818 0 -1.00127 3.5721
0.941039 0.142859 -0.993829 3.551
1.08389 0.285715 -0.979401 3.5295
1.22675 0.428572 -0.955008 3.5069
1.36961 0.571429 -0.945634 3.4833
1.51247 0.714288 -0.929398 3.4593
1.65533 0.857145 -0.907452 3.4339
1.79818 1 -0.89767 3.4077
1.94104 1.14286 -0.883789 3.3808
2.08389 1.28571 -0.867181 3.3529
2.22675 1.42857 -0.854067 3.324
2.36961 1.57143 -0.837425 3.2942
2.51247 1.71429 -0.821333 3.2631
2.65533 1.85715 -0.805707 3.231
2.79818 2 -0.787232 3.1975
2.94104 2.14286 -0.768 3.1626
3.08389 2.28571 -0.744502 3.1259
3.22675 2.42857 -0.719806 3.0871
3.36961 2.57143 -0.69461 3.046
3.51247 2.71429 -0.668174 3.0024
3.65533 2.85715 -0.641077 2.956
3.79818 3 -0.615771 2.9067
3.94104 3.14286 -0.593091 2.8546
4.08389 3.28571 -0.573614 2.7999
4.22675 3.42857 -0.55929 2.743
4.36961 3.57143 -0.550746 2.6846
4.51247 3.71429 -0.547557 2.6254
4.65533 3.85715 -0.548915 2.5661
4.79818 4 -0.559971 2.5075
4.94104 4.14286 -0.575037 2.4509
5.08389 4.28571 -0.593724 2.3962
5.22675 4.42857 -0.62186 2.3445
5.36961 4.57143 -0.653046 2.2962
5.51247 4.71429 -0.68991 2.2515
5.65533 4.85715 -0.721285 2.2104
5.79818 5 -0.757525 2.172
5.94104 5.14286 -0.804863 2.1374
6.08389 5.28571 -0.8378 2.1059
6.22675 5.42857 -0.875547 2.0766
6.36961 5.57143 -0.93156 2.0504
6.51247 5.71429 -0.956494 2.0269
6.65533 5.85715 -1.04699 2.0051
6.79818 6 -1.14262 1.9891
6.94104 6.14286 -1.10907 1.9733
7.08389 6.28571 -1.14899 1.9574
7.22675 6.42857 -1.49032 1.9458
7.36961 6.57143 -1.46042 1.941
7.51247 6.71429 -3.37862 1.9339
7.65533 6.85715 -1.39651 1.9415
7.79818 7 -1.78901 1.944


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 0.355048 -1.14087 -4.91983
-0.764677 -1.56286 0.345088 -1.18304 -4.91983
-0.756105 -1.55429 0.334767 -1.22521 -4.91983
-0.747534 -1.54571 0.324085 -1.26738 -4.91983
-0.738962 -1.53714 0.313041 -1.30955 -4.91983
-0.730391 -1.52857 0.301635 -1.35172 -4.91983
-0.721819 -1.52 0.289868 -1.39389 -4.91983
-0.713248 -1.51143 0.27774 -1.43606 -4.91983
-0.704677 -1.50286 0.26525 -1.47823 -4.91983
-0.696105 -1.49429 0.252399 -1.5204 -4.91983
-0.687534 -1.48571 0.239186 -1.56257 -4.91983
-0.678962 -1.47714 0.225612 -1.60474 -4.91983
-0.670391 -1.46857 0.211676 -1.64691 -4.91983
-0.661819 -1.46 0.197379 -1.68908 -4.91983
-0.653248 -1.45143 0.182721 -1.73125 -4.91983
-0.644677 -1.44286 0.1677 -1.77342 -4.91983
-0.636105 -1.43429 0.152319 -1.81559 -4.91983
-0.627534 -1.42571 0.136576 -1.85741 -4.67569
-0.618962 -1.41714 0.120493 -1.89435 -3.94332
-0.610391 -1.40857 0.10412 -1.92501 -3.21094
-0.601819 -1.4 0.0875106 -1.9494 -2.47857
-0.593248 -1.39143 0.0707194 -1.9675 -1.74619
-0.584677 -1.38286 0.0537999 -1.97933 -1.01382
-0.576105 -1.37429 0.0368059 -1.98488 -0.281441
-0.567534 -1.36571 0.0197913 -1.98416 0.450935
-0.558962 -1.35714 0.00280976 -1.97715 1.18331
-0.550391 -1.34857 -0.0140848 -1.96387 1.91569
-0.541819 -1.34 -0.0308387 -1.94431 2.64806
-0.533248 -1.33143 -0.0473979 -1.91848 3.38044
-0.524677 -1.32286 -0.0637089 -1.88636 4.11281
-0.516105 -1.31429 -0.0797176 -1.84797 4.84519
-0.507534 -1.30571 -0.0953704 -1.8033 5.57756
-0.498962 -1.29714 -0.110613 -1.75235 6.30994
-0.490391 -1.28857 -0.125393 -1.69513 7.04231
-0.481819 -1.28 -0.139659 -1.63385 6.99876
-0.473248 -1.27143 -0.153412 -1.57571 6.56687
-0.464677 -1.26286 -0.166682 -1.52127 6.13498
-0.456105 -1.25429 -0.179501 -1.47054 5.70309
-0.447534 -1.24571 -0.191902 -1.4235 5.2712
-0.438962 -1.23714 -0.203915 -1.38017 4.83931
-0.430391 -1.22857 -0.215572 -1.34054 4.40742
-0.421819 -1.22 -0.226906 -1.30462 3.97553
-0.413248 -1.21143 -0.237948 -1.27239 3.54364
-0.404677 -1.20286 -0.248729 -1.24387 3.11175
-0.396105 -1.19429 -0.259282 -1.21905 2.67987
-0.387534 -1.18571 -0.269638 -1.19793 2.24798
-0.378962 -1.17714 -0.279828 -1.18051 1.81609
-0.370391 -1.16857 -0.289885 -1.1668 1.3842
-0.361819 -1.16 -0.299841 -1.15678 0.952309
-0.353248 -1.15143 -0.309727 -1.15047 0.52042
