Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 -0.324212 3.3504
-0.630391 -1.42857 -0.430731 3.3228
-0.487532 -1.28571 -0.512918 3.3013
-0.344674 -1.14285 -0.591082 3.2766
-0.20182 -1 -0.661145 3.2519
-0.0589614 -0.857141 -0.725334 3.2297
0.083893 -0.714285 -0.779291 3.2075
0.226752 -0.571428 -0.82281 3.1838
0.369609 -0.428571 -0.860593 3.1615
0.512468 -0.285712 -0.891367 3.1392
0.655326 -0.142855 -0.917179 3.1177
0.79818 0 -0.93723 3.0962
0.941039 0.142859 -0.952725 3.0758
1.08389 0.285715 -0.962534 3.0551
1.22675 0.428572 -0.967946 3.0347
1.36961 0.571429 -0.967422 3.0141
1.51247 0.714288 -0.963371 2.9936
1.65533 0.857145 -0.95413 2.9728
1.79818 1 -0.940626 2.9508
1.94104 1.14286 -0.924234 2.9283
2.08389 1.28571 -0.904621 2.9046
2.22675 1.42857 -0.88243 2.8793
2.36961 1.57143 -0.85855 2.8524
2.51247 1.71429 -0.833866 2.8233
2.65533 1.85715 -0.809668 2.7922
2.79818 2 -0.786349 2.7587
2.94104 2.14286 -0.764876 2.7229
3.08389 2.28571 -0.746153 2.685
3.22675 2.42857 -0.730487 2.645
3.36961 2.57143 -0.718399 2.6033
3.51247 2.71429 -0.71021 2.5605
3.65533 2.85715 -0.706019 2.5168
3.79818 3 -0.706019 2.4728
3.94104 3.14286 -0.710099 2.4292
4.08389 3.28571 -0.718217 2.3863
4.22675 3.42857 -0.730347 2.3445
4.36961 3.57143 -0.746202 2.3043
4.51247 3.71429 -0.765533 2.2661
4.65533 3.85715 -0.788132 2.2302
4.79818 4 -0.813977 2.1961
4.94104 4.14286 -0.842392 2.1648
5.08389 4.28571 -0.87309 2.136
5.22675 4.42857 -0.905354 2.1091
5.36961 4.57143 -0.938434 2.0847
5.51247 4.71429 -0.971876 2.0624
5.65533 4.85715 -1.00567 2.0421
5.79818 5 -1.03974 2.0223
5.94104 5.14286 -1.07418 2.0047
6.08389 5.28571 -1.10854 1.9886
6.22675 5.42857 -1.14316 1.9738
6.36961 5.57143 -1.17754 1.9603
6.51247 5.71429 -1.21241 1.948
6.65533 5.85715 -1.24679 1.9368
6.79818 6 -1.29915 1.9294
6.94104 6.14286 -1.40068 1.9215
7.08389 6.28571 -1.45689 1.9125
7.22675 6.42857 -1.54347 1.9069
7.36961 6.57143 -1.71032 1.9072
7.51247 6.71429 -1.7603 1.9039
7.65533 6.85715 -2.03744 1.9144
7.79818 7 -1.25396 1.9179


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 -0.324212 -0.851092 1.47642
-0.764677 -1.56286 -0.331453 -0.838437 1.47642
-0.756105 -1.55429 -0.338585 -0.825782 1.47642
-0.747534 -1.54571 -0.345609 -0.813127 1.47642
-0.738962 -1.53714 -0.352524 -0.800472 1.47642
-0.730391 -1.52857 -0.359331 -0.787817 1.47642
-0.721819 -1.52 -0.36603 -0.775162 1.47642
-0.713248 -1.51143 -0.37262 -0.762507 1.47642
-0.704677 -1.50286 -0.379101 -0.749852 1.47642
-0.696105 -1.49429 -0.385475 -0.737197 1.47642
-0.687534 -1.48571 -0.391739 -0.724542 1.47642
-0.678962 -1.47714 -0.397895 -0.711887 1.47642
-0.670391 -1.46857 -0.403943 -0.699232 1.47642
-0.661819 -1.46 -0.409882 -0.686577 1.47642
-0.653248 -1.45143 -0.415713 -0.673922 1.47642
-0.644677 -1.44286 -0.421435 -0.661267 1.47642
-0.636105 -1.43429 -0.427049 -0.648612 1.47642
-0.627534 -1.42571 -0.432554 -0.636006 1.44233
-0.618962 -1.41714 -0.437954 -0.624081 1.34005
-0.610391 -1.40857 -0.443255 -0.613033 1.23778
-0.601819 -1.4 -0.448466 -0.602862 1.1355
-0.593248 -1.39143 -0.453592 -0.593568 1.03323
-0.584677 -1.38286 -0.458643 -0.58515 0.930956
-0.576105 -1.37429 -0.463626 -0.577608 0.828683
-0.567534 -1.36571 -0.468548 -0.570944 0.726409
-0.558962 -1.35714 -0.473416 -0.565156 0.624135
-0.550391 -1.34857 -0.478239 -0.560244 0.521861
-0.541819 -1.34 -0.483023 -0.556209 0.419587
-0.533248 -1.33143 -0.487776 -0.553051 0.317313
-0.524677 -1.32286 -0.492506 -0.55077 0.215039
-0.516105 -1.31429 -0.497221 -0.549365 0.112765
-0.507534 -1.30571 -0.501926 -0.548837 0.0104912
-0.498962 -1.29714 -0.506632 -0.549185 -0.0917827
-0.490391 -1.28857 -0.511344 -0.55041 -0.194057
-0.481819 -1.28 -0.516069 -0.55222 -0.1943
-0.473248 -1.27143 -0.520809 -0.553668 -0.14348
-0.464677 -1.26286 -0.525559 -0.55468 -0.0926607
-0.456105 -1.25429 -0.530317 -0.555256 -0.041841
-0.447534 -1.24571 -0.535077 -0.555397 0.00897859
-0.438962 -1.23714 -0.539836 -0.555102 0.0597982
-0.430391 -1.22857 -0.544592 -0.554372 0.110618
-0.421819 -1.22 -0.549339 -0.553206 0.161438
-0.413248 -1.21143 -0.554074 -0.551605 0.212257
-0.404677 -1.20286 -0.558794 -0.549567 0.263077
-0.396105 -1.19429 -0.563494 -0.547095 0.313896
-0.387534 -1.18571 -0.568171 -0.544186 0.364716
-0.378962 -1.17714 -0.572822 -0.540842 0.415536
-0.370391 -1.16857 -0.577441 -0.537063 0.466355
-0.361819 -1.16 -0.582027 -0.532848 0.517175
-0.353248 -1.15143 -0.586575 -0.528197 0.567995
