Raw Data (#.=61)
log.afreq  log.sfreq  log.loss  storage   
==========================================
-0.773248 -1.57143 4.77251 1795.3
-0.630391 -1.42857 4.67036 1416.2
-0.487532 -1.28571 4.54244 1027.4
-0.344674 -1.14285 4.41938 793.29
-0.20182 -1 4.28762 605.18
-0.0589614 -0.857141 4.15637 480.7
0.083893 -0.714285 4.01791 394.37
0.226752 -0.571428 3.88705 333.13
0.369609 -0.428571 3.75086 279.64
0.512468 -0.285712 3.61358 236.98
0.655326 -0.142855 3.47647 202.23
0.79818 0 3.34029 170.29
0.941039 0.142859 3.20512 141.47
1.08389 0.285715 3.07173 114.9
1.22675 0.428572 2.93938 90.991
1.36961 0.571429 2.80776 69.602
1.51247 0.714288 2.67673 51.553
1.65533 0.857145 2.54518 37.024
1.79818 1 2.41241 25.987
1.94104 1.14286 2.27795 17.948
2.08389 1.28571 2.14217 12.467
2.22675 1.42857 2.00492 8.8678
2.36961 1.57143 1.86612 6.5877
2.51247 1.71429 1.72618 5.1893
2.65533 1.85715 1.58554 4.3573
2.79818 2 1.44414 3.8684
2.94104 2.14286 1.30279 3.5938
3.08389 2.28571 1.16062 3.4325
3.22675 2.42857 1.01866 3.3395
3.36961 2.57143 0.876206 3.2806
3.51247 2.71429 0.733943 3.2434
3.65533 2.85715 0.592088 3.2191
3.79818 3 0.450526 3.2037
3.94104 3.14286 0.309162 3.1908
4.08389 3.28571 0.168085 3.1817
4.22675 3.42857 0.0273496 3.1742
4.36961 3.57143 -0.112681 3.1681
4.51247 3.71429 -0.251347 3.1629
4.65533 3.85715 -0.388394 3.1584
4.79818 4 -0.5234 3.1546
4.94104 4.14286 -0.65496 3.1528
5.08389 4.28571 -0.78073 3.1511
5.22675 4.42857 -0.896846 3.1494
5.36961 4.57143 -0.998093 3.1476
5.51247 4.71429 -1.07768 3.1458
5.65533 4.85715 -1.12706 3.1438
5.79818 5 -1.14069 3.1407
5.94104 5.14286 -1.11795 3.1371
6.08389 5.28571 -1.06463 3.132
6.22675 5.42857 -0.989064 3.1242
6.36961 5.57143 -0.901114 3.1121
6.51247 5.71429 -0.809584 3.0932
6.65533 5.85715 -0.719786 3.0657
6.79818 6 -0.657953 3.0294
6.94104 6.14286 -0.58603 2.9821
7.08389 6.28571 -0.527551 2.9173
7.22675 6.42857 -0.489871 2.8446
7.36961 6.57143 -0.468125 2.7704
7.51247 6.71429 -0.447624 2.6887
7.65533 6.85715 -0.449209 2.6225
7.79818 7 -0.564124 2.5613


Cubic Spline Interpolation (Global Range)
log.afreq  log.sfreq  f  df  d2f         
=========================================
-0.773248 -1.57143 4.77251 -0.591956 -1.72382
-0.764677 -1.56286 4.76737 -0.606731 -1.72382
-0.756105 -1.55429 4.76211 -0.621507 -1.72382
-0.747534 -1.54571 4.75672 -0.636283 -1.72382
-0.738962 -1.53714 4.7512 -0.651058 -1.72382
-0.730391 -1.52857 4.74556 -0.665834 -1.72382
-0.721819 -1.52 4.73979 -0.680609 -1.72382
-0.713248 -1.51143 4.73389 -0.695385 -1.72382
-0.704677 -1.50286 4.72787 -0.710161 -1.72382
-0.696105 -1.49429 4.72172 -0.724936 -1.72382
-0.687534 -1.48571 4.71544 -0.739712 -1.72382
-0.678962 -1.47714 4.70904 -0.754487 -1.72382
-0.670391 -1.46857 4.70251 -0.769263 -1.72382
-0.661819 -1.46 4.69585 -0.784038 -1.72382
-0.653248 -1.45143 4.68907 -0.798814 -1.72382
-0.644677 -1.44286 4.68216 -0.81359 -1.72382
-0.636105 -1.43429 4.67512 -0.828365 -1.72382
-0.627534 -1.42571 4.66796 -0.843062 -1.66843
-0.618962 -1.41714 4.66067 -0.85665 -1.50229
-0.610391 -1.40857 4.65327 -0.868815 -1.33614
-0.601819 -1.4 4.64578 -0.879556 -1.17
-0.593248 -1.39143 4.6382 -0.888872 -1.00385
-0.584677 -1.38286 4.63055 -0.896765 -0.837706
-0.576105 -1.37429 4.62283 -0.903233 -0.67156
-0.567534 -1.36571 4.61507 -0.908277 -0.505414
-0.558962 -1.35714 4.60726 -0.911897 -0.339268
-0.550391 -1.34857 4.59944 -0.914093 -0.173123
-0.541819 -1.34 4.5916 -0.914865 -0.0069769
-0.533248 -1.33143 4.58376 -0.914213 0.159169
-0.524677 -1.32286 4.57593 -0.912136 0.325315
-0.516105 -1.31429 4.56813 -0.908636 0.49146
-0.507534 -1.30571 4.56036 -0.903711 0.657606
-0.498962 -1.29714 4.55264 -0.897363 0.823752
-0.490391 -1.28857 4.54498 -0.88959 0.989898
-0.481819 -1.28 4.53739 -0.880946 0.962326
-0.473248 -1.27143 4.52987 -0.873232 0.837804
-0.464677 -1.26286 4.52242 -0.866584 0.713283
-0.456105 -1.25429 4.51501 -0.861004 0.588761
-0.447534 -1.24571 4.50765 -0.856491 0.464239
-0.438962 -1.23714 4.50033 -0.853045 0.339718
-0.430391 -1.22857 4.49303 -0.850667 0.215196
-0.421819 -1.22 4.48574 -0.849356 0.0906748
-0.413248 -1.21143 4.47846 -0.849113 -0.0338467
-0.404677 -1.20286 4.47118 -0.849937 -0.158368
-0.396105 -1.19429 4.46389 -0.851828 -0.28289
-0.387534 -1.18571 4.45658 -0.854786 -0.407411
-0.378962 -1.17714 4.44923 -0.858812 -0.531933
-0.370391 -1.16857 4.44185 -0.863905 -0.656454
-0.361819 -1.16 4.43442 -0.870065 -0.780976
-0.353248 -1.15143 4.42693 -0.877293 -0.905498
-0.344677 -1.14286 4.41938 -0.885588 -1.03002
-0.336105 -1.13429 4.41175 -0.894019 -0.937178
